Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Local,356003,1534208400000,158701,510238,208941,174098,201010,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,356003,1534208400000,158701,510238,208941,174098,201010,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,919597,1534230000000,145795,485666,193349,166295,191466,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,919597,1534230000000,145795,485666,193349,166295,191466,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,2159970,1534251600000,5712,451634,187971,157370,167853,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,2159970,1534251600000,5712,451634,187971,157370,167853,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,2912107,1534273200000,0,414395,180168,140609,147011,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,2912107,1534273200000,-6535,414395,180168,140609,147011,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,3176462,1534283997000,0,400566,177048,137286,141997,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,3176462,1534283997000,-20016,400566,177048,137286,141997,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,3361164,1534305600000,0,400566,177048,137286,141997,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,3361164,1534305600000,-20016,400566,177048,137286,141997,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,4267029,1534327200000,0,343733,158163,122859,114805,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,4267029,1534327200000,-43335,343733,158163,122859,114805,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,5314011,1534348800000,0,306656,150339,94299,91734,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,5314011,1534348800000,-56189,306656,150339,94299,91734,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,5726250,1534363199000,0,281856,145527,84504,82694,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,5726250,1534363199000,-63154,281856,145527,84504,82694,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,5979990,1534384801000,0,281856,145527,84504,82694,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,5979990,1534384801000,-63154,281856,145527,84504,82694,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,6734652,1534406401000,0,234556,122279,71002,74034,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,6734652,1534406401000,-90803,234556,122279,71002,74034,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,7863533,1534428001000,0,180356,103063,57031,54259,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,7863533,1534428001000,-119192,180356,103063,57031,54259,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,8560378,1534449599000,0,151228,90407,40816,41045,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,8560378,1534449599000,-134145,151228,90407,40816,41045,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,8811097,1534471200000,0,151228,90407,40816,41045,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,8811097,1534471200000,-134145,151228,90407,40816,41045,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,9572684,1534492800000,0,114991,69670,27373,36329,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,9572684,1534492800000,-149974,114991,69670,27373,36329,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,10549106,1534514400000,0,80090,53861,0,16652,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,10549106,1534514400000,-163813,80090,53861,-753,16652,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,11220337,1534536000000,0,45894,39164,0,3684,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,11220337,1534536000000,-173396,45894,39164,-10014,3684,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,11331020,1534539599000,0,40975,35603,0,2114,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,11331020,1534539599000,-176264,40975,35603,-12645,2114,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,11538116,1534561200000,0,40975,35603,0,2114,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,11538116,1534561200000,-176264,40975,35603,-12645,2114,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,12131153,1534582800000,0,1895,29793,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,12131153,1534582800000,-205822,1895,29793,-21923,-6809,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,12921745,1534604400000,0,0,1365,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,12921745,1534604400000,-234980,-28608,1365,-30476,-20852,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,13594727,1534626000000,-250318,-54364,-16139,-40583,-37010,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
Global,13646663,1534629599000,-252206,-56020,-17244,-41603,-37861,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
