Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
Local,356003,1534208400000,4.0914181287841894e-07,6.06429809781723e-08,2.154433041929854e-07,5.747007319865341e-07,6.012036476256996e-07,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,356003,1534208400000,158701,510238,208941,174098,201010,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,919597,1534230000000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,919597,1534230000000,145795,485666,193349,166295,191466,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,2159970,1534251600000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,2159970,1534251600000,5712,451634,187971,157370,167853,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,2912107,1534273200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,2912107,1534273200000,-6535,414395,180168,140609,147011,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,3176462,1534283997000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,3176462,1534283997000,-20016,400566,177048,137286,141997,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,3361164,1534305600000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,3361164,1534305600000,-20016,385960,172092,130512,135366,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,4267029,1534327200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,4267029,1534327200000,-56631,359340,158330,121186,112205,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,5314011,1534348800000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,5314011,1534348800000,-71277,312023,146434,98127,88098,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,5726250,1534363199000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,5726250,1534363199000,-77707,287194,141658,88302,78620,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,5979990,1534384801000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,5979990,1534384801000,-77733,270045,125093,81818,75924,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,6734652,1534406401000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,6734652,1534406401000,-119334,231448,109558,68839,68887,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,7863533,1534428001000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,7863533,1534428001000,-149551,173700,86309,56183,50817,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,8560378,1534449599000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,8560378,1534449599000,-167137,141747,72663,42565,37212,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,8811097,1534471200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,8811097,1534471200000,-167141,130044,59866,34008,35403,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,9572684,1534492800000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,9572684,1534492800000,-187542,97579,44097,25744,18185,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,10549106,1534514400000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,10549106,1534514400000,-202082,65152,31093,-7152,1328,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,11220337,1534536000000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,11220337,1534536000000,-212455,28936,18352,-19239,-10427,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,11331020,1534539599000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,11331020,1534539599000,-215349,23961,15228,-22344,-12156,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,11538116,1534561200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,11538116,1534561200000,-218415,2382,-9681,-22442,-12260,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,12131153,1534582800000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,12131153,1534582800000,-240758,-23907,-18089,-34976,-25954,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,12921745,1534604400000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,12921745,1534604400000,-271458,-57187,-46293,-42534,-40553,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,13594727,1534626000000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,13594727,1534626000000,-285788,-84688,-64886,-53253,-57927,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,13646663,1534629599000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,13646663,1534629599000,-287632,-86428,-66252,-54104,-58763,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,13812775,1534651200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,13812775,1534651200000,-290114,-88290,-75506,-63100,-60907,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,14433317,1534672800000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,14433317,1534672800000,-299499,-102926,-90236,-75607,-82435,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,15170226,1534694400000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,15170226,1534694400000,-314385,-120542,-103369,-84327,-127280,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,15782548,1534712399000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Global,15782548,1534712399000,-322775,-136759,-115942,-92559,-157423,LinUCB_Disjoint_Multi,6,0.1,0.0,0.6,DAILY,1,True,0.0,True,0.0,0.0
Local,356003,1534208400000,2.3010467374541339e-07,3.410867710618102e-08,1.212183373875559e-07,3.231382130607682e-07,3.3826751786725757e-07,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,356003,1534208400000,211601,680318,278589,232131,268013,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,919597,1534230000000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,919597,1534230000000,198695,655746,262997,224328,258469,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,2159970,1534251600000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,2159970,1534251600000,58612,621714,257619,215403,234856,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,2912107,1534273200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,2912107,1534273200000,46365,584475,249816,198642,214014,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,3176462,1534283997000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
