Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Local,356003,1534208400000,158701,510238,208941,174098,201010,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,356003,1534208400000,158701,510238,208941,174098,201010,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,919597,1534230000000,150153,481173,164184,155596,191074,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,919597,1534230000000,150153,481173,164184,155596,191074,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,2159970,1534251600000,101736,423729,133001,124734,170429,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,2159970,1534251600000,101736,423729,133001,124734,170429,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,2912107,1534273200000,65623,379442,111897,97651,155696,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,2912107,1534273200000,65623,379442,111897,97651,155696,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,3176462,1534283997000,53084,361601,100378,88534,149682,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,3176462,1534283997000,53084,361601,100378,88534,149682,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,3361164,1534305600000,53056,361524,100289,88465,149671,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,3361164,1534305600000,53056,361524,100289,88465,149671,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,4267029,1534327200000,23158,307415,72287,58459,130114,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,4267029,1534327200000,23158,307415,72287,58459,130114,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,5314011,1534348800000,0,250617,30408,32449,111833,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,5314011,1534348800000,-17174,250617,30408,32449,111833,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,5726250,1534363199000,0,213686,15746,16479,101039,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,5726250,1534363199000,-32713,213686,15746,16479,101039,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,5979990,1534384801000,0,213541,15625,16441,101003,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,5979990,1534384801000,-32797,213541,15625,16441,101003,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,6734652,1534406401000,0,175259,0,0,88683,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,6734652,1534406401000,-56585,175259,-25019,-2610,88683,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,7863533,1534428001000,0,120908,0,0,69685,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,7863533,1534428001000,-92324,120908,-62719,-31679,69685,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,8560378,1534449599000,0,72672,0,0,53216,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,8560378,1534449599000,-125776,72672,-90459,-57750,53216,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,8811097,1534471200000,0,72582,0,0,53185,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,8811097,1534471200000,-125880,72582,-90553,-57814,53185,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,9572684,1534492800000,0,31095,0,0,38984,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,9572684,1534492800000,-152352,31095,-120864,-69931,38984,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,10549106,1534514400000,0,0,0,0,20911,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Global,10549106,1534514400000,-177916,-24929,-152941,-98074,20911,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Local,11220337,1534536000000,0,0,0,0,3832,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
