Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,919597,1534230000000,84240.0,242675.0,55680.0,65309.0,97664.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,919597,1534230000000,84240,242675,55680,65309,97664,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,2159970,1534251600000,46613.0,200973.0,4693.0,18896.0,83823.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,2159970,1534251600000,46613,200973,4693,18896,83823,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,2912107,1534273200000,13351.0,170493.0,0,0,75319.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,2912107,1534273200000,13351,170493,-32423,-23627,75319,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,3176462,1534283997000,3267.0,158203.0,0,0,70957.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,3176462,1534283997000,3267,158203,-47011,-36976,70957,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,3361164,1534305600000,3247.0,158130.0,0,0,70937.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,3361164,1534305600000,3247,158130,-47098,-37025,70937,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,4267029,1534327200000,0,115541.0,0,0,57029.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,4267029,1534327200000,-26045,115541,-83897,-74543,57029,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,5314011,1534348800000,0,67042.0,0,0,43589.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,5314011,1534348800000,-67164,67042,-139165,-106452,43589,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,5726250,1534363199000,0,43903.0,0,0,36565.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,5726250,1534363199000,-86011,43903,-160956,-127736,36565,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,5979990,1534384801000,0,43782.0,0,0,36529.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,5979990,1534384801000,-86079,43782,-161071,-127774,36529,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,6734652,1534406401000,0,17596.0,0,0,26658.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,6734652,1534406401000,-110625,17596,-209090,-151208,26658,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,7863533,1534428001000,0,0,0,0,13066.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,7863533,1534428001000,-150281,-19341,-255986,-187144,13066,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,8560378,1534449599000,0,0,0,0,259.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Total,8560378,1534449599000,-177579,-50011,-291303,-218429,259,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,919597,1534230000000,85999.0,236189.0,62548.0,67714.0,94868.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,919597,1534230000000,85999,236189,62548,67714,94868,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,2159970,1534251600000,37589.0,179495.0,30312.0,35759.0,74313.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,2159970,1534251600000,37589,179495,30312,35759,74313,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,2912107,1534273200000,123.0,137866.0,8183.0,7590.0,60473.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,2912107,1534273200000,123,137866,8183,7590,60473,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,3176462,1534283997000,0,121573.0,0,0,54581.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
