Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Local,356003,1534208400000,33062,106299,43529,36270,41877,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,356003,1534208400000,198376,637798,261177,217623,251262,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,919597,1534230000000,21051,73562,27259,28979,32119,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,919597,1534230000000,186365,605061,244907,210332,241504,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,1332888,1534237876000,0,58683,25410,24377,23558,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,1332888,1534237876000,165314,590182,243058,205730,232943,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,2159970,1534251600000,0,31623,20356,16867,2741,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,2159970,1534251600000,84545,563122,238004,198220,212126,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,2283463,1534254466000,0,24792,18621,15043,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,2283463,1534254466000,82329,556291,236269,196396,209385,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,2684426,1534265945000,0,0,13225,7504,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,2684426,1534265945000,73981,531499,230873,188857,202027,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,2912107,1534273200000,0,0,10190,2474,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,2912107,1534273200000,68011,516296,227838,183827,198043,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,3113457,1534279681000,0,0,7844,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,3113457,1534279681000,58216,504149,225492,181353,194852,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,3176462,1534283997000,0,0,7482,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,3176462,1534283997000,55469,501027,225130,180271,193877,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,3361164,1534305600000,11093,100205,45026,36054,38775,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,3361164,1534305600000,55469,501027,225130,180271,193877,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,4006147,1534321962000,0,35780,32489,26500,16367,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
