Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
Local,356003,1534208400000,26450,85039,34823,29016,33501,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,356003,1534208400000,158701,510238,208941,174098,201010,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,919597,1534230000000,14483,52097,18531,21726,23729,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,919597,1534230000000,146734,477296,192649,166808,191238,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,1293405,1534237222000,0,38268,16890,17059,14571,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,1293405,1534237222000,132251,463467,191008,162141,182080,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,1730832,1534243623000,0,17877,13786,8281,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,1730832,1534243623000,132251,443076,187904,153363,167509,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,1977967,1534247932000,0,0,6325,2224,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,1977967,1534247932000,132251,425199,180443,147306,167509,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,2026962,1534248940000,0,0,1679,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,2026962,1534248940000,132251,425199,175797,145082,167509,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,2036863,1534249134000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,2036863,1534249134000,132251,425199,174118,145082,167509,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,2159970,1534251600000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,2159970,1534251600000,126473,422510,173357,144714,166181,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,2912107,1534273200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,2912107,1534273200000,87173,399485,169406,136360,157761,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,3176462,1534283997000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,3176462,1534283997000,63636,388025,167060,133791,154357,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,3361164,1534305600000,6200,65452,25461,22356,27090,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,3361164,1534305600000,57109,375872,159109,129389,150576,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,3695408,1534315378000,2318,52249,17105,21102,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,3695408,1534315378000,53227,362669,150753,128135,123486,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,3871222,1534319013000,0,37398,14798,15151,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,3871222,1534319013000,50909,347818,148446,122184,123486,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,4168844,1534325424000,0,11050,9829,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,4168844,1534325424000,50909,321470,143477,107033,123486,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,4267029,1534327200000,0,3639,3852,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,4267029,1534327200000,50909,314059,137500,107033,123486,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,4316661,1534328006000,0,0,269,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,4316661,1534328006000,50909,310420,133917,107033,123486,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,4318458,1534328034000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,4318458,1534328034000,50909,310420,133648,107033,123486,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,5314011,1534348800000,22510,274262,121278,102391,87445,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,5726250,1534363199000,13296,255153,116916,96146,73265,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,5878933,1534369297000,0,50239,18917,21953,17525,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,5878933,1534369297000,9972,241604,106604,94063,72474,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,5979990,1534384801000,0,44138,13926,18873,16156,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,5979990,1534384801000,9972,235503,101613,90983,71105,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,6573665,1534403300000,0,0,2406,6523,5387,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,6573665,1534403300000,9972,191365,90093,78633,60336,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,6734652,1534406401000,0,0,462,739,217,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,6734652,1534406401000,9972,191365,88149,72849,55166,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,6750077,1534406695000,0,0,112,0,54,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,6750077,1534406695000,9972,191365,87799,72110,55003,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,6752519,1534406741000,0,0,0,0,19,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,6752519,1534406741000,9972,191365,87687,72110,54968,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,6752615,1534406743000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,6752615,1534406743000,9972,191365,87687,72110,54949,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,7863533,1534428001000,-66578,151563,75110,64828,48494,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,8560378,1534449599000,-92785,117767,63525,53678,38562,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,8811097,1534471200000,0,28336,11351,9821,8143,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,8811097,1534471200000,-92785,106848,53701,45607,33851,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,8990376,1534481298000,0,21103,0,6203,4362,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,8990376,1534481298000,-92785,99615,42350,41989,30070,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,9159251,1534485475000,0,13069,0,3091,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,9159251,1534485475000,-92785,91581,42350,38877,25708,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,9289702,1534487944000,0,5017,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,9289702,1534487944000,-92785,83529,42350,35786,25708,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,9303166,1534488187000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,9303166,1534488187000,-92785,78512,42350,35786,25708,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,9572684,1534492800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,9572684,1534492800000,-107204,68298,38930,33997,19541,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,10549106,1534514400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,10549106,1534514400000,-122043,27119,23774,17035,-9804,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,11220337,1534536000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,11220337,1534536000000,-132728,-13772,10493,7470,-20208,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,11331020,1534539599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,11331020,1534539599000,-136303,-19226,7436,4926,-21954,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,11357988,1534540780000,0,0,1925,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,11357988,1534540780000,-136303,-19226,5643,2463,-21954,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,11366984,1534541355000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,11366984,1534541355000,-136303,-19226,3718,2463,-21954,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,11538116,1534561200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,11538116,1534561200000,-142647,-29151,-31,-3905,-22470,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,12131153,1534582800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,12131153,1534582800000,-162246,-70622,-11792,-16591,-28598,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,12921745,1534604400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,12921745,1534604400000,-195001,-102958,-33973,-27781,-38446,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,13594727,1534626000000,-212066,-129842,-51123,-39657,-51852,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,13646663,1534629599000,-214063,-131505,-52207,-40719,-52905,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,13812775,1534651200000,-217268,-134109,-64286,-46770,-55729,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,14433317,1534672800000,-228635,-153742,-73517,-57906,-99217,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Global,15170226,1534694400000,-243707,-173940,-85056,-64837,-158926,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
