Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Daily,356003,1534208400000,31489,88035,36065,28837,34809,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,919597,1534230000000,27372,77218,30699,26518,31642,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,919597,1534230000000,82116,231656,92099,79556,94927,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,2159970,1534251600000,0,64326,29116,23160,22998,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,2159970,1534251600000,-50701,192978,87350,69482,68994,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,2912107,1534273200000,0,46164,24083,15306,18696,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,2912107,1534273200000,-50701,138492,72249,45920,56090,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,3176462,1534283997000,0,40388,21741,15306,16010,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,3176462,1534283997000,-50701,121165,65223,45920,48030,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,3361164,1534305600000,0,60582,32611,22960,24015,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,3361164,1534305600000,-50701,121165,65223,45920,48030,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,4267029,1534327200000,0,28879,20310,18552,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,4267029,1534327200000,-50701,57759,40620,37105,-13180,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,5314011,1534348800000,0,28879,13875,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,5314011,1534348800000,-50701,57759,27750,-97749,-13180,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,5726250,1534363199000,0,0,7345,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,5726250,1534363199000,-50701,-7614,14691,-97749,-13180,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,5979990,1534384801000,0,0,14691,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,5979990,1534384801000,-50701,-7614,14691,-97749,-13180,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,6734652,1534406401000,-50701,-7614,-123756,-97749,-13180,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,7863533,1534428001000,-142751,-35824,-127280,-102406,-26270,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Total,8560378,1534449599000,-163172,-66095,-136640,-108486,-48904,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
Daily,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,919597,1534230000000,35241,99282,39695,33728,40348,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,919597,1534230000000,105725,297846,119087,101186,121044,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,2159970,1534251600000,0,86429,38075,30446,31965,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,2159970,1534251600000,-28383,259287,114226,91340,95896,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,2912107,1534273200000,0,68905,34072,23341,25771,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,2912107,1534273200000,-28383,206716,102218,70023,77313,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,3176462,1534283997000,0,62301,32774,22445,23952,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,3176462,1534283997000,-28383,186905,98323,67337,71857,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,3361164,1534305600000,0,93452,49161,33668,35928,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,3361164,1534305600000,-28383,186905,98323,67337,71857,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,4267029,1534327200000,0,54304,38068,24663,18075,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,4267029,1534327200000,-28383,108609,76137,49326,36150,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,5314011,1534348800000,0,28137,21511,0,17548,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,5314011,1534348800000,-28383,56274,43023,-3873,35097,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,5726250,1534363199000,0,18612,19064,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,5726250,1534363199000,-28383,37224,38129,-3873,-7747,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,5979990,1534384801000,0,37224,38129,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,5979990,1534384801000,-28383,37224,38129,-3873,-7747,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,6734652,1534406401000,-28383,-32453,-31145,-3873,-7747,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,7863533,1534428001000,-128396,-57905,-34927,-13952,-19122,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Total,8560378,1534449599000,-149260,-93146,-43144,-27412,-30513,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1
Daily,356003,1534208400000,31489,88035,36065,28837,34809,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,919597,1534230000000,27677,70121,25863,22833,32271,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,919597,1534230000000,83032,210364,77590,68501,96814,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,2159970,1534251600000,0,42792,17560,10451,20401,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,2159970,1534251600000,-28515,128378,52682,31353,61205,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,2912107,1534273200000,0,36770,0,10173,19845,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,2912107,1534273200000,-34226,110310,-31598,30519,59537,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,3176462,1534283997000,0,26360,0,6489,17340,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,3176462,1534283997000,-34390,79082,-31600,19468,52020,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,3361164,1534305600000,0,39541,0,9734,26010,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,3361164,1534305600000,-34390,79082,-31600,19468,52020,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,4267029,1534327200000,0,0,0,972,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,4267029,1534327200000,-34898,-40919,-31600,1944,-39762,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,5314011,1534348800000,-93051,-90147,-87045,-6562,-57047,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,5726250,1534363199000,-101944,-136216,-95565,-17778,-70281,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,5979990,1534384801000,-101944,-136216,-95565,-17778,-70281,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,6734652,1534406401000,-143038,-233040,-123889,-30609,-74642,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,7863533,1534428001000,-185903,-346105,-154659,-50180,-90744,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Total,8560378,1534449599000,-207740,-410345,-173439,-68110,-106129,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,1
Daily,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,919597,1534230000000,35552,92161,34860,30046,40967,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,919597,1534230000000,106656,276485,104582,90139,122903,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,2159970,1534251600000,0,64686,25749,17729,29463,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,2159970,1534251600000,-3085,194059,77248,53189,88391,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,2912107,1534273200000,0,29160,16948,17729,17108,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,2912107,1534273200000,-3330,87480,50845,53189,51324,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,3176462,1534283997000,0,28765,16911,4057,17091,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,3176462,1534283997000,-5296,86296,50733,12171,51273,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,3361164,1534305600000,0,43148,25366,6085,25636,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,3361164,1534305600000,-5296,86296,50733,12171,51273,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,4267029,1534327200000,0,0,3298,2079,2377,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,4267029,1534327200000,-5726,-21456,6597,4158,4755,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,5314011,1534348800000,0,0,0,170,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,5314011,1534348800000,-69137,-77672,-22161,340,-20904,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,5726250,1534363199000,-81112,-121257,-37836,-3903,-31447,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,5979990,1534384801000,-81112,-121257,-37836,-3903,-31447,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,6734652,1534406401000,-130931,-183033,-70630,-21813,-35619,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,7863533,1534428001000,-184823,-285697,-93728,-41672,-58065,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Total,8560378,1534449599000,-211381,-340842,-117449,-57809,-74872,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,1
Daily,356003,1534208400000,31489,88035,36065,28837,34809,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
