Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Local,356003,1534208400000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.0
Global,356003,1534208400000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.0
Local,919597,1534230000000,87038,223511,77046,68217,88634,Random_Multi,6,0.0,0.0,0.2,0.0
Global,919597,1534230000000,87038,223511,77046,68217,88634,Random_Multi,6,0.0,0.0,0.2,0.0
Local,2159970,1534251600000,36366,138256,40893,30947,51141,Random_Multi,6,0.0,0.0,0.2,0.0
Global,2159970,1534251600000,36366,138256,40893,30947,51141,Random_Multi,6,0.0,0.0,0.2,0.0
Local,2912107,1534273200000,12470,80552,20066,4612,28648,Random_Multi,6,0.0,0.0,0.2,0.0
Global,2912107,1534273200000,12470,80552,20066,4612,28648,Random_Multi,6,0.0,0.0,0.2,0.0
Local,3176462,1534283997000,0,64255,14731,0,22451,Random_Multi,6,0.0,0.0,0.2,0.0
Global,3176462,1534283997000,-4815,64255,14731,-4240,22451,Random_Multi,6,0.0,0.0,0.2,0.0
Local,3361164,1534305600000,0,64255,14731,0,22451,Random_Multi,6,0.0,0.0,0.2,0.0
Global,3361164,1534305600000,-4815,64255,14731,-4240,22451,Random_Multi,6,0.0,0.0,0.2,0.0
Local,4267029,1534327200000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,4267029,1534327200000,-23132,-12970,-10479,-31547,-11042,Random_Multi,6,0.0,0.0,0.2,0.0
Local,5314011,1534348800000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,5314011,1534348800000,-45116,-99416,-47599,-60996,-44519,Random_Multi,6,0.0,0.0,0.2,0.0
Local,5726250,1534363199000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,5726250,1534363199000,-54224,-132594,-61459,-74264,-56599,Random_Multi,6,0.0,0.0,0.2,0.0
Local,5979990,1534384801000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,5979990,1534384801000,-54224,-132594,-61459,-74264,-56599,Random_Multi,6,0.0,0.0,0.2,0.0
Local,6734652,1534406401000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,6734652,1534406401000,-79959,-190232,-89420,-91435,-79301,Random_Multi,6,0.0,0.0,0.2,0.0
Local,7863533,1534428001000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,7863533,1534428001000,-109315,-282825,-121237,-123755,-117146,Random_Multi,6,0.0,0.0,0.2,0.0
Local,8560378,1534449599000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,8560378,1534449599000,-137056,-333897,-143371,-143115,-137489,Random_Multi,6,0.0,0.0,0.2,0.0
