Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Local,356003,1534208400000,211601,680318,278589,232131,268013,Random_Multi,6,0.0,0.0,0.2,0.0
Global,356003,1534208400000,211601,680318,278589,232131,268013,Random_Multi,6,0.0,0.0,0.2,0.0
Local,919597,1534230000000,204230,639751,247686,214044,251797,Random_Multi,6,0.0,0.0,0.2,0.0
Global,919597,1534230000000,204230,639751,247686,214044,251797,Random_Multi,6,0.0,0.0,0.2,0.0
Local,2159970,1534251600000,153362,553105,211827,176591,214434,Random_Multi,6,0.0,0.0,0.2,0.0
Global,2159970,1534251600000,153362,553105,211827,176591,214434,Random_Multi,6,0.0,0.0,0.2,0.0
Local,2912107,1534273200000,130319,495752,191226,150486,191925,Random_Multi,6,0.0,0.0,0.2,0.0
Global,2912107,1534273200000,130319,495752,191226,150486,191925,Random_Multi,6,0.0,0.0,0.2,0.0
Local,3176462,1534283997000,113926,479063,185692,141564,185668,Random_Multi,6,0.0,0.0,0.2,0.0
Global,3176462,1534283997000,113926,479063,185692,141564,185668,Random_Multi,6,0.0,0.0,0.2,0.0
Local,3361164,1534305600000,109042,467581,174625,135595,182403,Random_Multi,6,0.0,0.0,0.2,0.0
Global,3361164,1534305600000,109042,467581,174625,135595,182403,Random_Multi,6,0.0,0.0,0.2,0.0
Local,4267029,1534327200000,90895,390632,149537,108168,148619,Random_Multi,6,0.0,0.0,0.2,0.0
Global,4267029,1534327200000,90895,390632,149537,108168,148619,Random_Multi,6,0.0,0.0,0.2,0.0
Local,5314011,1534348800000,67390,303975,112987,78788,115219,Random_Multi,6,0.0,0.0,0.2,0.0
Global,5314011,1534348800000,67390,303975,112987,78788,115219,Random_Multi,6,0.0,0.0,0.2,0.0
Local,5726250,1534363199000,58219,270548,99258,65341,102853,Random_Multi,6,0.0,0.0,0.2,0.0
Global,5726250,1534363199000,58219,270548,99258,65341,102853,Random_Multi,6,0.0,0.0,0.2,0.0
Local,5979990,1534384801000,50673,256609,83006,57948,97381,Random_Multi,6,0.0,0.0,0.2,0.0
Global,5979990,1534384801000,50673,256609,83006,57948,97381,Random_Multi,6,0.0,0.0,0.2,0.0
Local,6734652,1534406401000,25164,199004,55281,40950,74752,Random_Multi,6,0.0,0.0,0.2,0.0
Global,6734652,1534406401000,25164,199004,55281,40950,74752,Random_Multi,6,0.0,0.0,0.2,0.0
Local,7863533,1534428001000,0,106887,23578,8358,36927,Random_Multi,6,0.0,0.0,0.2,0.0
Global,7863533,1534428001000,-5629,106887,23578,8358,36927,Random_Multi,6,0.0,0.0,0.2,0.0
Local,8560378,1534449599000,0,55850,1482,0,16470,Random_Multi,6,0.0,0.0,0.2,0.0
Global,8560378,1534449599000,-32556,55850,1482,-10634,16470,Random_Multi,6,0.0,0.0,0.2,0.0
Local,8811097,1534471200000,0,42641,0,0,10840,Random_Multi,6,0.0,0.0,0.2,0.0
Global,8811097,1534471200000,-46450,42641,-9532,-17190,10840,Random_Multi,6,0.0,0.0,0.2,0.0
Local,9572684,1534492800000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,9572684,1534492800000,-86824,-12089,-31882,-27729,-12619,Random_Multi,6,0.0,0.0,0.2,0.0
Local,10549106,1534514400000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,10549106,1534514400000,-103519,-103642,-56984,-53740,-50132,Random_Multi,6,0.0,0.0,0.2,0.0
Local,11220337,1534536000000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,11220337,1534536000000,-118078,-167261,-76530,-69659,-71169,Random_Multi,6,0.0,0.0,0.2,0.0
Local,11331020,1534539599000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,11331020,1534539599000,-121146,-175360,-81403,-73132,-73848,Random_Multi,6,0.0,0.0,0.2,0.0
Local,11538116,1534561200000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,11538116,1534561200000,-124764,-191366,-92240,-79440,-79005,Random_Multi,6,0.0,0.0,0.2,0.0
Local,12131153,1534582800000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,12131153,1534582800000,-136823,-247441,-107043,-91832,-101740,Random_Multi,6,0.0,0.0,0.2,0.0
Local,12921745,1534604400000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
Global,12921745,1534604400000,-153635,-320362,-131100,-108906,-128326,Random_Multi,6,0.0,0.0,0.2,0.0
Local,13594727,1534626000000,0,0,0,0,0,Random_Multi,6,0.0,0.0,0.2,0.0
