Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Daily,356003,1534208400000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,356003,1534208400000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,919597,1534230000000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,919597,1534230000000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,2159970,1534251600000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,2159970,1534251600000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,2912107,1534273200000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,2912107,1534273200000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,3176462,1534283997000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,3176462,1534283997000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,3361164,1534305600000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,3361164,1534305600000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,4267029,1534327200000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,4267029,1534327200000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,5314011,1534348800000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,5314011,1534348800000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,5726250,1534363199000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,5726250,1534363199000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,5979990,1534384801000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,5979990,1534384801000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,6734652,1534406401000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,6734652,1534406401000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,7863533,1534428001000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,7863533,1534428001000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Daily,8560378,1534449599000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
Total,8560378,1534449599000,94469,264107,108195,86512,104427,Random_Multi,6,0.0,0.0,0.2,0.2
