Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,919597,1534230000000,1919304,5034797,1401435,1928833,1681942,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,919597,1534230000000,1919304,5034797,1401435,1928833,1681942,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,2159970,1534251600000,1763193,4645819,1282984,1764558,1269385,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,2159970,1534251600000,1763193,4645819,1282984,1764558,1269385,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,2912107,1534273200000,1602866,4512568,976137,1668013,1214219,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,2912107,1534273200000,1602866,4512568,976137,1668013,1214219,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,3176462,1534283997000,1543727,4470597,877045,1639709,1178370,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,3176462,1534283997000,1543727,4470597,877045,1639709,1178370,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,3361164,1534305600000,1461411,4455718,814435,1633800,1159383,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,3361164,1534305600000,1461411,4455718,814435,1633800,1159383,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,4267029,1534327200000,1166001,4382051,652959,1573889,843983,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,4267029,1534327200000,1166001,4382051,652959,1573889,843983,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,5314011,1534348800000,961579,4308155,267090,1449667,585411,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,5314011,1534348800000,961579,4308155,267090,1449667,585411,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,5726250,1534363199000,856818,4256518,116754,1413430,516143,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,5726250,1534363199000,856818,4256518,116754,1413430,516143,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,5979990,1534384801000,824093,4153526,67064,1384262,476979,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,5979990,1534384801000,824093,4153526,67064,1384262,476979,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,6734652,1534406401000,717816,3924299,0,1308499,357849,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,6734652,1534406401000,717816,3924299,-157200,1308499,357849,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,7863533,1534428001000,626953,3609338,0,1145787,87003,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,7863533,1534428001000,626953,3609338,-446698,1145787,87003,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,8560378,1534449599000,538294,3406063,0,1076375,22101,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,8560378,1534449599000,538294,3406063,-717295,1076375,22101,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,8811097,1534471200000,479291,3363450,0,1057600,15906,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,8811097,1534471200000,479291,3363450,-841427,1057600,15906,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,9572684,1534492800000,394382,3197366,0,1028084,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,9572684,1534492800000,394382,3197366,-1286981,1028084,-19617,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,10549106,1534514400000,282733,2944950,0,991018,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,10549106,1534514400000,282733,2944950,-1824019,991018,-57869,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,11220337,1534536000000,192455,2742749,0,961621,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,11220337,1534536000000,192455,2742749,-2141776,961621,-89466,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,11331020,1534539599000,173484,2705613,0,957426,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,11331020,1534539599000,173484,2705613,-2182592,957426,-99031,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,11538116,1534561200000,103810,2669839,0,952012,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,11538116,1534561200000,103810,2669839,-2256569,952012,-121287,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,12131153,1534582800000,0,2535611,0,919848,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,12131153,1534582800000,-79923,2535611,-2428552,919848,-192215,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,12921745,1534604400000,0,2396449,0,892435,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,12921745,1534604400000,-246670,2396449,-2742148,892435,-335888,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,13594727,1534626000000,0,2253039,0,861803,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,13594727,1534626000000,-362890,2253039,-3031212,861803,-429543,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,13646663,1534629599000,0,2238059,0,860086,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,13646663,1534629599000,-369003,2238059,-3055133,860086,-434748,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,13812775,1534651200000,0,2158878,0,848715,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,13812775,1534651200000,-416834,2158878,-3075699,848715,-441910,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,14433317,1534672800000,0,1901337,0,799595,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,14433317,1534672800000,-527821,1901337,-3203865,799595,-516637,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,15170226,1534694400000,0,1524974,0,742378,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,15170226,1534694400000,-623082,1524974,-3343064,742378,-585505,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,15782548,1534712399000,0,1221058,0,702604,0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Global,15782548,1534712399000,-704816,1221058,-3492003,702604,-623464,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2031122,4989002,1398196,1857439,1690552,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2031122,4989002,1398196,1857439,1690552,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1894175,4754827,986598,1526160,1564179,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1894175,4754827,986598,1526160,1564179,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1809896,4601486,695982,1370400,1496039,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1809896,4601486,695982,1370400,1496039,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1781164,4546876,584515,1322861,1474032,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1781164,4546876,584515,1322861,1474032,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1749104,4503808,524256,1279187,1468392,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1749104,4503808,524256,1279187,1468392,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1692446,4358989,96594,1040154,1430700,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1692446,4358989,96594,1040154,1430700,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1582554,4184137,0,810199,1348615,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1582554,4184137,-353603,810199,1348615,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1532647,4091892,0,719938,1328424,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1532647,4091892,-513238,719938,1328424,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1499719,4017389,0,685860,1282770,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1499719,4017389,-579814,685860,1282770,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
