Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart,SimulationType
Local,356003,1534208400000,261177,637798,198376,251262,217623,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,356003,1534208400000,1567064,3826792,1190259,1507575,1305738,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,919597,1534230000000,223042,420741,13204,151809,193847,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,919597,1534230000000,1528929,3609735,1005087,1408122,1281962,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,961904,1534230715000,216241,415885,0,142746,185464,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,961904,1534230715000,1522128,3604879,991883,1399059,1273579,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,1522682,1534240794000,146164,344190,0,0,93458,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,1522682,1534240794000,1452051,3533184,807629,1256313,1181573,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,2159970,1534251600000,105517,230415,0,0,52624,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,2159970,1534251600000,1411404,3419409,500988,1120923,1140739,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,2604703,1534263583000,73427,117877,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,2604703,1534263583000,1379314,3306871,337616,1036814,1088115,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,2912107,1534273200000,48999,28979,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,2912107,1534273200000,1354886,3217973,237497,978441,1052530,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3021018,1534276486000,41771,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3021018,1534276486000,1347658,3188994,197125,954873,1043766,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3176462,1534283997000,31206,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3176462,1534283997000,1337093,3146643,141828,922123,1029285,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3305666,1534301886000,253921,577024,0,162158,193085,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3305666,1534301886000,1323596,3094339,113463,899857,1016513,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3361164,1534305600000,246576,558326,0,145007,190508,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3361164,1534305600000,1316251,3075641,103737,882706,1013936,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3734912,1534316218000,220382,472270,0,0,168968,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3734912,1534316218000,1290057,2989585,8786,737699,992396,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,4267029,1534327200000,180777,360172,0,0,124793,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,4267029,1534327200000,1250452,2877487,-135321,545568,948221,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5314011,1534348800000,95315,64748,0,0,51580,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,5314011,1534348800000,1164990,2582063,-483524,300889,875008,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5523252,1534356734000,69205,0,0,0,44890,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,5523252,1534356734000,1138880,2517315,-540967,246639,868318,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5726250,1534363199000,45810,0,0,0,36797,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,5726250,1534363199000,1115485,2445650,-591571,197398,860225,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5979990,1534384801000,211843,502714,0,23909,162483,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,5979990,1534384801000,1048457,2336952,-591571,171958,807652,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,6131399,1534393267000,188425,425997,0,0,135118,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,6131399,1534393267000,1025039,2260235,-591571,148049,780287,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,6734652,1534406401000,106593,119475,0,0,46026,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,6734652,1534406401000,943207,1953713,-591571,22243,691195,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,6996432,1534411688000,72023,0,0,0,4242,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,6996432,1534411688000,908637,1834238,-591571,-43708,649411,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,7027235,1534412266000,67878,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,7027235,1534412266000,904492,1820189,-591571,-52075,645169,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,7491295,1534420015000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,7491295,1534420015000,836614,1604129,-591571,-167350,580322,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,7863533,1534428001000,785067,1417043,-591571,-251826,531194,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,8560378,1534449599000,686047,1047623,-591571,-404199,455162,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
