Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart,SimulationType
Local,356003,1534208400000,261177,637798,198376,251262,217623,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,356003,1534208400000,1567064,3826792,1190259,1507575,1305738,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,919597,1534230000000,205404,391563,62595,158356,184725,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,919597,1534230000000,1511291,3580557,1054478,1414669,1272840,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1114345,1534233590000,184999,363745,0,118051,141100,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1114345,1534233590000,1490886,3552739,991883,1374364,1229215,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1380083,1534238590000,131591,295222,0,0,115344,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1380083,1534238590000,1437478,3484216,991883,1256313,1203459,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1824435,1534245125000,27262,70543,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1824435,1534245125000,1333149,3259537,991883,1256313,1088115,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1916919,1534246742000,5321,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1916919,1534246742000,1311208,3188994,991883,1256313,1088115,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1922240,1534246846000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1922240,1534246846000,1305887,3188994,991883,1256313,1088115,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2159970,1534251600000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2159970,1534251600000,1296094,3157616,872134,1193361,1074258,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2912107,1534273200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2912107,1534273200000,1239345,3030131,553139,1014759,1003953,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3176462,1534283997000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,3176462,1534283997000,1216717,2975739,443059,963551,977906,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3361164,1534305600000,222477,511072,65426,144259,187457,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,3361164,1534305600000,1195851,2891664,419874,915100,969782,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3532422,1534311390000,211764,464826,0,100474,182369,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,3532422,1534311390000,1185138,2845418,354448,871315,964694,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3752065,1534316564000,194605,378257,0,0,166928,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
