Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,919597,1534230000000,1976772,4990655,1473618,1896537,1628729,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,919597,1534230000000,1976772,4990655,1473618,1896537,1628729,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,2159970,1534251600000,1729532,4743448,1225272,1648954,1378733,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,2159970,1534251600000,1729532,4743448,1225272,1648954,1378733,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,2912107,1534273200000,1579738,4593730,1073167,1498683,1228485,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,2912107,1534273200000,1579738,4593730,1073167,1498683,1228485,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,3176462,1534283997000,1527739,4541693,1019526,1446417,1174073,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,3176462,1534283997000,1527739,4541693,1019526,1446417,1174073,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,919597,1534230000000,1976802,4988715,1475126,1896519,1629149,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,919597,1534230000000,1976802,4988715,1475126,1896519,1629149,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,2159970,1534251600000,1727213,4740348,1228624,1647171,1382583,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,2159970,1534251600000,1727213,4740348,1228624,1647171,1382583,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,2912107,1534273200000,1576811,4588729,1078770,1497623,1231870,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,2912107,1534273200000,1576811,4588729,1078770,1497623,1231870,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,3176462,1534283997000,1524096,4535099,1026649,1444405,1179199,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,3176462,1534283997000,1524096,4535099,1026649,1444405,1179199,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,919597,1534230000000,1977433,4987917,1474829,1897402,1628730,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,919597,1534230000000,1977433,4987917,1474829,1897402,1628730,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,2159970,1534251600000,1728446,4739219,1227874,1649595,1380805,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
