Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Daily,356003,1534208400000,118086,330134,135244,108140,130534,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,919597,1534230000000,111370.0,297507.0,111952.0,93683.0,114137.0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,919597,1534230000000,111370,297507,111952,93683,114137,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,2159970,1534251600000,43388.0,226328.0,86720.0,65220.0,75372.0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,2159970,1534251600000,43388,226328,86720,65220,75372,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,2912107,1534273200000,21516.0,177127.0,71396.0,45066.0,51602.0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,2912107,1534273200000,21516,177127,71396,45066,51602,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,3176462,1534283997000,7580.0,162865.0,67200.0,38579.0,45261.0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,3176462,1534283997000,7580,162865,67200,38579,45261,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,3361164,1534305600000,7580.0,162865.0,67200.0,38579.0,45261.0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,3361164,1534305600000,7580,162865,67200,38579,45261,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,4267029,1534327200000,0,84443.0,47983.0,15394.0,12425.0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,4267029,1534327200000,-7948,84443,47983,15394,12425,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,5314011,1534348800000,0,0,8832.0,0,0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,5314011,1534348800000,-11221,-7816,8832,-13887,-25460,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,5726250,1534363199000,0,0,0,0,0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,5726250,1534363199000,-16267,-24001,-24247,-20780,-33250,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,5979990,1534384801000,0,0,0,0,0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,5979990,1534384801000,-16267,-24001,-24247,-20780,-33250,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,6734652,1534406401000,0,0,0,0,0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,6734652,1534406401000,-47892,-64180,-45503,-35578,-53288,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,7863533,1534428001000,0,0,0,0,0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,7863533,1534428001000,-79197,-139422,-69196,-63735,-90314,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,8560378,1534449599000,0,0,0,0,0,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,8560378,1534449599000,-103965,-180462,-85669,-80400,-110856,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,356003,1534208400000,118086,330134,135244,108140,130534,TS_Lin_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,TS_Lin_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
