Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
28,12810,400000,1534215666000,0.00219,0.00219,0.00111,0.996,0.000477,nan,0.571,0.0,0.429,1.0,0.571,0.613,0.387,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
99,37098,500000,1534221203000,0.00267,0.00267,0.00133,0.996,0.000646,nan,0.516,0.0,0.484,1.0,0.516,0.54,0.46,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
137,56703,600000,1534223933000,0.00242,0.00242,0.00111,0.996,0.000545,nan,0.507,0.0,0.493,1.0,0.507,0.543,0.457,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
182,74638,700000,1534225990000,0.00244,0.00244,0.00105,0.996,0.00052,nan,0.504,0.0,0.496,1.0,0.504,0.542,0.458,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
207,93340,800000,1534227870000,0.00222,0.00222,0.000925,0.996,0.000459,nan,0.504,0.0,0.496,1.0,0.504,0.553,0.447,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
245,110180,900000,1534229635000,0.00222,0.00222,0.000866,0.996,0.000415,nan,0.52,0.0,0.48,1.0,0.52,0.571,0.429,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
274,124704,1000000,1534231460000,0.00149,0.0022,0.000845,0.996,0.000419,nan,0.504,0.0,0.496,1.0,0.504,0.553,0.447,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
291,139310,1100000,1534233317000,0.00131,0.00209,0.000804,0.996,0.000413,nan,0.487,0.0,0.513,1.0,0.487,0.54,0.46,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
315,155815,1200000,1534235388000,0.00136,0.00202,0.000788,0.996,0.000415,nan,0.474,0.0,0.526,1.0,0.474,0.529,0.471,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
366,172910,1300000,1534237355000,0.00183,0.00212,0.000801,0.996,0.000413,nan,0.484,0.0,0.516,1.0,0.484,0.53,0.47,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
389,186436,1400000,1534238888000,0.0018,0.00209,0.000773,0.996,0.0004,nan,0.482,0.0,0.518,1.0,0.482,0.529,0.471,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
407,200044,1500000,1534240422000,0.00173,0.00203,0.000758,0.996,0.000402,nan,0.469,0.0,0.531,1.0,0.469,0.52,0.48,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
427,211479,1600000,1534241857000,0.00173,0.00202,0.000739,0.996,0.000396,nan,0.464,0.0,0.536,1.0,0.464,0.516,0.484,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
447,222860,1700000,1534243199000,0.00173,0.00201,0.00073,0.996,0.000397,nan,0.456,0.0,0.544,1.0,0.456,0.508,0.492,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
460,235280,1800000,1534244712000,0.00166,0.00196,0.000713,0.996,0.000395,nan,0.447,0.0,0.553,1.0,0.447,0.503,0.497,LinUCB_Disjoint,6,0.001,0.0,0.2,0.2
