Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
30,12958,400000,1534215666000,0.00232,0.00232,0.00112,0.995,0.000432,nan,0.612,0.0,0.388,1.0,0.612,0.799,0.201,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
97,35707,500000,1534221203000,0.00272,0.00272,0.00133,0.995,0.00066,nan,0.505,0.0,0.495,1.0,0.505,0.654,0.346,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
137,54904,600000,1534223933000,0.0025,0.0025,0.00111,0.995,0.000545,nan,0.507,0.0,0.493,1.0,0.507,0.689,0.311,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
176,72677,700000,1534225990000,0.00242,0.00242,0.00105,0.995,0.000538,nan,0.488,0.0,0.512,1.0,0.488,0.684,0.316,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
199,91335,800000,1534227870000,0.00218,0.00218,0.000929,0.995,0.000477,nan,0.484,0.0,0.516,1.0,0.484,0.714,0.286,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
226,108498,900000,1534229635000,0.00208,0.00208,0.00087,0.995,0.00045,nan,0.48,0.0,0.52,1.0,0.48,0.729,0.271,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
253,123157,1000000,1534231460000,0.00148,0.00205,0.000848,0.995,0.000452,nan,0.465,0.0,0.535,1.0,0.465,0.711,0.289,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
272,137974,1100000,1534233317000,0.00137,0.00197,0.000807,0.995,0.000438,nan,0.455,0.0,0.545,1.0,0.455,0.708,0.292,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
296,154120,1200000,1534235388000,0.00141,0.00192,0.000791,0.995,0.000437,nan,0.445,0.0,0.555,1.0,0.445,0.699,0.301,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
349,171193,1300000,1534237355000,0.0019,0.00204,0.000804,0.995,0.000431,nan,0.462,0.0,0.538,1.0,0.462,0.698,0.302,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
374,184797,1400000,1534238888000,0.00189,0.00202,0.000776,0.995,0.000415,nan,0.463,0.0,0.537,1.0,0.463,0.704,0.296,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
392,198187,1500000,1534240422000,0.0018,0.00198,0.000761,0.995,0.000415,nan,0.452,0.0,0.548,1.0,0.452,0.696,0.304,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
412,209345,1600000,1534241857000,0.0018,0.00197,0.000742,0.995,0.000408,nan,0.448,0.0,0.552,1.0,0.448,0.696,0.304,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
436,220625,1700000,1534243199000,0.00184,0.00198,0.000733,0.995,0.000406,nan,0.444,0.0,0.556,1.0,0.444,0.693,0.307,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
449,232571,1800000,1534244712000,0.00176,0.00193,0.000716,0.995,0.000402,nan,0.436,0.0,0.564,1.0,0.436,0.69,0.31,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
471,246478,1900000,1534246424000,0.00174,0.00191,0.000709,0.995,0.000401,nan,0.432,0.0,0.568,1.0,0.432,0.688,0.312,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
512,263251,2000000,1534248381000,0.00182,0.00194,0.000723,0.995,0.000409,nan,0.432,0.0,0.568,1.0,0.432,0.68,0.32,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
571,281255,2100000,1534250381000,0.00198,0.00203,0.000738,0.995,0.000408,nan,0.445,0.0,0.555,1.0,0.445,0.682,0.318,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
639,300706,2200000,1534252487000,0.00305,0.00212,0.000755,0.995,0.000407,nan,0.46,0.0,0.54,1.0,0.46,0.682,0.318,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
703,317048,2300000,1534254861000,0.00363,0.00222,0.000769,0.995,0.000406,nan,0.471,0.0,0.529,1.0,0.471,0.679,0.321,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
744,333263,2400000,1534257558000,0.00319,0.00223,0.000778,0.995,0.000412,nan,0.469,0.0,0.531,1.0,0.469,0.671,0.329,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
792,352336,2500000,1534260327000,0.00297,0.00225,0.000781,0.995,0.00041,nan,0.474,0.0,0.526,1.0,0.474,0.671,0.329,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
839,374545,2600000,1534263432000,0.00274,0.00224,0.000781,0.995,0.000405,nan,0.48,0.0,0.52,1.0,0.48,0.673,0.327,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
910,397624,2700000,1534266431000,0.00281,0.00229,0.000797,0.995,0.000407,nan,0.488,0.0,0.512,1.0,0.488,0.672,0.328,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
971,422599,2800000,1534269300000,0.00274,0.0023,0.000816,0.995,0.000417,nan,0.488,0.0,0.512,1.0,0.488,0.666,0.334,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
1016,446555,2900000,1534272798000,0.00261,0.00228,0.000817,0.995,0.000416,nan,0.49,0.0,0.51,1.0,0.49,0.666,0.334,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
1047,470592,3000000,1534275826000,0.00128,0.00222,0.000815,0.995,0.000417,nan,0.487,0.0,0.513,1.0,0.487,0.664,0.336,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
1106,494472,3100000,1534279185000,0.00191,0.00224,0.000832,0.995,0.000428,nan,0.485,0.0,0.515,1.0,0.485,0.656,0.344,LinUCB_Disjoint,6,0.1,0.0,0.2,0.2
