Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
16,5418,400000,1534215666000,0.00295,0.00295,0.00121,1.02,0.00075,nan,0.327,0.0,0.673,1.0,0.327,1.36,-0.363,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
44,20147,500000,1534221203000,0.00218,0.00218,0.00141,1.01,0.00103,nan,0.229,0.0,0.771,1.0,0.229,1.06,-0.0584,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
58,32314,600000,1534223933000,0.00179,0.00179,0.00119,1.01,0.000869,nan,0.215,0.0,0.785,1.0,0.215,1.19,-0.185,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
66,44247,700000,1534225990000,0.00149,0.00149,0.00113,1.01,0.000858,nan,0.183,0.0,0.817,1.0,0.183,1.2,-0.203,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
77,56382,800000,1534227870000,0.00137,0.00137,0.00101,1.01,0.000752,nan,0.187,0.0,0.813,1.0,0.187,1.33,-0.331,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
99,68057,900000,1534229635000,0.00145,0.00145,0.000948,1.01,0.000684,nan,0.21,0.0,0.79,1.0,0.21,1.41,-0.41,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
113,78127,1000000,1534231460000,0.00104,0.00145,0.000921,1.01,0.000669,nan,0.208,0.0,0.792,1.0,0.208,1.39,-0.393,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
128,88639,1100000,1534233317000,0.00126,0.00144,0.000877,1.01,0.000632,nan,0.214,0.0,0.786,1.0,0.214,1.42,-0.417,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
140,100533,1200000,1534235388000,0.00116,0.00139,0.000858,1.01,0.000622,nan,0.211,0.0,0.789,1.0,0.211,1.41,-0.408,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
181,112296,1300000,1534237355000,0.00181,0.00161,0.000868,1.01,0.000609,nan,0.239,0.0,0.761,1.0,0.239,1.39,-0.389,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
199,135877,1400000,1534238888000,0.00144,0.00146,0.000839,1.0,0.000582,nan,0.247,0.0,0.753,1.0,0.247,1.41,-0.409,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
226,160341,1500000,1534240422000,0.00135,0.00141,0.000821,1.0,0.00056,nan,0.261,0.0,0.739,1.0,0.261,1.42,-0.418,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
238,185330,1600000,1534241857000,0.00116,0.00128,0.000801,1.0,0.000548,nan,0.259,0.0,0.741,1.0,0.259,1.42,-0.421,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
261,208845,1700000,1534243199000,0.00113,0.00125,0.00079,1.0,0.000536,nan,0.266,0.0,0.734,1.0,0.266,1.42,-0.422,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
285,230928,1800000,1534244712000,0.00112,0.00123,0.000772,1.0,0.000516,nan,0.277,0.0,0.723,1.0,0.277,1.44,-0.437,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
303,251636,1900000,1534246424000,0.00109,0.0012,0.000763,1.0,0.00051,nan,0.278,0.0,0.722,1.0,0.278,1.44,-0.436,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
328,263765,2000000,1534248381000,0.00115,0.00124,0.000777,1.0,0.000521,nan,0.277,0.0,0.723,1.0,0.277,1.41,-0.406,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
344,275660,2100000,1534250381000,0.00116,0.00125,0.000791,1.0,0.000538,nan,0.268,0.0,0.732,1.0,0.268,1.38,-0.376,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
373,287130,2200000,1534252487000,0.00235,0.0013,0.000808,1.0,0.000551,nan,0.269,0.0,0.731,1.0,0.269,1.34,-0.343,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
392,298545,2300000,1534254861000,0.00186,0.00131,0.00082,1.0,0.000566,nan,0.263,0.0,0.737,1.0,0.263,1.31,-0.306,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
408,310208,2400000,1534257558000,0.00166,0.00132,0.000828,1.0,0.000577,nan,0.257,0.0,0.743,1.0,0.257,1.28,-0.277,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
431,321886,2500000,1534260327000,0.00175,0.00134,0.00083,1.0,0.000578,nan,0.258,0.0,0.742,1.0,0.258,1.26,-0.264,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
462,334403,2600000,1534263432000,0.00192,0.00138,0.000828,1.0,0.000573,nan,0.264,0.0,0.736,1.0,0.264,1.26,-0.26,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
507,348261,2700000,1534266431000,0.0022,0.00146,0.000844,1.0,0.000579,nan,0.272,0.0,0.728,1.0,0.272,1.24,-0.24,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
537,362204,2800000,1534269300000,0.00219,0.00148,0.000862,1.0,0.000595,nan,0.27,0.0,0.73,1.0,0.27,1.21,-0.213,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
566,375767,2900000,1534272798000,0.00219,0.00151,0.000863,1.0,0.000593,nan,0.273,0.0,0.727,1.0,0.273,1.21,-0.209,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
584,390396,3000000,1534275826000,0.00123,0.0015,0.00086,1.0,0.000592,nan,0.272,0.0,0.728,1.0,0.272,1.2,-0.203,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
616,405278,3100000,1534279185000,0.00172,0.00152,0.000877,1.0,0.000606,nan,0.27,0.0,0.73,1.0,0.27,1.18,-0.176,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
656,422576,3400000,1534307392000,0.00309,0.00155,0.000951,1.0,0.000693,nan,0.237,0.0,0.763,1.0,0.237,1.04,-0.0408,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
692,438886,3500000,1534310553000,0.00246,0.00158,0.000959,1.0,0.000698,nan,0.24,0.0,0.76,1.0,0.24,1.03,-0.0332,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
722,454909,3600000,1534313223000,0.00222,0.00159,0.000958,1.0,0.000694,nan,0.243,0.0,0.757,1.0,0.243,1.03,-0.0335,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
753,471083,3700000,1534315472000,0.00213,0.0016,0.000956,1.0,0.00069,nan,0.246,0.0,0.754,1.0,0.246,1.03,-0.0343,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
