Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
16,13323,400000,1534215666000,0.0012,0.0012,0.00121,1.02,0.00075,nan,0.327,0.0,0.673,1.0,0.327,1.35,-0.35,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
62,34123,500000,1534221203000,0.00182,0.00182,0.00141,1.01,0.000903,nan,0.323,0.0,0.677,1.0,0.323,1.1,-0.1,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
96,53530,600000,1534223933000,0.00179,0.00179,0.00119,1.01,0.000713,nan,0.356,0.0,0.644,1.0,0.356,1.25,-0.252,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
109,71635,700000,1534225990000,0.00152,0.00152,0.00113,1.01,0.000733,nan,0.302,0.0,0.698,1.0,0.302,1.26,-0.258,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
120,91410,800000,1534227870000,0.00131,0.00131,0.00101,1.01,0.000655,nan,0.292,0.0,0.708,1.0,0.292,1.38,-0.376,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
143,109034,900000,1534229635000,0.00131,0.00131,0.000948,1.01,0.000603,nan,0.304,0.0,0.696,1.0,0.304,1.45,-0.448,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
165,124791,1000000,1534231460000,0.00126,0.00132,0.000922,1.01,0.000589,nan,0.303,0.0,0.697,1.0,0.303,1.44,-0.443,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
176,142145,1100000,1534233317000,0.0009,0.00124,0.000878,1.01,0.000567,nan,0.294,0.0,0.706,1.0,0.294,1.47,-0.467,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
194,159269,1200000,1534235388000,0.000955,0.00122,0.00086,1.01,0.000558,nan,0.292,0.0,0.708,1.0,0.292,1.47,-0.466,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
231,178566,1300000,1534237355000,0.00123,0.00129,0.000871,1.01,0.000556,nan,0.306,0.0,0.694,1.0,0.306,1.44,-0.443,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.2,0.2
