Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
16,5779,400000,1534215666000,0.00277,0.00277,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
44,21865,500000,1534221203000,0.00174,0.00201,0.977,2.93e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
59,35390,600000,1534223933000,0.00111,0.00167,0.97,2.91e+02,0.976,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
67,48658,700000,1534225990000,0.000603,0.00138,0.984,2.95e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
80,61850,800000,1534227870000,0.000985,0.00129,0.98,2.94e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
104,74723,900000,1534229635000,0.00186,0.00139,0.976,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
122,85336,1000000,1534231460000,0.0017,0.00143,0.984,2.95e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
137,96186,1100000,1534233317000,0.00138,0.00142,0.984,2.95e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
151,108552,1200000,1534235388000,0.00113,0.00139,0.977,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
192,120724,1300000,1534237355000,0.00337,0.00159,0.98,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
210,142302,1400000,1534238888000,0.000834,0.00148,0.979,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
237,160966,1500000,1534240422000,0.00145,0.00147,0.986,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
