Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
16,5848,400000,1534215666000,0.00274,0.00274,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
44,22101,500000,1534221203000,0.00172,0.00199,0.977,2.93e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
59,35839,600000,1534223933000,0.00109,0.00165,0.97,2.91e+02,0.976,2.93e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
69,49265,700000,1534225990000,0.000745,0.0014,0.985,2.96e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
82,62514,800000,1534227870000,0.000981,0.00131,0.98,2.94e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
106,75510,900000,1534229635000,0.00185,0.0014,0.976,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
124,86186,1000000,1534231460000,0.00169,0.00144,0.984,2.95e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
139,97077,1100000,1534233317000,0.00138,0.00143,0.984,2.95e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
153,109443,1200000,1534235388000,0.00113,0.0014,0.977,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
192,121662,1300000,1534237355000,0.00319,0.00158,0.98,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
210,145113,1400000,1534238888000,0.000768,0.00145,0.979,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
241,169656,1500000,1534240422000,0.00126,0.00142,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
253,194478,1600000,1534241857000,0.000483,0.0013,0.975,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
276,217950,1700000,1534243199000,0.00098,0.00127,0.985,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
298,239859,1800000,1534244712000,0.001,0.00124,0.981,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
316,260338,1900000,1534246424000,0.000879,0.00121,0.979,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
341,272870,2000000,1534248381000,0.00199,0.00125,0.976,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
355,285229,2100000,1534250381000,0.00113,0.00124,0.976,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
382,297119,2200000,1534252487000,0.00227,0.00129,0.978,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
401,309308,2300000,1534254861000,0.00156,0.0013,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
421,321863,2400000,1534257558000,0.00159,0.00131,0.986,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
448,334346,2500000,1534260327000,0.00216,0.00134,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
481,347775,2600000,1534263432000,0.00246,0.00138,0.978,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
532,362586,2700000,1534266431000,0.00344,0.00147,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
564,377345,2800000,1534269300000,0.00217,0.00149,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
593,391865,2900000,1534272798000,0.002,0.00151,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
609,407234,3000000,1534275826000,0.00104,0.0015,0.982,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
647,422733,3100000,1534279185000,0.00245,0.00153,0.983,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,1,DAILY,1,False,0.05,False,0.0,0.0
