Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
16,5854,400000,1534215666000,0.00273,0.00273,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
44,22143,500000,1534221203000,0.00172,0.00199,0.977,2.93e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
59,35923,600000,1534223933000,0.00109,0.00164,0.97,2.91e+02,0.976,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
69,49377,700000,1534225990000,0.000743,0.0014,0.985,2.96e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
82,62676,800000,1534227870000,0.000978,0.00131,0.98,2.94e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
106,75698,900000,1534229635000,0.00184,0.0014,0.976,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
120,86688,1000000,1534231460000,0.00127,0.00138,0.983,2.95e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
137,97847,1100000,1534233317000,0.00152,0.0014,0.985,2.96e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
151,110459,1200000,1534235388000,0.00111,0.00137,0.977,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
192,122950,1300000,1534237355000,0.00328,0.00156,0.98,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
210,134450,1400000,1534238888000,0.00157,0.00156,0.983,2.95e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
226,145247,1500000,1534240422000,0.00148,0.00156,0.986,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
230,155271,1600000,1534241857000,0.000399,0.00148,0.992,2.98e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
240,165626,1700000,1534243199000,0.000966,0.00145,0.99,2.97e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
256,176929,1800000,1534244712000,0.00142,0.00145,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
270,188771,1900000,1534246424000,0.00118,0.00143,0.991,2.97e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
288,203553,2000000,1534248381000,0.00122,0.00141,0.987,2.96e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
309,214510,2100000,1534250381000,0.00192,0.00144,0.984,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
332,223512,2200000,1534252487000,0.00255,0.00149,0.98,2.94e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
358,232389,2300000,1534254861000,0.00293,0.00154,0.984,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
373,241881,2400000,1534257558000,0.00158,0.00154,0.983,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
390,251297,2500000,1534260327000,0.00181,0.00155,0.979,2.94e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
418,263035,2600000,1534263432000,0.00239,0.00159,0.975,2.92e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
459,275656,2700000,1534266431000,0.00325,0.00167,0.983,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
489,288509,2800000,1534269300000,0.00233,0.00169,0.979,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
512,301345,2900000,1534272798000,0.00179,0.0017,0.977,2.93e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
532,317402,3000000,1534275826000,0.00125,0.00168,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
573,334025,3100000,1534279185000,0.00247,0.00172,0.985,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
