Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
16,5781,400000,1534215666000,0.00277,0.00277,0.00121,1.02,0.00075,nan,0.327,0.0,0.673,1.0,0.327,1.36,-0.361,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
44,21867,500000,1534221203000,0.00201,0.00201,0.00141,1.01,0.00103,nan,0.229,0.0,0.771,1.0,0.229,1.06,-0.0568,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
59,35417,600000,1534223933000,0.00167,0.00167,0.00119,1.01,0.000865,nan,0.219,0.0,0.781,1.0,0.219,1.19,-0.185,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
67,48703,700000,1534225990000,0.00138,0.00138,0.00113,1.01,0.000855,nan,0.186,0.0,0.814,1.0,0.186,1.2,-0.203,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
80,61931,800000,1534227870000,0.00129,0.00129,0.00101,1.01,0.000746,nan,0.195,0.0,0.805,1.0,0.195,1.33,-0.333,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
104,74823,900000,1534229635000,0.00139,0.00139,0.000947,1.01,0.000675,nan,0.221,0.0,0.779,1.0,0.221,1.41,-0.414,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
120,85585,1000000,1534231460000,0.00122,0.0014,0.000921,1.01,0.000658,nan,0.221,0.0,0.779,1.0,0.221,1.4,-0.4,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
137,96570,1100000,1534233317000,0.00141,0.00142,0.000877,1.01,0.00062,nan,0.229,0.0,0.771,1.0,0.229,1.43,-0.425,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
151,109037,1200000,1534235388000,0.00129,0.00138,0.000858,1.01,0.000609,nan,0.227,0.0,0.773,1.0,0.227,1.42,-0.417,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
192,121399,1300000,1534237355000,0.00186,0.00158,0.000868,1.01,0.000597,nan,0.254,0.0,0.746,1.0,0.254,1.4,-0.398,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
210,144549,1400000,1534238888000,0.00149,0.00145,0.000838,1.0,0.000572,nan,0.26,0.0,0.74,1.0,0.26,1.42,-0.417,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
240,168750,1500000,1534240422000,0.00142,0.00142,0.000821,1.0,0.000548,nan,0.277,0.0,0.723,1.0,0.277,1.43,-0.428,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
252,193076,1600000,1534241857000,0.00123,0.00131,0.000801,1.0,0.000537,nan,0.274,0.0,0.726,1.0,0.274,1.43,-0.43,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
272,215978,1700000,1534243199000,0.00117,0.00126,0.00079,1.0,0.000528,nan,0.277,0.0,0.723,1.0,0.277,1.43,-0.428,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
296,237540,1800000,1534244712000,0.00116,0.00125,0.000772,1.0,0.000508,nan,0.287,0.0,0.713,1.0,0.287,1.44,-0.443,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
314,257738,1900000,1534246424000,0.00113,0.00122,0.000763,1.0,0.000503,nan,0.288,0.0,0.712,1.0,0.288,1.44,-0.443,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
339,270357,2000000,1534248381000,0.00119,0.00125,0.000777,1.0,0.000515,nan,0.286,0.0,0.714,1.0,0.286,1.41,-0.412,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
353,282718,2100000,1534250381000,0.00118,0.00125,0.000791,1.0,0.000533,nan,0.275,0.0,0.725,1.0,0.275,1.38,-0.381,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
374,294705,2200000,1534252487000,0.000981,0.00127,0.000807,1.0,0.00055,nan,0.269,0.0,0.731,1.0,0.269,1.34,-0.344,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
394,307920,2300000,1534254861000,0.00137,0.00128,0.00082,1.0,0.000565,nan,0.264,0.0,0.736,1.0,0.264,1.3,-0.304,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
412,321215,2400000,1534257558000,0.00136,0.00128,0.000827,1.0,0.000575,nan,0.26,0.0,0.74,1.0,0.26,1.27,-0.275,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
428,334933,2500000,1534260327000,0.0013,0.00128,0.000829,1.0,0.00058,nan,0.256,0.0,0.744,1.0,0.256,1.26,-0.258,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
453,349060,2600000,1534263432000,0.00141,0.0013,0.000828,1.0,0.000577,nan,0.259,0.0,0.741,1.0,0.259,1.25,-0.251,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
498,364391,2700000,1534266431000,0.00172,0.00137,0.000843,1.0,0.000583,nan,0.267,0.0,0.733,1.0,0.267,1.23,-0.229,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
528,379580,2800000,1534269300000,0.00177,0.00139,0.000861,1.0,0.000598,nan,0.265,0.0,0.735,1.0,0.265,1.2,-0.202,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
547,394003,2900000,1534272798000,0.00171,0.00139,0.000862,1.0,0.000601,nan,0.264,0.0,0.736,1.0,0.264,1.19,-0.194,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
565,406586,3000000,1534275826000,0.0011,0.00139,0.000859,1.0,0.000599,nan,0.263,0.0,0.737,1.0,0.263,1.19,-0.186,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
615,419972,3100000,1534279185000,0.00255,0.00146,0.000875,1.0,0.000607,nan,0.27,0.0,0.73,1.0,0.27,1.16,-0.161,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
665,435966,3400000,1534307392000,0.00279,0.00153,0.00095,1.0,0.000691,nan,0.24,0.0,0.76,1.0,0.24,1.03,-0.0287,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
705,453425,3500000,1534310553000,0.00245,0.00155,0.000958,1.0,0.000694,nan,0.244,0.0,0.756,1.0,0.244,1.02,-0.0218,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
715,470957,3600000,1534313223000,0.00168,0.00152,0.000956,1.0,0.000696,nan,0.24,0.0,0.76,1.0,0.24,1.02,-0.018,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
735,488492,3700000,1534315472000,0.00152,0.0015,0.000955,1.0,0.000696,nan,0.24,0.0,0.76,1.0,0.24,1.02,-0.0165,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
747,506093,3800000,1534317461000,0.00133,0.00148,0.000946,1.0,0.00069,nan,0.239,0.0,0.761,1.0,0.239,1.02,-0.02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
777,524300,3900000,1534319605000,0.00139,0.00148,0.000945,1.0,0.000687,nan,0.242,0.0,0.758,1.0,0.242,1.02,-0.0203,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
798,541621,4000000,1534321811000,0.00137,0.00147,0.000941,1.0,0.000684,nan,0.243,0.0,0.757,1.0,0.243,1.02,-0.0225,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
818,558466,4100000,1534324066000,0.00134,0.00146,0.000938,1.0,0.000681,nan,0.243,0.0,0.757,1.0,0.243,1.02,-0.0245,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
842,575038,4200000,1534325982000,0.00135,0.00146,0.000937,1.0,0.00068,nan,0.244,0.0,0.756,1.0,0.244,1.02,-0.0249,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
874,591517,4300000,1534327753000,0.000924,0.00148,0.000942,1.0,0.000683,nan,0.245,0.0,0.755,1.0,0.245,1.02,-0.0194,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
890,608608,4400000,1534329253000,0.000933,0.00146,0.000942,1.0,0.000685,nan,0.243,0.0,0.757,1.0,0.243,1.01,-0.00974,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
902,620627,4500000,1534330607000,0.000956,0.00145,0.00094,1.0,0.000686,nan,0.241,0.0,0.759,1.0,0.241,1.0,-0.00231,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
912,633767,4600000,1534332371000,0.000902,0.00144,0.000943,1.0,0.000693,nan,0.237,0.0,0.763,1.0,0.237,0.99,0.0101,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
921,647982,4700000,1534334282000,0.00084,0.00142,0.00094,1.0,0.000693,nan,0.234,0.0,0.766,1.0,0.234,0.983,0.0173,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
921,661822,4800000,1534336223000,0.000687,0.00139,0.000933,1.0,0.000692,nan,0.231,0.0,0.769,1.0,0.231,0.978,0.0222,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
927,675576,4900000,1534338220000,0.000648,0.00137,0.000932,1.0,0.000694,nan,0.227,0.0,0.773,1.0,0.227,0.97,0.0299,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
933,690066,5000000,1534340324000,0.000616,0.00135,0.000929,1.0,0.000695,nan,0.224,0.0,0.776,1.0,0.224,0.963,0.0369,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
945,704226,5100000,1534342505000,0.000643,0.00134,0.000928,1.0,0.000696,nan,0.223,0.0,0.777,1.0,0.223,0.957,0.0432,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
953,717869,5200000,1534345017000,0.000638,0.00133,0.000926,0.999,0.000697,nan,0.22,0.0,0.78,1.0,0.22,0.95,0.0496,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
967,731986,5300000,1534348283000,0.000672,0.00132,0.000936,0.999,0.000708,nan,0.216,0.0,0.784,1.0,0.216,0.935,0.065,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1
