Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
14,8814,400000,1534215666000,0.00159,0.00159,0.332,99.8,0.000796,nan,0.286,0.0,0.714,1.0,0.286,1.14e+02,-1.13e+02,Random,6,0.0,0.0,0.2,0.2
37,28926,500000,1534221203000,0.00128,0.00128,0.334,1.01e+02,0.00108,nan,0.193,0.0,0.807,1.0,0.193,98.6,-97.6,Random,6,0.0,0.0,0.2,0.2
63,48998,600000,1534223933000,0.00129,0.00129,0.333,1e+02,0.000848,nan,0.233,0.0,0.767,1.0,0.233,1.16e+02,-1.15e+02,Random,6,0.0,0.0,0.2,0.2
89,69337,700000,1534225990000,0.00128,0.00128,0.334,1e+02,0.000791,nan,0.247,0.0,0.753,1.0,0.247,1.22e+02,-1.21e+02,Random,6,0.0,0.0,0.2,0.2
91,89629,800000,1534227870000,0.00102,0.00102,0.334,1.01e+02,0.000721,nan,0.221,0.0,0.779,1.0,0.221,1.36e+02,-1.35e+02,Random,6,0.0,0.0,0.2,0.2
101,109394,900000,1534229635000,0.000923,0.000923,0.334,1e+02,0.00068,nan,0.214,0.0,0.786,1.0,0.214,1.44e+02,-1.43e+02,Random,6,0.0,0.0,0.2,0.2
111,129207,1000000,1534231460000,0.000626,0.000859,0.333,1e+02,0.000672,nan,0.204,0.0,0.796,1.0,0.204,1.47e+02,-1.46e+02,Random,6,0.0,0.0,0.2,0.2
127,149082,1100000,1534233317000,0.000725,0.000852,0.333,1e+02,0.000633,nan,0.212,0.0,0.788,1.0,0.212,1.53e+02,-1.52e+02,Random,6,0.0,0.0,0.2,0.2
141,169491,1200000,1534235388000,0.000711,0.000832,0.333,1e+02,0.000621,nan,0.212,0.0,0.788,1.0,0.212,1.56e+02,-1.55e+02,Random,6,0.0,0.0,0.2,0.2
160,189427,1300000,1534237355000,0.000774,0.000845,0.333,1e+02,0.000631,nan,0.212,0.0,0.788,1.0,0.212,1.54e+02,-1.53e+02,Random,6,0.0,0.0,0.2,0.2
164,209725,1400000,1534238888000,0.000653,0.000782,0.334,1e+02,0.000616,nan,0.203,0.0,0.797,1.0,0.203,1.59e+02,-1.58e+02,Random,6,0.0,0.0,0.2,0.2
170,229932,1500000,1534240422000,0.000591,0.000739,0.334,1e+02,0.000609,nan,0.196,0.0,0.804,1.0,0.196,1.61e+02,-1.6e+02,Random,6,0.0,0.0,0.2,0.2
182,249519,1600000,1534241857000,0.000594,0.000729,0.334,1e+02,0.000593,nan,0.198,0.0,0.802,1.0,0.198,1.65e+02,-1.64e+02,Random,6,0.0,0.0,0.2,0.2
198,269997,1700000,1534243199000,0.000619,0.000733,0.334,1.01e+02,0.000583,nan,0.202,0.0,0.798,1.0,0.202,1.67e+02,-1.66e+02,Random,6,0.0,0.0,0.2,0.2
206,290360,1800000,1534244712000,0.000593,0.000709,0.334,1.01e+02,0.000571,nan,0.2,0.0,0.8,1.0,0.2,1.7e+02,-1.69e+02,Random,6,0.0,0.0,0.2,0.2
210,310780,1900000,1534246424000,0.000552,0.000676,0.334,1.01e+02,0.00057,nan,0.193,0.0,0.807,1.0,0.193,1.72e+02,-1.71e+02,Random,6,0.0,0.0,0.2,0.2
226,330604,2000000,1534248381000,0.000575,0.000684,0.334,1.01e+02,0.000583,nan,0.191,0.0,0.809,1.0,0.191,1.69e+02,-1.68e+02,Random,6,0.0,0.0,0.2,0.2
248,350847,2100000,1534250381000,0.000619,0.000707,0.334,1.01e+02,0.000593,nan,0.193,0.0,0.807,1.0,0.193,1.66e+02,-1.65e+02,Random,6,0.0,0.0,0.2,0.2
261,370880,2200000,1534252487000,0.000858,0.000704,0.334,1.01e+02,0.000612,nan,0.188,0.0,0.812,1.0,0.188,1.62e+02,-1.61e+02,Random,6,0.0,0.0,0.2,0.2
280,391235,2300000,1534254861000,0.000912,0.000716,0.334,1.01e+02,0.000623,nan,0.188,0.0,0.812,1.0,0.188,1.6e+02,-1.59e+02,Random,6,0.0,0.0,0.2,0.2
292,411133,2400000,1534257558000,0.000785,0.00071,0.334,1.01e+02,0.000634,nan,0.184,0.0,0.816,1.0,0.184,1.58e+02,-1.57e+02,Random,6,0.0,0.0,0.2,0.2
304,431330,2500000,1534260327000,0.000729,0.000705,0.334,1.01e+02,0.000638,nan,0.182,0.0,0.818,1.0,0.182,1.58e+02,-1.57e+02,Random,6,0.0,0.0,0.2,0.2
321,451663,2600000,1534263432000,0.000753,0.000711,0.334,1.01e+02,0.000636,nan,0.184,0.0,0.816,1.0,0.184,1.58e+02,-1.57e+02,Random,6,0.0,0.0,0.2,0.2
338,471990,2700000,1534266431000,0.000769,0.000716,0.334,1.01e+02,0.000651,nan,0.181,0.0,0.819,1.0,0.181,1.55e+02,-1.54e+02,Random,6,0.0,0.0,0.2,0.2
372,492055,2800000,1534269300000,0.000912,0.000756,0.334,1.01e+02,0.000662,nan,0.187,0.0,0.813,1.0,0.187,1.52e+02,-1.51e+02,Random,6,0.0,0.0,0.2,0.2
393,512224,2900000,1534272798000,0.00093,0.000767,0.334,1.01e+02,0.000661,nan,0.189,0.0,0.811,1.0,0.189,1.51e+02,-1.5e+02,Random,6,0.0,0.0,0.2,0.2
