Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
8,9071,400000,1534215666000,0.000882,0.000882,0.338,1.02e+02,0.000932,nan,0.163,0.0,0.837,1.0,0.163,1.17e+02,-1.16e+02,Random,6,0.0,0.0,0.2,0.2
39,29250,500000,1534221203000,0.00133,0.00133,0.335,1.01e+02,0.00106,nan,0.203,0.0,0.797,1.0,0.203,98.9,-97.9,Random,6,0.0,0.0,0.2,0.2
55,49556,600000,1534223933000,0.00111,0.00111,0.335,1.01e+02,0.000881,nan,0.204,0.0,0.796,1.0,0.204,1.16e+02,-1.15e+02,Random,6,0.0,0.0,0.2,0.2
71,69463,700000,1534225990000,0.00102,0.00102,0.335,1.01e+02,0.000843,nan,0.197,0.0,0.803,1.0,0.197,1.22e+02,-1.21e+02,Random,6,0.0,0.0,0.2,0.2
81,89732,800000,1534227870000,0.000903,0.000903,0.335,1.01e+02,0.000743,nan,0.197,0.0,0.803,1.0,0.197,1.36e+02,-1.35e+02,Random,6,0.0,0.0,0.2,0.2
94,109378,900000,1534229635000,0.000859,0.000859,0.334,1.01e+02,0.000693,nan,0.2,0.0,0.8,1.0,0.2,1.44e+02,-1.43e+02,Random,6,0.0,0.0,0.2,0.2
105,129033,1000000,1534231460000,0.000446,0.000814,0.334,1e+02,0.000682,nan,0.193,0.0,0.807,1.0,0.193,1.47e+02,-1.46e+02,Random,6,0.0,0.0,0.2,0.2
115,149247,1100000,1534233317000,0.000473,0.000771,0.334,1.01e+02,0.000649,nan,0.192,0.0,0.808,1.0,0.192,1.53e+02,-1.52e+02,Random,6,0.0,0.0,0.2,0.2
137,169242,1200000,1534235388000,0.000698,0.000809,0.334,1e+02,0.000626,nan,0.206,0.0,0.794,1.0,0.206,1.56e+02,-1.55e+02,Random,6,0.0,0.0,0.2,0.2
156,189313,1300000,1534237355000,0.000763,0.000824,0.334,1e+02,0.000636,nan,0.206,0.0,0.794,1.0,0.206,1.53e+02,-1.52e+02,Random,6,0.0,0.0,0.2,0.2
166,209285,1400000,1534238888000,0.000709,0.000793,0.334,1e+02,0.000614,nan,0.206,0.0,0.794,1.0,0.206,1.58e+02,-1.57e+02,Random,6,0.0,0.0,0.2,0.2
184,229184,1500000,1534240422000,0.000742,0.000803,0.334,1e+02,0.000597,nan,0.212,0.0,0.788,1.0,0.212,1.61e+02,-1.6e+02,Random,6,0.0,0.0,0.2,0.2
194,248863,1600000,1534241857000,0.000708,0.00078,0.333,1e+02,0.000584,nan,0.211,0.0,0.789,1.0,0.211,1.64e+02,-1.63e+02,Random,6,0.0,0.0,0.2,0.2
