Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
6,9014,400000,1534215666000,0.000666,0.000666,0.776,1.37e+02,0.776,1.37e+02,Random_Multi,6,0.0,0.0,0.2,0.0
40,29157,500000,1534221203000,0.00169,0.00137,0.647,94.4,0.664,1.01e+02,Random_Multi,6,0.0,0.0,0.2,0.0
60,49251,600000,1534223933000,0.000995,0.00122,0.506,53.8,0.611,85.2,Random_Multi,6,0.0,0.0,0.2,0.0
81,69457,700000,1534225990000,0.00104,0.00117,0.722,1.18e+02,0.64,93.6,Random_Multi,6,0.0,0.0,0.2,0.0
95,89739,800000,1534227870000,0.00069,0.00106,0.527,59.0,0.623,88.5,Random_Multi,6,0.0,0.0,0.2,0.0
105,109409,900000,1534229635000,0.000508,0.00096,0.51,51.4,0.614,85.0,Random_Multi,6,0.0,0.0,0.2,0.0
128,129387,1000000,1534231460000,0.00115,0.000989,0.719,1.16e+02,0.632,90.5,Random_Multi,6,0.0,0.0,0.2,0.0
142,149544,1100000,1534233317000,0.000695,0.00095,0.657,99.1,0.635,91.4,Random_Multi,6,0.0,0.0,0.2,0.0
153,169531,1200000,1534235388000,0.00055,0.000902,0.799,1.4e+02,0.647,94.9,Random_Multi,6,0.0,0.0,0.2,0.0
173,189346,1300000,1534237355000,0.00101,0.000914,0.728,1.19e+02,0.656,97.7,Random_Multi,6,0.0,0.0,0.2,0.0
182,209198,1400000,1534238888000,0.000453,0.00087,0.634,89.8,0.655,97.3,Random_Multi,6,0.0,0.0,0.2,0.0
202,228851,1500000,1534240422000,0.00102,0.000883,0.569,70.5,0.647,94.6,Random_Multi,6,0.0,0.0,0.2,0.0
216,248560,1600000,1534241857000,0.00071,0.000869,0.47,39.8,0.635,91.1,Random_Multi,6,0.0,0.0,0.2,0.0
225,268192,1700000,1534243199000,0.000458,0.000839,0.885,1.66e+02,0.645,94.0,Random_Multi,6,0.0,0.0,0.2,0.0
227,288547,1800000,1534244712000,9.83e-05,0.000787,0.478,43.0,0.644,93.6,Random_Multi,6,0.0,0.0,0.2,0.0
235,308193,1900000,1534246424000,0.000407,0.000763,0.481,45.0,0.638,91.9,Random_Multi,6,0.0,0.0,0.2,0.0
257,328224,2000000,1534248381000,0.0011,0.000783,0.693,1.08e+02,0.643,93.3,Random_Multi,6,0.0,0.0,0.2,0.0
278,348191,2100000,1534250381000,0.00105,0.000798,0.629,88.2,0.642,92.9,Random_Multi,6,0.0,0.0,0.2,0.0
294,368106,2200000,1534252487000,0.000803,0.000799,0.537,62.7,0.636,91.3,Random_Multi,6,0.0,0.0,0.2,0.0
310,387933,2300000,1534254861000,0.000807,0.000799,0.798,1.4e+02,0.645,93.8,Random_Multi,6,0.0,0.0,0.2,0.0
336,407876,2400000,1534257558000,0.0013,0.000824,0.752,1.25e+02,0.653,96.2,Random_Multi,6,0.0,0.0,0.2,0.0
349,428435,2500000,1534260327000,0.000632,0.000815,0.703,1.11e+02,0.655,96.8,Random_Multi,6,0.0,0.0,0.2,0.0
359,448295,2600000,1534263432000,0.000504,0.000801,0.547,66.4,0.652,95.9,Random_Multi,6,0.0,0.0,0.2,0.0
389,468400,2700000,1534266431000,0.00149,0.00083,0.708,1.13e+02,0.656,97.3,Random_Multi,6,0.0,0.0,0.2,0.0
407,488685,2800000,1534269300000,0.000887,0.000833,0.591,78.9,0.653,96.4,Random_Multi,6,0.0,0.0,0.2,0.0
426,508762,2900000,1534272798000,0.000946,0.000837,0.582,74.9,0.65,95.5,Random_Multi,6,0.0,0.0,0.2,0.0
440,528954,3000000,1534275826000,0.000693,0.000832,0.727,1.19e+02,0.652,96.2,Random_Multi,6,0.0,0.0,0.2,0.0
473,549608,3100000,1534279185000,0.0016,0.000861,0.66,1e+02,0.653,96.5,Random_Multi,6,0.0,0.0,0.2,0.0
510,572940,3400000,1534307392000,0.00159,0.00089,0.787,1.38e+02,0.663,99.5,Random_Multi,6,0.0,0.0,0.2,0.0
528,592923,3500000,1534310553000,0.000901,0.000891,0.562,68.7,0.659,98.4,Random_Multi,6,0.0,0.0,0.2,0.0
554,612780,3600000,1534313223000,0.00131,0.000904,0.627,87.7,0.658,97.9,Random_Multi,6,0.0,0.0,0.2,0.0
566,633274,3700000,1534315472000,0.000586,0.000894,0.541,60.5,0.656,97.1,Random_Multi,6,0.0,0.0,0.2,0.0
582,653421,3800000,1534317461000,0.000794,0.000891,0.663,98.3,0.656,97.2,Random_Multi,6,0.0,0.0,0.2,0.0
590,673257,3900000,1534319605000,0.000403,0.000876,0.569,73.1,0.654,96.8,Random_Multi,6,0.0,0.0,0.2,0.0
596,693431,4000000,1534321811000,0.000297,0.000859,0.609,82.4,0.654,96.7,Random_Multi,6,0.0,0.0,0.2,0.0
613,713600,4100000,1534324066000,0.000843,0.000859,0.47,40.3,0.649,95.1,Random_Multi,6,0.0,0.0,0.2,0.0
629,733620,4200000,1534325982000,0.000799,0.000857,0.793,1.37e+02,0.653,96.2,Random_Multi,6,0.0,0.0,0.2,0.0
647,753442,4300000,1534327753000,0.000908,0.000859,0.738,1.21e+02,0.655,96.9,Random_Multi,6,0.0,0.0,0.2,0.0
671,773369,4400000,1534329253000,0.0012,0.000868,0.521,55.8,0.65,95.4,Random_Multi,6,0.0,0.0,0.2,0.0
684,793543,4500000,1534330607000,0.000644,0.000862,0.653,96.5,0.65,95.4,Random_Multi,6,0.0,0.0,0.2,0.0
711,813465,4600000,1534332371000,0.00136,0.000874,0.678,1.06e+02,0.651,95.8,Random_Multi,6,0.0,0.0,0.2,0.0
732,833312,4700000,1534334282000,0.00106,0.000878,0.676,1.01e+02,0.652,96.0,Random_Multi,6,0.0,0.0,0.2,0.0
752,853418,4800000,1534336223000,0.000995,0.000881,0.709,1.12e+02,0.654,96.4,Random_Multi,6,0.0,0.0,0.2,0.0
760,873372,4900000,1534338220000,0.000401,0.00087,0.881,1.65e+02,0.656,97.1,Random_Multi,6,0.0,0.0,0.2,0.0
790,893251,5000000,1534340324000,0.00151,0.000884,0.744,1.24e+02,0.659,98.1,Random_Multi,6,0.0,0.0,0.2,0.0
810,913278,5100000,1534342505000,0.000999,0.000887,0.646,94.3,0.659,98.0,Random_Multi,6,0.0,0.0,0.2,0.0
826,932979,5200000,1534345017000,0.000812,0.000885,0.695,1.07e+02,0.66,98.2,Random_Multi,6,0.0,0.0,0.2,0.0
855,952658,5300000,1534348283000,0.00147,0.000897,0.701,1.09e+02,0.661,98.6,Random_Multi,6,0.0,0.0,0.2,0.0
868,972203,5400000,1534352099000,0.000665,0.000893,0.725,1.16e+02,0.662,98.8,Random_Multi,6,0.0,0.0,0.2,0.0
888,991869,5500000,1534355823000,0.00102,0.000895,0.641,91.4,0.661,98.7,Random_Multi,6,0.0,0.0,0.2,0.0
890,1011322,5600000,1534359354000,0.000103,0.00088,0.64,92.5,0.661,98.7,Random_Multi,6,0.0,0.0,0.2,0.0
913,1031628,5700000,1534362421000,0.00113,0.000885,0.727,1.18e+02,0.663,99.1,Random_Multi,6,0.0,0.0,0.2,0.0
929,1040993,6000000,1534387000000,0.00171,0.000892,0.552,64.7,0.661,98.6,Random_Multi,6,0.0,0.0,0.2,0.0
958,1061214,6100000,1534391894000,0.00143,0.000903,0.557,69.2,0.658,97.7,Random_Multi,6,0.0,0.0,0.2,0.0
984,1081544,6200000,1534395699000,0.00128,0.00091,0.64,92.4,0.658,97.5,Random_Multi,6,0.0,0.0,0.2,0.0
994,1101457,6300000,1534397928000,0.000502,0.000902,0.587,73.9,0.657,97.3,Random_Multi,6,0.0,0.0,0.2,0.0
1018,1121312,6400000,1534400142000,0.00121,0.000908,0.791,1.37e+02,0.66,98.2,Random_Multi,6,0.0,0.0,0.2,0.0
1031,1141164,6500000,1534401980000,0.000655,0.000903,0.655,95.1,0.66,98.2,Random_Multi,6,0.0,0.0,0.2,0.0
1046,1161201,6600000,1534403754000,0.000749,0.000901,0.603,82.6,0.659,98.0,Random_Multi,6,0.0,0.0,0.2,0.0
1056,1181245,6700000,1534405748000,0.000499,0.000894,0.744,1.24e+02,0.66,98.2,Random_Multi,6,0.0,0.0,0.2,0.0
1066,1201114,6800000,1534407692000,0.000503,0.000888,0.709,1.11e+02,0.661,98.3,Random_Multi,6,0.0,0.0,0.2,0.0
1081,1221267,6900000,1534409775000,0.000744,0.000885,0.793,1.37e+02,0.662,98.9,Random_Multi,6,0.0,0.0,0.2,0.0
1089,1241478,7000000,1534411756000,0.000396,0.000877,0.691,1.05e+02,0.663,98.9,Random_Multi,6,0.0,0.0,0.2,0.0
1103,1261058,7100000,1534413572000,0.000715,0.000875,0.772,1.32e+02,0.664,99.3,Random_Multi,6,0.0,0.0,0.2,0.0
1123,1281144,7200000,1534415178000,0.000996,0.000877,0.618,85.1,0.663,99.1,Random_Multi,6,0.0,0.0,0.2,0.0
1137,1300844,7300000,1534416750000,0.000711,0.000874,0.672,1.01e+02,0.663,99.1,Random_Multi,6,0.0,0.0,0.2,0.0
1153,1320657,7400000,1534418460000,0.000808,0.000873,0.666,1e+02,0.663,99.1,Random_Multi,6,0.0,0.0,0.2,0.0
1189,1340235,7500000,1534420152000,0.00184,0.000887,0.639,92.6,0.663,98.9,Random_Multi,6,0.0,0.0,0.2,0.0
1210,1360209,7600000,1534421958000,0.00105,0.00089,0.72,1.16e+02,0.664,99.2,Random_Multi,6,0.0,0.0,0.2,0.0
1226,1379310,7700000,1534424198000,0.000838,0.000889,0.644,93.3,0.663,99.1,Random_Multi,6,0.0,0.0,0.2,0.0
1244,1399336,7800000,1534426507000,0.000899,0.000889,0.553,63.9,0.662,98.6,Random_Multi,6,0.0,0.0,0.2,0.0
1260,1419338,7900000,1534428901000,0.0008,0.000888,0.665,98.3,0.662,98.6,Random_Multi,6,0.0,0.0,0.2,0.0
1274,1439218,8000000,1534431501000,0.000704,0.000885,0.795,1.37e+02,0.663,99.0,Random_Multi,6,0.0,0.0,0.2,0.0
1294,1459141,8100000,1534434488000,0.001,0.000887,0.626,87.0,0.663,98.9,Random_Multi,6,0.0,0.0,0.2,0.0
1308,1479119,8200000,1534438303000,0.000701,0.000884,0.606,81.7,0.662,98.7,Random_Multi,6,0.0,0.0,0.2,0.0
1332,1499567,8300000,1534442273000,0.00117,0.000888,0.517,53.5,0.66,97.9,Random_Multi,6,0.0,0.0,0.2,0.0
1348,1519624,8400000,1534445358000,0.000798,0.000887,0.614,85.9,0.659,97.7,Random_Multi,6,0.0,0.0,0.2,0.0
1374,1539795,8500000,1534448098000,0.00129,0.000892,0.711,1.14e+02,0.66,98.0,Random_Multi,6,0.0,0.0,0.2,0.0
