Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
6,8684,400000,1534215666000,0.000691,0.000691,0.578,72.1,0.578,72.1,Random_Multi,6,0.0,0.0,0.2,0.0
32,28618,500000,1534221203000,0.0013,0.00112,0.684,1.06e+02,0.665,99.4,Random_Multi,6,0.0,0.0,0.2,0.0
44,48708,600000,1534223933000,0.000597,0.000903,0.633,90.8,0.656,97.1,Random_Multi,6,0.0,0.0,0.2,0.0
58,68988,700000,1534225990000,0.00069,0.000841,0.664,98.9,0.658,97.5,Random_Multi,6,0.0,0.0,0.2,0.0
62,88662,800000,1534227870000,0.000203,0.000699,0.702,1.13e+02,0.66,98.5,Random_Multi,6,0.0,0.0,0.2,0.0
74,108806,900000,1534229635000,0.000596,0.00068,0.681,1.07e+02,0.663,99.8,Random_Multi,6,0.0,0.0,0.2,0.0
82,129023,1000000,1534231460000,0.000396,0.000636,0.581,73.5,0.655,97.3,Random_Multi,6,0.0,0.0,0.2,0.0
94,149434,1100000,1534233317000,0.000588,0.000629,0.68,1.05e+02,0.658,98.3,Random_Multi,6,0.0,0.0,0.2,0.0
106,169393,1200000,1534235388000,0.000601,0.000626,0.499,50.8,0.64,92.9,Random_Multi,6,0.0,0.0,0.2,0.0
120,189664,1300000,1534237355000,0.000691,0.000633,0.505,51.3,0.624,88.1,Random_Multi,6,0.0,0.0,0.2,0.0
129,209885,1400000,1534238888000,0.000445,0.000615,0.796,1.38e+02,0.637,91.5,Random_Multi,6,0.0,0.0,0.2,0.0
136,230087,1500000,1534240422000,0.000347,0.000591,0.786,1.37e+02,0.644,93.9,Random_Multi,6,0.0,0.0,0.2,0.0
158,250269,1600000,1534241857000,0.00109,0.000631,0.586,76.2,0.636,91.4,Random_Multi,6,0.0,0.0,0.2,0.0
164,270833,1700000,1534243199000,0.000292,0.000606,0.458,36.6,0.63,89.4,Random_Multi,6,0.0,0.0,0.2,0.0
174,290956,1800000,1534244712000,0.000497,0.000598,0.891,1.66e+02,0.645,93.8,Random_Multi,6,0.0,0.0,0.2,0.0
186,310894,1900000,1534246424000,0.000602,0.000598,1.06,2.18e+02,0.672,1.02e+02,Random_Multi,6,0.0,0.0,0.2,0.0
210,330712,2000000,1534248381000,0.00121,0.000635,0.553,65.4,0.658,97.7,Random_Multi,6,0.0,0.0,0.2,0.0
242,350409,2100000,1534250381000,0.00162,0.000691,0.714,1.15e+02,0.666,1e+02,Random_Multi,6,0.0,0.0,0.2,0.0
264,370504,2200000,1534252487000,0.00109,0.000713,0.749,1.23e+02,0.672,1.02e+02,Random_Multi,6,0.0,0.0,0.2,0.0
292,390492,2300000,1534254861000,0.0014,0.000748,0.637,90.6,0.669,1.01e+02,Random_Multi,6,0.0,0.0,0.2,0.0
300,410442,2400000,1534257558000,0.000401,0.000731,0.803,1.41e+02,0.672,1.02e+02,Random_Multi,6,0.0,0.0,0.2,0.0
319,430580,2500000,1534260327000,0.000943,0.000741,0.754,1.26e+02,0.677,1.03e+02,Random_Multi,6,0.0,0.0,0.2,0.0
340,450344,2600000,1534263432000,0.00106,0.000755,0.657,97.5,0.676,1.03e+02,Random_Multi,6,0.0,0.0,0.2,0.0
366,470161,2700000,1534266431000,0.00131,0.000778,0.616,85.7,0.672,1.02e+02,Random_Multi,6,0.0,0.0,0.2,0.0
398,489858,2800000,1534269300000,0.00162,0.000812,0.65,96.3,0.67,1.01e+02,Random_Multi,6,0.0,0.0,0.2,0.0
404,509431,2900000,1534272798000,0.000307,0.000793,0.342,3.24,0.665,99.9,Random_Multi,6,0.0,0.0,0.2,0.0
420,529055,3000000,1534275826000,0.000815,0.000794,0.617,86.6,0.664,99.4,Random_Multi,6,0.0,0.0,0.2,0.0
451,549104,3100000,1534279185000,0.00155,0.000821,0.591,79.9,0.659,98.0,Random_Multi,6,0.0,0.0,0.2,0.0
479,571991,3400000,1534307392000,0.00122,0.000837,0.662,99.1,0.659,98.1,Random_Multi,6,0.0,0.0,0.2,0.0
515,592440,3500000,1534310553000,0.00176,0.000869,0.56,67.6,0.652,96.0,Random_Multi,6,0.0,0.0,0.2,0.0
537,612769,3600000,1534313223000,0.00108,0.000876,0.72,1.17e+02,0.655,96.8,Random_Multi,6,0.0,0.0,0.2,0.0
547,633138,3700000,1534315472000,0.000491,0.000864,0.426,29.5,0.651,95.6,Random_Multi,6,0.0,0.0,0.2,0.0
559,653329,3800000,1534317461000,0.000594,0.000856,0.532,57.9,0.648,94.8,Random_Multi,6,0.0,0.0,0.2,0.0
579,673394,3900000,1534319605000,0.000997,0.00086,0.681,1.04e+02,0.649,95.1,Random_Multi,6,0.0,0.0,0.2,0.0
593,693585,4000000,1534321811000,0.000693,0.000855,1.01,2.05e+02,0.658,97.7,Random_Multi,6,0.0,0.0,0.2,0.0
616,713864,4100000,1534324066000,0.00113,0.000863,0.796,1.41e+02,0.663,99.3,Random_Multi,6,0.0,0.0,0.2,0.0
628,733630,4200000,1534325982000,0.000607,0.000856,0.615,84.5,0.662,99.0,Random_Multi,6,0.0,0.0,0.2,0.0
646,753420,4300000,1534327753000,0.00091,0.000857,0.644,92.1,0.661,98.8,Random_Multi,6,0.0,0.0,0.2,0.0
664,773267,4400000,1534329253000,0.000907,0.000859,0.734,1.21e+02,0.663,99.4,Random_Multi,6,0.0,0.0,0.2,0.0
687,793326,4500000,1534330607000,0.00115,0.000866,0.73,1.18e+02,0.666,1e+02,Random_Multi,6,0.0,0.0,0.2,0.0
705,813359,4600000,1534332371000,0.000899,0.000867,0.604,82.2,0.664,99.6,Random_Multi,6,0.0,0.0,0.2,0.0
728,833219,4700000,1534334282000,0.00116,0.000874,0.546,63.6,0.66,98.4,Random_Multi,6,0.0,0.0,0.2,0.0
740,853231,4800000,1534336223000,0.0006,0.000867,0.561,68.4,0.659,98.0,Random_Multi,6,0.0,0.0,0.2,0.0
757,873000,4900000,1534338220000,0.00086,0.000867,0.706,1.11e+02,0.66,98.3,Random_Multi,6,0.0,0.0,0.2,0.0
