Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
14,8953,400000,1534215666000,0.00156,0.00156,0.33,99.2,0.000796,nan,0.286,0.0,0.714,1.0,0.286,1.14e+02,-1.13e+02,Random_Multi,6,0.0,0.0,0.2,0.2
47,29043,500000,1534221203000,0.00162,0.00162,0.334,1e+02,0.00101,nan,0.245,0.0,0.755,1.0,0.245,98.7,-97.7,Random_Multi,6,0.0,0.0,0.2,0.2
58,48767,600000,1534223933000,0.00119,0.00119,0.334,1e+02,0.000869,nan,0.215,0.0,0.785,1.0,0.215,1.16e+02,-1.15e+02,Random_Multi,6,0.0,0.0,0.2,0.2
74,69047,700000,1534225990000,0.00107,0.00107,0.335,1.01e+02,0.000834,nan,0.205,0.0,0.795,1.0,0.205,1.22e+02,-1.21e+02,Random_Multi,6,0.0,0.0,0.2,0.2
82,88770,800000,1534227870000,0.000924,0.000924,0.335,1.01e+02,0.000741,nan,0.2,0.0,0.8,1.0,0.2,1.36e+02,-1.35e+02,Random_Multi,6,0.0,0.0,0.2,0.2
96,109121,900000,1534229635000,0.00088,0.00088,0.334,1.01e+02,0.000689,nan,0.204,0.0,0.796,1.0,0.204,1.44e+02,-1.43e+02,Random_Multi,6,0.0,0.0,0.2,0.2
111,129365,1000000,1534231460000,0.000923,0.000858,0.334,1.01e+02,0.000672,nan,0.204,0.0,0.796,1.0,0.204,1.47e+02,-1.46e+02,Random_Multi,6,0.0,0.0,0.2,0.2
117,149657,1100000,1534233317000,0.000575,0.000782,0.334,1e+02,0.000647,nan,0.196,0.0,0.804,1.0,0.196,1.53e+02,-1.52e+02,Random_Multi,6,0.0,0.0,0.2,0.2
136,169272,1200000,1534235388000,0.000712,0.000803,0.334,1e+02,0.000627,nan,0.205,0.0,0.795,1.0,0.205,1.56e+02,-1.55e+02,Random_Multi,6,0.0,0.0,0.2,0.2
149,189485,1300000,1534237355000,0.000694,0.000786,0.333,1e+02,0.000643,nan,0.197,0.0,0.803,1.0,0.197,1.54e+02,-1.53e+02,Random_Multi,6,0.0,0.0,0.2,0.2
156,209333,1400000,1534238888000,0.000624,0.000745,0.334,1e+02,0.000624,nan,0.193,0.0,0.807,1.0,0.193,1.59e+02,-1.58e+02,Random_Multi,6,0.0,0.0,0.2,0.2
176,229252,1500000,1534240422000,0.000689,0.000768,0.334,1e+02,0.000604,nan,0.203,0.0,0.797,1.0,0.203,1.62e+02,-1.61e+02,Random_Multi,6,0.0,0.0,0.2,0.2
180,249271,1600000,1534241857000,0.000617,0.000722,0.334,1e+02,0.000595,nan,0.196,0.0,0.804,1.0,0.196,1.65e+02,-1.64e+02,Random_Multi,6,0.0,0.0,0.2,0.2
189,268982,1700000,1534243199000,0.000597,0.000703,0.334,1e+02,0.000589,nan,0.193,0.0,0.807,1.0,0.193,1.67e+02,-1.66e+02,Random_Multi,6,0.0,0.0,0.2,0.2
197,288961,1800000,1534244712000,0.000574,0.000682,0.334,1e+02,0.000577,nan,0.191,0.0,0.809,1.0,0.191,1.7e+02,-1.69e+02,Random_Multi,6,0.0,0.0,0.2,0.2
209,309050,1900000,1534246424000,0.000577,0.000676,0.334,1.01e+02,0.000571,nan,0.192,0.0,0.808,1.0,0.192,1.72e+02,-1.71e+02,Random_Multi,6,0.0,0.0,0.2,0.2
223,328919,2000000,1534248381000,0.000588,0.000678,0.334,1e+02,0.000585,nan,0.188,0.0,0.812,1.0,0.188,1.69e+02,-1.68e+02,Random_Multi,6,0.0,0.0,0.2,0.2
243,349051,2100000,1534250381000,0.000623,0.000696,0.334,1e+02,0.000596,nan,0.19,0.0,0.81,1.0,0.19,1.66e+02,-1.65e+02,Random_Multi,6,0.0,0.0,0.2,0.2
257,369302,2200000,1534252487000,0.000484,0.000696,0.334,1e+02,0.000614,nan,0.185,0.0,0.815,1.0,0.185,1.62e+02,-1.61e+02,Random_Multi,6,0.0,0.0,0.2,0.2
281,389242,2300000,1534254861000,0.000993,0.000722,0.333,1e+02,0.000623,nan,0.188,0.0,0.812,1.0,0.188,1.6e+02,-1.59e+02,Random_Multi,6,0.0,0.0,0.2,0.2
291,409124,2400000,1534257558000,0.00079,0.000711,0.334,1e+02,0.000634,nan,0.183,0.0,0.817,1.0,0.183,1.58e+02,-1.57e+02,Random_Multi,6,0.0,0.0,0.2,0.2
317,429274,2500000,1534260327000,0.000938,0.000738,0.333,1e+02,0.000632,nan,0.19,0.0,0.81,1.0,0.19,1.58e+02,-1.57e+02,Random_Multi,6,0.0,0.0,0.2,0.2
340,449365,2600000,1534263432000,0.000985,0.000757,0.333,1e+02,0.000627,nan,0.195,0.0,0.805,1.0,0.195,1.58e+02,-1.57e+02,Random_Multi,6,0.0,0.0,0.2,0.2
367,469433,2700000,1534266431000,0.00105,0.000782,0.333,1e+02,0.000639,nan,0.197,0.0,0.803,1.0,0.197,1.55e+02,-1.54e+02,Random_Multi,6,0.0,0.0,0.2,0.2
393,489418,2800000,1534269300000,0.00109,0.000803,0.333,1e+02,0.000653,nan,0.197,0.0,0.803,1.0,0.197,1.52e+02,-1.51e+02,Random_Multi,6,0.0,0.0,0.2,0.2
405,509431,2900000,1534272798000,0.00102,0.000795,0.333,1e+02,0.000656,nan,0.195,0.0,0.805,1.0,0.195,1.51e+02,-1.5e+02,Random_Multi,6,0.0,0.0,0.2,0.2
419,529241,3000000,1534275826000,0.000571,0.000792,0.333,1e+02,0.000655,nan,0.195,0.0,0.805,1.0,0.195,1.52e+02,-1.51e+02,Random_Multi,6,0.0,0.0,0.2,0.2
440,549460,3100000,1534279185000,0.000822,0.000801,0.333,1e+02,0.000671,nan,0.193,0.0,0.807,1.0,0.193,1.49e+02,-1.48e+02,Random_Multi,6,0.0,0.0,0.2,0.2
470,572582,3400000,1534307392000,0.00211,0.000821,0.313,94.3,0.000755,nan,0.17,0.0,0.83,1.0,0.17,1.29e+02,-1.28e+02,Random_Multi,6,0.0,0.0,0.2,0.2
488,592633,3500000,1534310553000,0.00123,0.000823,0.314,94.5,0.000763,nan,0.169,0.0,0.831,1.0,0.169,1.28e+02,-1.27e+02,Random_Multi,6,0.0,0.0,0.2,0.2
502,612636,3600000,1534313223000,0.00101,0.000819,0.314,94.7,0.000762,nan,0.169,0.0,0.831,1.0,0.169,1.29e+02,-1.28e+02,Random_Multi,6,0.0,0.0,0.2,0.2
514,632623,3700000,1534315472000,0.000887,0.000812,0.315,94.9,0.000762,nan,0.168,0.0,0.832,1.0,0.168,1.29e+02,-1.28e+02,Random_Multi,6,0.0,0.0,0.2,0.2
528,652807,3800000,1534317461000,0.000843,0.000809,0.316,95.1,0.000754,nan,0.169,0.0,0.831,1.0,0.169,1.3e+02,-1.29e+02,Random_Multi,6,0.0,0.0,0.2,0.2
