Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
53,43997,400000,1534215666000,0.0012,0.0012,0.988,2.96e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
159,143997,500000,1534221203000,0.00106,0.0011,0.988,2.96e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
256,243997,600000,1534223933000,0.00097,0.00105,0.987,2.96e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
376,343997,700000,1534225990000,0.0012,0.00109,0.989,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
485,443997,800000,1534227870000,0.00109,0.00109,0.988,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
586,543997,900000,1534229635000,0.00101,0.00108,0.989,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
688,643996,1000000,1534231460000,0.00102,0.00107,0.992,2.97e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
792,743996,1100000,1534233317000,0.00104,0.00106,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
909,843996,1200000,1534235388000,0.00117,0.00108,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1032,943996,1300000,1534237355000,0.00123,0.00109,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1127,1043996,1400000,1534238888000,0.00095,0.00108,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1231,1143996,1500000,1534240422000,0.00104,0.00108,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1332,1243996,1600000,1534241857000,0.00101,0.00107,0.993,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1422,1343996,1700000,1534243199000,0.0009,0.00106,0.993,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1506,1443996,1800000,1534244712000,0.00084,0.00104,0.993,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
1610,1543996,1900000,1534246424000,0.00104,0.00104,0.993,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Lower
