Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart,SimulationType
105,43997,400000,1534215666000,0.00239,0.00239,0.982,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
335,143997,500000,1534221203000,0.0023,0.00233,0.984,2.95e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
513,243997,600000,1534223933000,0.00178,0.0021,0.984,2.95e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
715,343997,700000,1534225990000,0.00202,0.00208,0.984,2.95e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
914,443997,800000,1534227870000,0.00199,0.00206,0.985,2.95e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
1092,543997,900000,1534229635000,0.00178,0.00201,0.984,2.95e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
1274,643996,1000000,1534231460000,0.00182,0.00198,0.988,2.96e+02,0.985,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
1460,743996,1100000,1534233317000,0.00186,0.00196,0.989,2.97e+02,0.985,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
1655,843996,1200000,1534235388000,0.00195,0.00196,0.989,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
1832,943996,1300000,1534237355000,0.00177,0.00194,0.988,2.96e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
2025,1043996,1400000,1534238888000,0.00193,0.00194,0.989,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
2215,1143996,1500000,1534240422000,0.0019,0.00194,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
2423,1243996,1600000,1534241857000,0.00208,0.00195,0.991,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
2585,1343996,1700000,1534243199000,0.00162,0.00192,0.992,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
2773,1443996,1800000,1534244712000,0.00188,0.00192,0.992,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
3013,1543996,1900000,1534246424000,0.0024,0.00195,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
3240,1643996,2000000,1534248381000,0.00227,0.00197,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
3491,1743996,2100000,1534250381000,0.00251,0.002,0.989,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
3723,1843995,2200000,1534252487000,0.00232,0.00202,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
3951,1943995,2300000,1534254861000,0.00228,0.00203,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
4156,2043995,2400000,1534257558000,0.00205,0.00203,0.991,2.97e+02,0.988,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
