Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType,SimulationIndex,ChiDF,ChiAlpha
112,43997,400000,1534215666000,0.00255,0.00255,0.974,2.92e+02,0.974,2.92e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
340,143997,500000,1534221203000,0.00228,0.00236,0.976,2.93e+02,0.975,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
555,243997,600000,1534223933000,0.00215,0.00227,0.979,2.94e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
770,343997,700000,1534225990000,0.00215,0.00224,0.979,2.94e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
994,443997,800000,1534227870000,0.00224,0.00224,0.976,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
1204,543997,900000,1534229635000,0.0021,0.00221,0.978,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
1413,643996,1000000,1534231460000,0.00209,0.00219,0.985,2.95e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
1610,743996,1100000,1534233317000,0.00197,0.00216,0.988,2.96e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
1846,843996,1200000,1534235388000,0.00236,0.00219,0.987,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
2058,943996,1300000,1534237355000,0.00212,0.00218,0.987,2.96e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
2312,1043996,1400000,1534238888000,0.00254,0.00221,0.987,2.96e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
2539,1143996,1500000,1534240422000,0.00227,0.00222,0.987,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
2742,1243996,1600000,1534241857000,0.00203,0.0022,0.988,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
2938,1343996,1700000,1534243199000,0.00196,0.00219,0.989,2.97e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
3152,1443996,1800000,1534244712000,0.00214,0.00218,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
3380,1543996,1900000,1534246424000,0.00228,0.00219,0.988,2.96e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
3637,1643996,2000000,1534248381000,0.00257,0.00221,0.987,2.96e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
3899,1743996,2100000,1534250381000,0.00262,0.00224,0.987,2.96e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
4148,1843995,2200000,1534252487000,0.00249,0.00225,0.988,2.96e+02,0.984,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
4435,1943995,2300000,1534254861000,0.00287,0.00228,0.99,2.97e+02,0.985,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
4711,2043995,2400000,1534257558000,0.00276,0.0023,0.989,2.97e+02,0.985,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
5007,2143995,2500000,1534260327000,0.00296,0.00234,0.989,2.97e+02,0.985,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
5266,2243995,2600000,1534263432000,0.00259,0.00235,0.989,2.97e+02,0.985,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
5571,2343995,2700000,1534266431000,0.00305,0.00238,0.989,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
5873,2443995,2800000,1534269300000,0.00302,0.0024,0.988,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
6180,2543995,2900000,1534272798000,0.00307,0.00243,0.989,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
6460,2643994,3000000,1534275826000,0.0028,0.00244,0.99,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
6749,2743994,3100000,1534279185000,0.00289,0.00246,0.989,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
7051,2843994,3200000,1534284970000,0.00302,0.00248,0.99,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
7430,2943994,3300000,1534301374000,0.00379,0.00252,0.987,2.96e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
7752,3043993,3400000,1534307392000,0.00322,0.00255,0.988,2.96e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
8069,3143993,3500000,1534310553000,0.00317,0.00257,0.989,2.97e+02,0.986,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
8375,3243993,3600000,1534313223000,0.00306,0.00258,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
8660,3343993,3700000,1534315472000,0.00285,0.00259,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
8957,3443993,3800000,1534317461000,0.00297,0.0026,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
9232,3543993,3900000,1534319605000,0.00275,0.0026,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
9501,3643993,4000000,1534321811000,0.00269,0.00261,0.989,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
9782,3743993,4100000,1534324066000,0.00281,0.00261,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
10073,3843993,4200000,1534325982000,0.00291,0.00262,0.989,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
10406,3943992,4300000,1534327753000,0.00333,0.00264,0.989,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
10704,4043992,4400000,1534329253000,0.00298,0.00265,0.989,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
11036,4143992,4500000,1534330607000,0.00332,0.00266,0.991,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
11328,4243992,4600000,1534332371000,0.00292,0.00267,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
11590,4343992,4700000,1534334282000,0.00262,0.00267,0.99,2.97e+02,0.987,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
11893,4443992,4800000,1534336223000,0.00303,0.00268,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
12175,4543992,4900000,1534338220000,0.00282,0.00268,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
12475,4643992,5000000,1534340324000,0.003,0.00269,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
12726,4743992,5100000,1534342505000,0.00251,0.00268,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
13038,4843992,5200000,1534345017000,0.00312,0.00269,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
13345,4943992,5300000,1534348283000,0.00307,0.0027,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
13625,5043991,5400000,1534352099000,0.0028,0.0027,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
13942,5143991,5500000,1534355823000,0.00317,0.00271,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
14245,5243991,5600000,1534359354000,0.00303,0.00272,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
14565,5343991,5700000,1534362421000,0.0032,0.00273,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
14812,5443991,5800000,1534365625000,0.00247,0.00272,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
15038,5543991,5900000,1534370861000,0.00226,0.00271,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
15327,5643990,6000000,1534387000000,0.00289,0.00272,0.989,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
15611,5743990,6100000,1534391894000,0.00284,0.00272,0.99,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
15866,5843990,6200000,1534395699000,0.00255,0.00271,0.991,2.97e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
16065,5943990,6300000,1534397928000,0.00199,0.0027,0.993,2.98e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
16235,6043990,6400000,1534400142000,0.0017,0.00269,0.993,2.98e+02,0.988,2.96e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
16442,6143990,6500000,1534401980000,0.00207,0.00268,0.993,2.98e+02,0.988,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
16632,6243990,6600000,1534403754000,0.0019,0.00266,0.992,2.98e+02,0.988,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
16812,6343990,6700000,1534405748000,0.0018,0.00265,0.992,2.98e+02,0.988,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
17007,6443989,6800000,1534407692000,0.00195,0.00264,0.993,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
17190,6543989,6900000,1534409775000,0.00183,0.00263,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
17395,6643989,7000000,1534411756000,0.00205,0.00262,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
17582,6743989,7100000,1534413572000,0.00187,0.00261,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
17772,6843989,7200000,1534415178000,0.0019,0.0026,0.993,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
17960,6943989,7300000,1534416750000,0.00188,0.00259,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
18170,7043989,7400000,1534418460000,0.0021,0.00258,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
18379,7143989,7500000,1534420152000,0.00209,0.00257,0.992,2.97e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
18581,7243989,7600000,1534421958000,0.00202,0.00257,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
18766,7343989,7700000,1534424198000,0.00185,0.00256,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
18967,7443989,7800000,1534426507000,0.00201,0.00255,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
19180,7543988,7900000,1534428901000,0.00213,0.00254,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
19374,7643988,8000000,1534431501000,0.00194,0.00253,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
19595,7743988,8100000,1534434488000,0.00221,0.00253,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
19812,7843988,8200000,1534438303000,0.00217,0.00253,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
20017,7943988,8300000,1534442273000,0.00205,0.00252,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
20258,8043988,8400000,1534445358000,0.00241,0.00252,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
20495,8143988,8500000,1534448098000,0.00237,0.00252,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
20703,8243988,8600000,1534450774000,0.00208,0.00251,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
20916,8343988,8700000,1534455312000,0.00213,0.00251,0.993,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
21148,8443988,8800000,1534469315000,0.00232,0.0025,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
21405,8543987,8900000,1534477993000,0.00257,0.00251,0.991,2.97e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
21631,8643987,9000000,1534481599000,0.00226,0.0025,0.992,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
21791,8743987,9100000,1534484170000,0.0016,0.00249,0.994,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
21985,8843987,9200000,1534486329000,0.00194,0.00249,0.994,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
22169,8943987,9300000,1534488129000,0.00184,0.00248,0.994,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
22327,9043987,9400000,1534489820000,0.00158,0.00247,0.994,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
22512,9143987,9500000,1534491491000,0.00185,0.00246,0.993,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
22685,9243986,9600000,1534493350000,0.00173,0.00245,0.993,2.98e+02,0.989,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
22868,9343986,9700000,1534495700000,0.00183,0.00245,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
23025,9443986,9800000,1534498003000,0.00157,0.00244,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
23209,9543986,9900000,1534500310000,0.00184,0.00243,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
23400,9643986,10000000,1534502355000,0.00191,0.00243,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
23599,9743986,10100000,1534504275000,0.00199,0.00242,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
23817,9843986,10200000,1534506344000,0.00218,0.00242,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
24019,9943986,10300000,1534508344000,0.00202,0.00242,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
24205,10043986,10400000,1534510463000,0.00186,0.00241,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
24392,10143986,10500000,1534513052000,0.00187,0.0024,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
24561,10243985,10600000,1534515766000,0.00169,0.0024,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
24741,10343985,10700000,1534518517000,0.0018,0.00239,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
24913,10443985,10800000,1534521581000,0.00172,0.00239,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
25157,10543985,10900000,1534525171000,0.00244,0.00239,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
25370,10643985,11000000,1534528692000,0.00213,0.00238,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
25561,10743985,11100000,1534532209000,0.00191,0.00238,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
25781,10843985,11200000,1534535352000,0.0022,0.00238,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
25929,10943984,11300000,1534538536000,0.00148,0.00237,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26011,11043984,11400000,1534543569000,0.00082,0.00236,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26113,11143984,11500000,1534556144000,0.00102,0.00234,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26228,11243983,11600000,1534566623000,0.00115,0.00233,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26320,11343983,11700000,1534570864000,0.00092,0.00232,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26385,11443983,11800000,1534574160000,0.00065,0.00231,0.995,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26449,11543983,11900000,1534576963000,0.00064,0.00229,0.995,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26520,11643983,12000000,1534579522000,0.00071,0.00228,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26581,11743983,12100000,1534582059000,0.00061,0.00226,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26674,11843982,12200000,1534584444000,0.00093,0.00225,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26752,11943982,12300000,1534586907000,0.00078,0.00224,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
26818,12043982,12400000,1534589382000,0.00066,0.00223,0.994,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,0,0,0
