Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
56,43997,400000,1534215666000,0.00127,0.00127,0.713,1.13e+02,0.713,1.13e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
164,143997,500000,1534221203000,0.00108,0.00114,0.697,1.1e+02,0.702,1.11e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
254,243997,600000,1534223933000,0.0009,0.00104,0.683,1.06e+02,0.695,1.09e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
342,343997,700000,1534225990000,0.00088,0.000994,0.699,1.11e+02,0.696,1.1e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
445,443997,800000,1534227870000,0.00103,0.001,0.721,1.17e+02,0.702,1.11e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
548,543997,900000,1534229635000,0.00103,0.00101,0.707,1.13e+02,0.703,1.12e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
649,643996,1000000,1534231460000,0.00101,0.00101,0.676,1.02e+02,0.699,1.1e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
752,743996,1100000,1534233317000,0.00103,0.00101,0.631,88.3,0.689,1.07e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
852,843996,1200000,1534235388000,0.001,0.00101,0.657,97.1,0.686,1.06e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
964,943996,1300000,1534237355000,0.00112,0.00102,0.647,93.9,0.681,1.05e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1061,1043996,1400000,1534238888000,0.00097,0.00102,0.652,94.8,0.678,1.04e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1167,1143996,1500000,1534240422000,0.00106,0.00102,0.612,84.8,0.672,1.02e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1268,1243996,1600000,1534241857000,0.00101,0.00102,0.705,1.12e+02,0.675,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1359,1343996,1700000,1534243199000,0.00091,0.00101,0.655,96.4,0.674,1.02e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1458,1443996,1800000,1534244712000,0.00099,0.00101,0.698,1.1e+02,0.675,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1555,1543996,1900000,1534246424000,0.00097,0.00101,0.711,1.14e+02,0.678,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1656,1643996,2000000,1534248381000,0.00101,0.00101,0.64,92.9,0.675,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1760,1743996,2100000,1534250381000,0.00104,0.00101,0.711,1.13e+02,0.677,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1868,1843995,2200000,1534252487000,0.00108,0.00101,0.676,1.03e+02,0.677,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
1959,1943995,2300000,1534254861000,0.00091,0.00101,0.607,82.8,0.674,1.02e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2056,2043995,2400000,1534257558000,0.00097,0.00101,0.731,1.19e+02,0.677,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2150,2143995,2500000,1534260327000,0.00094,0.001,0.69,1.09e+02,0.677,1.04e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2243,2243995,2600000,1534263432000,0.00093,0.001,0.693,1.09e+02,0.678,1.04e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2356,2343995,2700000,1534266431000,0.00113,0.00101,0.686,1.07e+02,0.678,1.04e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2463,2443995,2800000,1534269300000,0.00107,0.00101,0.631,90.2,0.676,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2571,2543995,2900000,1534272798000,0.00108,0.00101,0.679,1.05e+02,0.676,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2678,2643994,3000000,1534275826000,0.00107,0.00101,0.724,1.17e+02,0.678,1.04e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2780,2743994,3100000,1534279185000,0.00102,0.00101,0.647,95.2,0.677,1.04e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2889,2843994,3200000,1534284970000,0.00109,0.00102,0.687,80.0,0.677,1.03e+02,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
2999,2943994,3300000,1534301374000,0.0011,0.00102,0.754,13.6,0.679,99.4,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3094,3043993,3400000,1534307392000,0.00095,0.00102,0.707,43.1,0.68,97.7,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3198,3143993,3500000,1534310553000,0.00104,0.00102,0.677,1.03e+02,0.68,97.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3310,3243993,3600000,1534313223000,0.00112,0.00102,0.671,1.01e+02,0.68,98.0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3407,3343993,3700000,1534315472000,0.00097,0.00102,0.646,94.9,0.679,97.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3509,3443993,3800000,1534317461000,0.00102,0.00102,0.684,1.05e+02,0.679,98.1,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3607,3543993,3900000,1534319605000,0.00098,0.00102,0.671,1.01e+02,0.679,98.2,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3701,3643993,4000000,1534321811000,0.00094,0.00102,0.655,97.5,0.678,98.2,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3802,3743993,4100000,1534324066000,0.00101,0.00102,0.678,1.04e+02,0.678,98.3,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3911,3843993,4200000,1534325982000,0.00109,0.00102,0.664,99.9,0.678,98.4,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
3998,3943992,4300000,1534327753000,0.00087,0.00101,0.733,1.2e+02,0.679,98.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4108,4043992,4400000,1534329253000,0.0011,0.00102,0.629,89.1,0.678,98.6,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4219,4143992,4500000,1534330607000,0.00111,0.00102,0.713,1.14e+02,0.679,99.0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4346,4243992,4600000,1534332371000,0.00127,0.00102,0.676,1.03e+02,0.679,99.1,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4433,4343992,4700000,1534334282000,0.00087,0.00102,0.637,91.3,0.678,99.0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4532,4443992,4800000,1534336223000,0.00099,0.00102,0.635,91.2,0.677,98.8,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4639,4543992,4900000,1534338220000,0.00107,0.00102,0.65,95.0,0.676,98.7,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4742,4643992,5000000,1534340324000,0.00103,0.00102,0.694,1.09e+02,0.677,98.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4843,4743992,5100000,1534342505000,0.00101,0.00102,0.618,85.2,0.675,98.6,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
4955,4843992,5200000,1534345017000,0.00112,0.00102,0.654,97.0,0.675,98.6,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5048,4943992,5300000,1534348283000,0.00093,0.00102,0.665,1.01e+02,0.675,98.6,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5151,5043991,5400000,1534352099000,0.00103,0.00102,0.634,90.6,0.674,98.5,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5242,5143991,5500000,1534355823000,0.00091,0.00102,0.716,1.16e+02,0.675,98.8,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5331,5243991,5600000,1534359354000,0.00089,0.00102,0.686,1.06e+02,0.675,98.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5428,5343991,5700000,1534362421000,0.00097,0.00102,0.676,1.02e+02,0.675,98.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5524,5443991,5800000,1534365625000,0.00096,0.00101,0.723,32.9,0.676,97.8,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5636,5543991,5900000,1534370861000,0.00112,0.00102,0.77,16.6,0.677,96.2,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5739,5643990,6000000,1534387000000,0.00103,0.00102,0.757,36.7,0.679,95.1,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5859,5743990,6100000,1534391894000,0.0012,0.00102,0.677,1.04e+02,0.679,95.3,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
5957,5843990,6200000,1534395699000,0.00098,0.00102,0.608,82.4,0.677,95.1,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6064,5943990,6300000,1534397928000,0.00107,0.00102,0.619,85.6,0.676,94.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6170,6043990,6400000,1534400142000,0.00106,0.00102,0.648,93.7,0.676,94.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6290,6143990,6500000,1534401980000,0.0012,0.00102,0.637,91.2,0.675,94.8,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6388,6243990,6600000,1534403754000,0.00098,0.00102,0.676,1.03e+02,0.675,94.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6493,6343990,6700000,1534405748000,0.00105,0.00102,0.656,96.7,0.675,95.0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6590,6443989,6800000,1534407692000,0.00097,0.00102,0.627,88.3,0.674,94.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
6678,6543989,6900000,1534409775000,0.00088,0.00102,0.661,99.3,0.674,94.9,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
