Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0.0,5.0,50000,LinUCB_Disjoint,1531044397.0,0.0214,1.81e+03,6.03e-05,5.4,12,0.02,0.02,0.1,0.0
0.0,65.0,60000,LinUCB_Disjoint,1531048898.0,0.00352,3.15e+02,0.000637,57.0,12,0.02,0.02,0.1,0.0
1.0,121.0,70000,LinUCB_Disjoint,1531053242.0,0.00253,2.25e+02,0.000907,81.0,12,0.02,0.02,0.1,0.0
2.0,199.0,80000,LinUCB_Disjoint,1531058378.0,0.00371,3.33e+02,0.00126,1.12e+02,12,0.02,0.02,0.1,0.0
2.0,233.0,90000,LinUCB_Disjoint,1531062638.0,0.00262,2.34e+02,0.00141,1.26e+02,12,0.02,0.02,0.1,0.0
3.0,299.0,100000,LinUCB_Disjoint,1531066912.0,0.00263,2.34e+02,0.00153,1.37e+02,12,0.02,0.02,0.1,0.0
3.0,395.0,110000,LinUCB_Disjoint,1531071112.0,0.00273,2.43e+02,0.00164,1.46e+02,12,0.02,0.02,0.1,0.0
4.0,488.0,120000,LinUCB_Disjoint,1531074994.0,0.00282,2.52e+02,0.00174,1.55e+02,12,0.02,0.02,0.1,0.0
5.0,579.0,130000,LinUCB_Disjoint,1531078228.0,0.0044,3.96e+02,0.00194,1.74e+02,12,0.02,0.02,0.1,0.0
5.0,651.0,140000,LinUCB_Disjoint,1531082073.0,0.00273,2.43e+02,0.002,1.79e+02,12,0.02,0.02,0.1,0.0
6.0,736.0,150000,LinUCB_Disjoint,1531086005.0,0.00234,2.07e+02,0.00202,1.81e+02,12,0.02,0.02,0.1,0.0
6.0,798.0,160000,LinUCB_Disjoint,1531104331.0,0.00371,3.33e+02,0.00213,1.9e+02,12,0.02,0.02,0.1,0.0
6.0,869.0,170000,LinUCB_Disjoint,1531111843.0,0.00411,3.69e+02,0.00224,2.01e+02,12,0.02,0.02,0.1,0.0
6.0,923.0,180000,LinUCB_Disjoint,1531116219.0,0.004,3.6e+02,0.00234,2.09e+02,12,0.02,0.02,0.1,0.0
6.0,988.0,190000,LinUCB_Disjoint,1531120754.0,0.00223,1.98e+02,0.00234,2.09e+02,12,0.02,0.02,0.1,0.0
6.0,1068.0,200000,LinUCB_Disjoint,1531126137.0,0.00223,1.98e+02,0.00233,2.08e+02,12,0.02,0.02,0.1,0.0
6.0,1211.0,210000,LinUCB_Disjoint,1531130915.0,0.00312,2.79e+02,0.00237,2.12e+02,12,0.02,0.02,0.1,0.0
6.0,1271.0,220000,LinUCB_Disjoint,1531134667.0,0.0039,3.51e+02,0.00244,2.18e+02,12,0.02,0.02,0.1,0.0
7.0,1347.0,230000,LinUCB_Disjoint,1531139354.0,0.00301,2.7e+02,0.00246,2.2e+02,12,0.02,0.02,0.1,0.0
8.0,1405.0,240000,LinUCB_Disjoint,1531144461.0,0.0038,3.42e+02,0.00252,2.25e+02,12,0.02,0.02,0.1,0.0
9.0,1497.0,250000,LinUCB_Disjoint,1531149082.0,0.00272,2.43e+02,0.00253,2.26e+02,12,0.02,0.02,0.1,0.0
9.0,1554.0,260000,LinUCB_Disjoint,1531153349.0,0.00281,2.52e+02,0.00254,2.27e+02,12,0.02,0.02,0.1,0.0
10.0,1688.0,270000,LinUCB_Disjoint,1531156206.0,0.00351,3.15e+02,0.00257,2.3e+02,12,0.02,0.02,0.1,0.0
12.0,1823.0,280000,LinUCB_Disjoint,1531158999.0,0.0039,3.51e+02,0.00262,2.35e+02,12,0.02,0.02,0.1,0.0
13.0,1944.0,290000,LinUCB_Disjoint,1531162679.0,0.00331,2.97e+02,0.00264,2.37e+02,12,0.02,0.02,0.1,0.0
14.0,2030.0,300000,LinUCB_Disjoint,1531166663.0,0.00409,3.69e+02,0.00269,2.41e+02,12,0.02,0.02,0.1,0.0
14.0,2097.0,310000,LinUCB_Disjoint,1531170651.0,0.00381,3.42e+02,0.00273,2.44e+02,12,0.02,0.02,0.1,0.0
14.0,2221.0,320000,LinUCB_Disjoint,1531179849.0,0.00342,3.06e+02,0.00275,2.46e+02,12,0.02,0.02,0.1,0.0
14.0,2310.0,330000,LinUCB_Disjoint,1531197114.0,0.004,3.6e+02,0.00279,2.5e+02,12,0.02,0.02,0.1,0.0
14.0,2367.0,340000,LinUCB_Disjoint,1531201861.0,0.00321,2.88e+02,0.0028,2.51e+02,12,0.02,0.02,0.1,0.0
14.0,2439.0,350000,LinUCB_Disjoint,1531207087.0,0.00311,2.79e+02,0.00281,2.52e+02,12,0.02,0.02,0.1,0.0
14.0,2499.0,360000,LinUCB_Disjoint,1531212585.0,0.00212,1.89e+02,0.00279,2.5e+02,12,0.02,0.02,0.1,0.0
15.0,2559.0,370000,LinUCB_Disjoint,1531217710.0,0.00251,2.25e+02,0.00278,2.49e+02,12,0.02,0.02,0.1,0.0
15.0,2659.0,380000,LinUCB_Disjoint,1531220719.0,0.00183,1.62e+02,0.00276,2.47e+02,12,0.02,0.02,0.1,0.0
15.0,2734.0,390000,LinUCB_Disjoint,1531224744.0,0.00163,1.44e+02,0.00273,2.44e+02,12,0.02,0.02,0.1,0.0
15.0,2809.0,400000,LinUCB_Disjoint,1531229433.0,0.00232,2.07e+02,0.00272,2.43e+02,12,0.02,0.02,0.1,0.0
