Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks,LearningRate,HiddenLayers
0.0,179.0,50000,NN,1531044397.0,0.0225,1.81e+03,0.000298,5.4,12,0.2,0.2,0.0,0.2,0.01,10
6.0,2319.0,60000,NN,1531048898.0,0.0182,3.15e+02,0.00327,57.0,12,0.2,0.2,0.0,0.2,0.01,10
11.0,4446.0,70000,NN,1531053242.0,0.0173,2.25e+02,0.00528,80.9,12,0.2,0.2,0.0,0.2,0.01,10
22.0,6522.0,80000,NN,1531058378.0,0.0181,3.33e+02,0.00689,1.12e+02,12,0.2,0.2,0.0,0.2,0.01,10
27.0,8298.0,90000,NN,1531062638.0,0.0172,2.34e+02,0.00803,1.26e+02,12,0.2,0.2,0.0,0.2,0.01,10
32.0,10366.0,100000,NN,1531066912.0,0.0171,2.34e+02,0.00894,1.37e+02,12,0.2,0.2,0.0,0.2,0.01,10
37.0,12597.0,110000,NN,1531071112.0,0.0175,2.43e+02,0.00972,1.46e+02,12,0.2,0.2,0.0,0.2,0.01,10
45.0,14697.0,120000,NN,1531074994.0,0.0172,2.52e+02,0.0103,1.55e+02,12,0.2,0.2,0.0,0.2,0.01,10
56.0,16851.0,130000,NN,1531078228.0,0.0185,3.96e+02,0.011,1.74e+02,12,0.2,0.2,0.0,0.2,0.01,10
60.0,19121.0,140000,NN,1531082073.0,0.0177,2.43e+02,0.0115,1.79e+02,12,0.2,0.2,0.0,0.2,0.01,10
66.0,21777.0,150000,NN,1531086005.0,0.0178,2.07e+02,0.0119,1.8e+02,12,0.2,0.2,0.0,0.2,0.01,10
71.0,24256.0,160000,NN,1531104331.0,0.0213,3.33e+02,0.0125,1.9e+02,12,0.2,0.2,0.0,0.2,0.01,10
77.0,26291.0,170000,NN,1531111843.0,0.0213,3.69e+02,0.013,2e+02,12,0.2,0.2,0.0,0.2,0.01,10
83.0,28765.0,180000,NN,1531116219.0,0.0224,3.6e+02,0.0135,2.09e+02,12,0.2,0.2,0.0,0.2,0.01,10
88.0,30905.0,190000,NN,1531120754.0,0.0202,1.98e+02,0.0139,2.09e+02,12,0.2,0.2,0.0,0.2,0.01,10
