Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0.0,4.0,50000,TS_Lin,1531044397.0,0.0214,1.81e+03,6.22e-05,5.4,12,0.02,0.02,0.1,0.0
3.0,90.0,60000,TS_Lin,1531048898.0,0.00363,3.15e+02,0.000657,57.0,12,0.02,0.02,0.1,0.0
3.0,235.0,70000,TS_Lin,1531053242.0,0.00271,2.25e+02,0.00095,81.0,12,0.02,0.02,0.1,0.0
3.0,330.0,80000,TS_Lin,1531058378.0,0.00387,3.33e+02,0.00131,1.12e+02,12,0.02,0.02,0.1,0.0
3.0,409.0,90000,TS_Lin,1531062638.0,0.00276,2.34e+02,0.00148,1.26e+02,12,0.02,0.02,0.1,0.0
3.0,485.0,100000,TS_Lin,1531066912.0,0.0028,2.34e+02,0.00161,1.37e+02,12,0.02,0.02,0.1,0.0
4.0,576.0,110000,TS_Lin,1531071112.0,0.00288,2.43e+02,0.00172,1.46e+02,12,0.02,0.02,0.1,0.0
5.0,690.0,120000,TS_Lin,1531074994.0,0.00299,2.52e+02,0.00183,1.55e+02,12,0.02,0.02,0.1,0.0
5.0,796.0,130000,TS_Lin,1531078228.0,0.00457,3.96e+02,0.00204,1.74e+02,12,0.02,0.02,0.1,0.0
5.0,906.0,140000,TS_Lin,1531082073.0,0.00293,2.43e+02,0.0021,1.79e+02,12,0.02,0.02,0.1,0.0
5.0,1028.0,150000,TS_Lin,1531086005.0,0.00252,2.07e+02,0.00213,1.81e+02,12,0.02,0.02,0.1,0.0
6.0,1199.0,160000,TS_Lin,1531104331.0,0.00391,3.33e+02,0.00224,1.9e+02,12,0.02,0.02,0.1,0.0
7.0,1287.0,170000,TS_Lin,1531111843.0,0.00425,3.69e+02,0.00236,2.01e+02,12,0.02,0.02,0.1,0.0
7.0,1371.0,180000,TS_Lin,1531116219.0,0.00414,3.6e+02,0.00246,2.09e+02,12,0.02,0.02,0.1,0.0
8.0,1454.0,190000,TS_Lin,1531120754.0,0.00235,1.98e+02,0.00245,2.09e+02,12,0.02,0.02,0.1,0.0
8.0,1558.0,200000,TS_Lin,1531126137.0,0.00236,1.98e+02,0.00245,2.08e+02,12,0.02,0.02,0.1,0.0
8.0,1650.0,210000,TS_Lin,1531130915.0,0.00329,2.79e+02,0.00249,2.12e+02,12,0.02,0.02,0.1,0.0
8.0,1759.0,220000,TS_Lin,1531134667.0,0.00405,3.51e+02,0.00256,2.18e+02,12,0.02,0.02,0.1,0.0
10.0,1944.0,230000,TS_Lin,1531139354.0,0.00319,2.7e+02,0.00259,2.2e+02,12,0.02,0.02,0.1,0.0
11.0,2060.0,240000,TS_Lin,1531144461.0,0.00393,3.42e+02,0.00264,2.25e+02,12,0.02,0.02,0.1,0.0
12.0,2140.0,250000,TS_Lin,1531149082.0,0.00283,2.43e+02,0.00265,2.26e+02,12,0.02,0.02,0.1,0.0
12.0,2230.0,260000,TS_Lin,1531153349.0,0.00293,2.52e+02,0.00266,2.27e+02,12,0.02,0.02,0.1,0.0
13.0,2339.0,270000,TS_Lin,1531156206.0,0.00368,3.15e+02,0.0027,2.3e+02,12,0.02,0.02,0.1,0.0
16.0,2505.0,280000,TS_Lin,1531158999.0,0.00404,3.51e+02,0.00275,2.35e+02,12,0.02,0.02,0.1,0.0
19.0,2623.0,290000,TS_Lin,1531162679.0,0.00345,2.97e+02,0.00277,2.37e+02,12,0.02,0.02,0.1,0.0
20.0,2741.0,300000,TS_Lin,1531166663.0,0.00425,3.69e+02,0.00282,2.41e+02,12,0.02,0.02,0.1,0.0
20.0,2831.0,310000,TS_Lin,1531170651.0,0.00398,3.42e+02,0.00286,2.44e+02,12,0.02,0.02,0.1,0.0
20.0,2896.0,320000,TS_Lin,1531179849.0,0.00359,3.06e+02,0.00288,2.46e+02,12,0.02,0.02,0.1,0.0
20.0,2967.0,330000,TS_Lin,1531197114.0,0.00415,3.6e+02,0.00292,2.5e+02,12,0.02,0.02,0.1,0.0
20.0,3027.0,340000,TS_Lin,1531201861.0,0.00333,2.88e+02,0.00293,2.51e+02,12,0.02,0.02,0.1,0.0
21.0,3166.0,350000,TS_Lin,1531207087.0,0.00324,2.79e+02,0.00294,2.52e+02,12,0.02,0.02,0.1,0.0
21.0,3268.0,360000,TS_Lin,1531212585.0,0.00226,1.89e+02,0.00292,2.5e+02,12,0.02,0.02,0.1,0.0
22.0,3354.0,370000,TS_Lin,1531217710.0,0.00265,2.25e+02,0.00291,2.49e+02,12,0.02,0.02,0.1,0.0
22.0,3440.0,380000,TS_Lin,1531220719.0,0.00193,1.62e+02,0.00289,2.47e+02,12,0.02,0.02,0.1,0.0
22.0,3571.0,390000,TS_Lin,1531224744.0,0.00175,1.44e+02,0.00286,2.44e+02,12,0.02,0.02,0.1,0.0
22.0,3675.0,400000,TS_Lin,1531229433.0,0.00246,2.07e+02,0.00285,2.43e+02,12,0.02,0.02,0.1,0.0
22.0,3766.0,410000,TS_Lin,1531233642.0,0.00192,1.62e+02,0.00283,2.41e+02,12,0.02,0.02,0.1,0.0
22.0,3876.0,420000,TS_Lin,1531237288.0,0.00313,2.7e+02,0.00283,2.42e+02,12,0.02,0.02,0.1,0.0
23.0,3983.0,430000,TS_Lin,1531239591.0,0.00254,2.16e+02,0.00283,2.42e+02,12,0.02,0.02,0.1,0.0
23.0,4059.0,440000,TS_Lin,1531242813.0,0.00223,1.89e+02,0.00281,2.4e+02,12,0.02,0.02,0.1,0.0
25.0,4197.0,450000,TS_Lin,1531246507.0,0.00192,1.62e+02,0.00279,2.39e+02,12,0.02,0.02,0.1,0.0
25.0,4355.0,460000,TS_Lin,1531249208.0,0.00317,2.7e+02,0.0028,2.39e+02,12,0.02,0.02,0.1,0.0
25.0,4473.0,470000,TS_Lin,1531252971.0,0.00245,2.07e+02,0.00279,2.39e+02,12,0.02,0.02,0.1,0.0
25.0,4634.0,480000,TS_Lin,1531255800.0,0.00365,3.15e+02,0.00281,2.4e+02,12,0.02,0.02,0.1,0.0
25.0,4800.0,490000,TS_Lin,1531259005.0,0.00257,2.16e+02,0.00281,2.4e+02,12,0.02,0.02,0.1,0.0
25.0,4919.0,500000,TS_Lin,1531277437.0,0.00264,2.25e+02,0.0028,2.39e+02,12,0.02,0.02,0.1,0.0
25.0,4986.0,510000,TS_Lin,1531284232.0,0.00391,3.42e+02,0.00283,2.41e+02,12,0.02,0.02,0.1,0.0
25.0,5115.0,520000,TS_Lin,1531288234.0,0.00243,2.07e+02,0.00282,2.41e+02,12,0.02,0.02,0.1,0.0
25.0,5252.0,530000,TS_Lin,1531292700.0,0.00313,2.7e+02,0.00282,2.41e+02,12,0.02,0.02,0.1,0.0
26.0,5365.0,540000,TS_Lin,1531297474.0,0.00282,2.43e+02,0.00282,2.41e+02,12,0.02,0.02,0.1,0.0
26.0,5442.0,550000,TS_Lin,1531302248.0,0.00336,2.88e+02,0.00283,2.42e+02,12,0.02,0.02,0.1,0.0
26.0,5531.0,560000,TS_Lin,1531306059.0,0.0025,2.16e+02,0.00283,2.42e+02,12,0.02,0.02,0.1,0.0
28.0,5628.0,570000,TS_Lin,1531310200.0,0.003,2.61e+02,0.00283,2.42e+02,12,0.02,0.02,0.1,0.0
28.0,5701.0,580000,TS_Lin,1531315480.0,0.00304,2.61e+02,0.00283,2.42e+02,12,0.02,0.02,0.1,0.0
29.0,5772.0,590000,TS_Lin,1531320378.0,0.0032,2.79e+02,0.00284,2.43e+02,12,0.02,0.02,0.1,0.0
29.0,5884.0,600000,TS_Lin,1531325017.0,0.00343,2.97e+02,0.00285,2.44e+02,12,0.02,0.02,0.1,0.0
29.0,5946.0,610000,TS_Lin,1531329133.0,0.0039,3.42e+02,0.00287,2.46e+02,12,0.02,0.02,0.1,0.0
29.0,6045.0,620000,TS_Lin,1531333476.0,0.00312,2.7e+02,0.00287,2.46e+02,12,0.02,0.02,0.1,0.0
29.0,6145.0,630000,TS_Lin,1531338211.0,0.00412,3.6e+02,0.00289,2.48e+02,12,0.02,0.02,0.1,0.0
31.0,6258.0,640000,TS_Lin,1531342404.0,0.00482,4.23e+02,0.00292,2.5e+02,12,0.02,0.02,0.1,0.0
32.0,6358.0,650000,TS_Lin,1531346266.0,0.00292,2.52e+02,0.00292,2.5e+02,12,0.02,0.02,0.1,0.0
32.0,6435.0,660000,TS_Lin,1531366779.0,0.0045,3.96e+02,0.00294,2.53e+02,12,0.02,0.02,0.1,0.0
32.0,6506.0,670000,TS_Lin,1531372186.0,0.00329,2.88e+02,0.00295,2.53e+02,12,0.02,0.02,0.1,0.0
33.0,6619.0,680000,TS_Lin,1531377095.0,0.00319,2.79e+02,0.00295,2.54e+02,12,0.02,0.02,0.1,0.0
34.0,6721.0,690000,TS_Lin,1531382325.0,0.00251,2.16e+02,0.00295,2.53e+02,12,0.02,0.02,0.1,0.0
34.0,6804.0,700000,TS_Lin,1531388633.0,0.00312,2.7e+02,0.00295,2.53e+02,12,0.02,0.02,0.1,0.0
34.0,6899.0,710000,TS_Lin,1531393395.0,0.0037,3.24e+02,0.00296,2.54e+02,12,0.02,0.02,0.1,0.0
35.0,6998.0,720000,TS_Lin,1531398829.0,0.0043,3.78e+02,0.00298,2.56e+02,12,0.02,0.02,0.1,0.0
