Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
1.0,1447.0,180000,Random,1531044613.0,0.26,1.34e+03,0.0133,2.51,12,0.2,0.2,0.0,0.2
2.0,3435.0,190000,Random,1531045444.0,0.331,36.2,0.03,4.28,12,0.2,0.2,0.0,0.2
2.0,5600.0,200000,Random,1531046211.0,0.342,45.2,0.0456,6.33,12,0.2,0.2,0.0,0.2
3.0,7751.0,210000,Random,1531046990.0,0.344,36.2,0.0598,7.75,12,0.2,0.2,0.0,0.2
5.0,9911.0,220000,Random,1531047748.0,0.338,81.0,0.0725,11.1,12,0.2,0.2,0.0,0.2
6.0,11933.0,230000,Random,1531048486.0,0.338,72.2,0.084,13.7,12,0.2,0.2,0.0,0.2
8.0,13839.0,240000,Random,1531049274.0,0.33,54.2,0.0942,15.4,12,0.2,0.2,0.0,0.2
10.0,15845.0,250000,Random,1531050126.0,0.332,54.1,0.104,17.0,12,0.2,0.2,0.0,0.2
10.0,17801.0,260000,Random,1531050945.0,0.326,36.2,0.112,17.7,12,0.2,0.2,0.0,0.2
12.0,19880.0,270000,Random,1531051787.0,0.342,90.0,0.121,20.4,12,0.2,0.2,0.0,0.2
12.0,21778.0,280000,Random,1531052550.0,0.327,63.2,0.128,21.9,12,0.2,0.2,0.0,0.2
12.0,23694.0,290000,Random,1531053327.0,0.329,54.3,0.135,23.0,12,0.2,0.2,0.0,0.2
12.0,25646.0,300000,Random,1531054113.0,0.329,54.2,0.142,24.1,12,0.2,0.2,0.0,0.2
13.0,27706.0,310000,Random,1531054870.0,0.34,1.53e+02,0.148,28.2,12,0.2,0.2,0.0,0.2
16.0,29686.0,320000,Random,1531055505.0,0.332,54.1,0.154,29.0,12,0.2,0.2,0.0,0.2
17.0,31699.0,330000,Random,1531056115.0,0.333,54.2,0.159,29.8,12,0.2,0.2,0.0,0.2
20.0,33715.0,340000,Random,1531056691.0,0.331,1.17e+02,0.164,32.4,12,0.2,0.2,0.0,0.2
21.0,35950.0,350000,Random,1531057264.0,0.349,36.2,0.169,32.5,12,0.2,0.2,0.0,0.2
24.0,37913.0,360000,Random,1531057940.0,0.33,1.08e+02,0.174,34.6,12,0.2,0.2,0.0,0.2
26.0,39940.0,370000,Random,1531058583.0,0.335,90.0,0.178,36.1,12,0.2,0.2,0.0,0.2
30.0,41936.0,380000,Random,1531059264.0,0.331,1.08e+02,0.182,38.0,12,0.2,0.2,0.0,0.2
30.0,43932.0,390000,Random,1531059863.0,0.33,27.2,0.186,37.7,12,0.2,0.2,0.0,0.2
