Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0.0,74.0,180000,Regression,1531044613.0,0.0216,1.34e+03,2.78e-05,2.5,12,0.02,0.02,0.1,0.0
0.0,170.0,190000,Regression,1531045444.0,0.000401,36.0,4.75e-05,4.26,12,0.02,0.02,0.1,0.0
0.0,252.0,200000,Regression,1531046211.0,0.000501,45.0,7.02e-05,6.3,12,0.02,0.02,0.1,0.0
0.0,319.0,210000,Regression,1531046990.0,0.000401,36.0,8.59e-05,7.71,12,0.02,0.02,0.1,0.0
0.0,412.0,220000,Regression,1531047748.0,0.0009,81.0,0.000123,11.0,12,0.02,0.02,0.1,0.0
2.0,515.0,230000,Regression,1531048486.0,0.000797,72.0,0.000152,13.7,12,0.02,0.02,0.1,0.0
2.0,597.0,240000,Regression,1531049274.0,0.0006,54.0,0.000171,15.4,12,0.02,0.02,0.1,0.0
2.0,673.0,250000,Regression,1531050126.0,0.0006,54.0,0.000188,16.9,12,0.02,0.02,0.1,0.0
2.0,732.0,260000,Regression,1531050945.0,0.000402,36.0,0.000196,17.7,12,0.02,0.02,0.1,0.0
3.0,799.0,270000,Regression,1531051787.0,0.000999,90.0,0.000226,20.3,12,0.02,0.02,0.1,0.0
4.0,880.0,280000,Regression,1531052550.0,0.0007,63.0,0.000243,21.9,12,0.02,0.02,0.1,0.0
4.0,952.0,290000,Regression,1531053327.0,0.0006,54.0,0.000255,23.0,12,0.02,0.02,0.1,0.0
4.0,1026.0,300000,Regression,1531054113.0,0.0006,54.0,0.000267,24.0,12,0.02,0.02,0.1,0.0
4.0,1093.0,310000,Regression,1531054870.0,0.0017,1.53e+02,0.000313,28.2,12,0.02,0.02,0.1,0.0
4.0,1191.0,320000,Regression,1531055505.0,0.0006,54.0,0.000322,29.0,12,0.02,0.02,0.1,0.0
4.0,1242.0,330000,Regression,1531056115.0,0.000601,54.0,0.00033,29.7,12,0.02,0.02,0.1,0.0
