Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,2.0,460000,LinUCB_Disjoint_E_0.8,0.02,1529485209.0,0.01,0.02,0.09375381125752723,0.00011997256621967276
0.0,33.0,470000,LinUCB_Disjoint_E_0.8,0.02,1529485282.0,0.01,0.02,0.04572852988547631,0.001090367402799601
0.0,59.0,480000,LinUCB_Disjoint_E_0.8,0.02,1529485354.0,0.01,0.02,0.04554366992005838,0.0020164778719091673
2.0,99.0,490000,LinUCB_Disjoint_E_0.8,0.02,1529485426.0,0.01,0.02,0.04553163872740235,0.002904542379164145
2.0,126.0,500000,LinUCB_Disjoint_E_0.8,0.02,1529485500.0,0.01,0.02,0.045769026073074724,0.0037618320530423575
3.0,165.0,510000,LinUCB_Disjoint_E_0.8,0.02,1529485578.0,0.01,0.02,0.045081866091861385,0.0045720287989015305
3.0,193.0,520000,LinUCB_Disjoint_E_0.8,0.02,1529485659.0,0.01,0.02,0.04615060704688219,0.0053716168421319875
4.0,225.0,530000,LinUCB_Disjoint_E_0.8,0.02,1529485742.0,0.01,0.02,0.04575346264286954,0.00613353846101379
4.0,265.0,540000,LinUCB_Disjoint_E_0.8,0.02,1529485823.0,0.01,0.02,0.046093433388265256,0.006873536515222162
4.0,296.0,550000,LinUCB_Disjoint_E_0.8,0.02,1529485906.0,0.01,0.02,0.04554765950226782,0.007576702387713944
4.0,331.0,560000,LinUCB_Disjoint_E_0.8,0.02,1529485990.0,0.01,0.02,0.04655343595892808,0.00827271548719995
4.0,369.0,570000,LinUCB_Disjoint_E_0.8,0.02,1529486075.0,0.01,0.02,0.04640690558228959,0.008941736366061256
4.0,405.0,580000,LinUCB_Disjoint_E_0.8,0.02,1529486160.0,0.01,0.02,0.04646830411182927,0.009588746154781322
4.0,442.0,590000,LinUCB_Disjoint_E_0.8,0.02,1529486245.0,0.01,0.02,0.04671178506896414,0.01021795020417421
4.0,465.0,600000,LinUCB_Disjoint_E_0.8,0.02,1529486326.0,0.01,0.02,0.04709935681603523,0.010832640314371809
4.0,495.0,610000,LinUCB_Disjoint_E_0.8,0.02,1529486407.0,0.01,0.02,0.04711137375317037,0.011427373649433996
4.0,524.0,620000,LinUCB_Disjoint_E_0.8,0.02,1529486488.0,0.01,0.02,0.04598399694906825,0.011984738541363506
4.0,558.0,630000,LinUCB_Disjoint_E_0.8,0.02,1529486569.0,0.01,0.02,0.04710931927294074,0.012542271568848752
4.0,583.0,640000,LinUCB_Disjoint_E_0.8,0.02,1529486652.0,0.01,0.02,0.04601597774641654,0.013065298227873237
4.0,611.0,650000,LinUCB_Disjoint_E_0.8,0.02,1529486734.0,0.01,0.02,0.046352111697297416,0.013577403050479605
5.0,641.0,660000,LinUCB_Disjoint_E_0.8,0.02,1529486817.0,0.01,0.02,0.045668388533542395,0.01406363010325326
5.0,681.0,670000,LinUCB_Disjoint_E_0.8,0.02,1529486899.0,0.01,0.02,0.0469106514334281,0.01455388415295723
7.0,708.0,680000,LinUCB_Disjoint_E_0.8,0.02,1529486983.0,0.01,0.02,0.04583561160294914,0.015013909556633502
7.0,737.0,690000,LinUCB_Disjoint_E_0.8,0.02,1529487066.0,0.01,0.02,0.04757228929099787,0.015485770132493783
9.0,769.0,700000,LinUCB_Disjoint_E_0.8,0.02,1529487149.0,0.01,0.02,0.045334347000195174,0.01591217837346088
10.0,797.0,710000,LinUCB_Disjoint_E_0.8,0.02,1529487230.0,0.01,0.02,0.04568293171863363,0.01633148475860409
10.0,818.0,720000,LinUCB_Disjoint_E_0.8,0.02,1529487314.0,0.01,0.02,0.04626892372368386,0.016747282522007825
10.0,853.0,730000,LinUCB_Disjoint_E_0.8,0.02,1529487394.0,0.01,0.02,0.04584658390351305,0.017145903088877697
10.0,884.0,740000,LinUCB_Disjoint_E_0.8,0.02,1529487472.0,0.01,0.02,0.04581516443347699,0.017533325539480244
10.0,926.0,750000,LinUCB_Disjoint_E_0.8,0.02,1529487552.0,0.01,0.02,0.046068937453186916,0.017913800364996346
10.0,951.0,760000,LinUCB_Disjoint_E_0.8,0.02,1529487630.0,0.01,0.02,0.045434924893629915,0.018275920424583543
12.0,985.0,770000,LinUCB_Disjoint_E_0.8,0.02,1529487708.0,0.01,0.02,0.04630806485381076,0.018639974248339772
12.0,1013.0,780000,LinUCB_Disjoint_E_0.8,0.02,1529487789.0,0.01,0.02,0.04559842376600484,0.018985595396002045
12.0,1046.0,790000,LinUCB_Disjoint_E_0.8,0.02,1529487870.0,0.01,0.02,0.04550382993317825,0.019321269250902936
12.0,1094.0,800000,LinUCB_Disjoint_E_0.8,0.02,1529487950.0,0.01,0.02,0.04632556188656753,0.019658822908848714
13.0,1112.0,810000,LinUCB_Disjoint_E_0.8,0.02,1529488030.0,0.01,0.02,0.04525169298319593,0.019974784267791243
13.0,1145.0,820000,LinUCB_Disjoint_E_0.8,0.02,1529488109.0,0.01,0.02,0.046000615016627576,0.020292172447655334
13.0,1172.0,830000,LinUCB_Disjoint_E_0.8,0.02,1529488188.0,0.01,0.02,0.04464665684649329,0.020585599970533015
13.0,1202.0,840000,LinUCB_Disjoint_E_0.8,0.02,1529488267.0,0.01,0.02,0.04589159321740147,0.020886861794900766
13.0,1225.0,850000,LinUCB_Disjoint_E_0.8,0.02,1529488344.0,0.01,0.02,0.04457616126726698,0.021165559435752237
13.0,1251.0,860000,LinUCB_Disjoint_E_0.8,0.02,1529488423.0,0.01,0.02,0.045802276623433315,0.021452032891422737
14.0,1286.0,870000,LinUCB_Disjoint_E_0.8,0.02,1529488503.0,0.01,0.02,0.04521292597866802,0.021725146605069218
14.0,1324.0,880000,LinUCB_Disjoint_E_0.8,0.02,1529488582.0,0.01,0.02,0.04484785421944263,0.021987904646141768
15.0,1356.0,890000,LinUCB_Disjoint_E_0.8,0.02,1529488663.0,0.01,0.02,0.045805148691153874,0.022255514129793486
16.0,1382.0,900000,LinUCB_Disjoint_E_0.8,0.02,1529488741.0,0.01,0.02,0.04497442285531786,0.02250794644896609
16.0,1407.0,910000,LinUCB_Disjoint_E_0.8,0.02,1529488819.0,0.01,0.02,0.04463649228700869,0.022751117282351237
16.0,1435.0,920000,LinUCB_Disjoint_E_0.8,0.02,1529488893.0,0.01,0.02,0.04323470726449795,0.022973764999548518
16.0,1466.0,930000,LinUCB_Disjoint_E_0.8,0.02,1529488965.0,0.01,0.02,0.043281831890703906,0.02319213131020598
