Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,5.0,460000,NN_E_0.8,0.02,1529485209.0,0.0001,0.02,0.08833410428243495,2.17471273762533e-06
0.0,88.0,470000,NN_E_0.8,0.02,1529485282.0,0.0001,0.02,0.001099950508784529,2.5531644568410656e-05
0.0,163.0,480000,NN_E_0.8,0.02,1529485354.0,0.0001,0.02,0.0018999090044895229,6.458117290010057e-05
0.0,248.0,490000,NN_E_0.8,0.02,1529485426.0,0.0001,0.02,0.0017999172862967448,9.999619562248132e-05
0.0,322.0,500000,NN_E_0.8,0.02,1529485500.0,0.0001,0.02,0.0011999486294662976,0.00012199524429935796
1.0,402.0,510000,NN_E_0.8,0.02,1529485578.0,0.0001,0.02,0.0019999017706209578,0.00015881694089389827
1.0,485.0,520000,NN_E_0.8,0.02,1529485659.0,0.0001,0.02,0.0013999364982220412,0.00018268462468866962
1.0,577.0,530000,NN_E_0.8,0.02,1529485742.0,0.0001,0.02,0.0014999332968826018,0.00020753837322063038
1.0,671.0,540000,NN_E_0.8,0.02,1529485823.0,0.0001,0.02,0.0015999324571757973,0.00023332344884943038
1.0,756.0,550000,NN_E_0.8,0.02,1529485906.0,0.0001,0.02,0.0011999464206923257,0.00025089841197384636
1.0,833.0,560000,NN_E_0.8,0.02,1529485990.0,0.0001,0.02,0.001199945206321836,0.00026784567615863457
1.0,919.0,570000,NN_E_0.8,0.02,1529486075.0,0.0001,0.02,0.0006999706872909522,0.0002754268167048122
1.0,991.0,580000,NN_E_0.8,0.02,1529486160.0,0.0001,0.02,0.0013999325569878796,0.00029481484670969223
1.0,1063.0,590000,NN_E_0.8,0.02,1529486245.0,0.0001,0.02,0.0011999444192140856,0.0003101560259046836
1.0,1143.0,600000,NN_E_0.8,0.02,1529486326.0,0.0001,0.02,0.0024998820191007853,0.00034665145912461865
1.0,1225.0,610000,NN_E_0.8,0.02,1529486407.0,0.0001,0.02,0.0013999441930950096,0.0003639185531241345
1.0,1300.0,620000,NN_E_0.8,0.02,1529486488.0,0.0001,0.02,0.001699928578443336,0.0003854671019196048
1.0,1375.0,630000,NN_E_0.8,0.02,1529486569.0,0.0001,0.02,0.001399928734693775,0.00040156966751919704
1.0,1448.0,640000,NN_E_0.8,0.02,1529486652.0,0.0001,0.02,0.001599928885314412,0.00042029403029724544
1.0,1516.0,650000,NN_E_0.8,0.02,1529486734.0,0.0001,0.02,0.0015999259954370636,0.0004384422143763185
1.0,1599.0,660000,NN_E_0.8,0.02,1529486817.0,0.0001,0.02,0.0016999228219909536,0.00045755555691592945
1.0,1685.0,670000,NN_E_0.8,0.02,1529486899.0,0.0001,0.02,0.0018999115169344898,0.00047908325781172715
1.0,1759.0,680000,NN_E_0.8,0.02,1529486983.0,0.0001,0.02,0.001399938408566072,0.0004926252453228186
1.0,1829.0,690000,NN_E_0.8,0.02,1529487066.0,0.0001,0.02,0.0014999312062774352,0.0005072238824381015
1.0,1914.0,700000,NN_E_0.8,0.02,1529487149.0,0.0001,0.02,0.0010999482712880718,0.0005156913737073839
1.0,1980.0,710000,NN_E_0.8,0.02,1529487230.0,0.0001,0.02,0.0015999266961679206,0.0005309622937420355
1.0,2052.0,720000,NN_E_0.8,0.02,1529487314.0,0.0001,0.02,0.001699922900572085,0.00054719785772578
2.0,2128.0,730000,NN_E_0.8,0.02,1529487394.0,0.0001,0.02,0.0008999354689147676,0.0005520298797968586
3.0,2201.0,740000,NN_E_0.8,0.02,1529487472.0,0.0001,0.02,0.0012999320941326537,0.000562136666477069
