Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,37.0,460000,Random,0.02,1529485209.0,0.001,0.02,0.14463130200300403,0.0012260878740358618
0.0,232.0,470000,Random,0.02,1529485282.0,0.001,0.02,0.5099,0.012048937068205312
1.0,431.0,480000,Random,0.02,1529485354.0,0.001,0.02,0.5029,0.022275000879284367
2.0,653.0,490000,Random,0.02,1529485426.0,0.001,0.02,0.4912,0.031844898820523465
2.0,855.0,500000,Random,0.02,1529485500.0,0.001,0.02,0.4904,0.04101600084411299
2.0,1044.0,510000,Random,0.02,1529485578.0,0.001,0.02,0.5011,0.05003725572952254
2.0,1259.0,520000,Random,0.02,1529485659.0,0.001,0.02,0.5054,0.058794231580877876
2.0,1470.0,530000,Random,0.02,1529485742.0,0.001,0.02,0.5073,0.06725660456991792
2.0,1672.0,540000,Random,0.02,1529485823.0,0.001,0.02,0.4927,0.07513518596677128
2.0,1868.0,550000,Random,0.02,1529485906.0,0.001,0.02,0.4995,0.08285090985828454
2.0,2067.0,560000,Random,0.02,1529485990.0,0.001,0.02,0.499,0.09028214361081517
2.0,2287.0,570000,Random,0.02,1529486075.0,0.001,0.02,0.502,0.09750526389834473
2.0,2499.0,580000,Random,0.02,1529486160.0,0.001,0.02,0.4947,0.10435344900354568
3.0,2713.0,590000,Random,0.02,1529486245.0,0.001,0.02,0.4978,0.11102203461365508
3.0,2919.0,600000,Random,0.02,1529486326.0,0.001,0.02,0.5036,0.1175650007034275
3.0,3097.0,610000,Random,0.02,1529486407.0,0.001,0.02,0.5031,0.12388524659353525
3.0,3319.0,620000,Random,0.02,1529486488.0,0.001,0.02,0.5113,0.13013387164847823
3.0,3528.0,630000,Random,0.02,1529486569.0,0.001,0.02,0.4973,0.13596190543183573
3.0,3733.0,640000,Random,0.02,1529486652.0,0.001,0.02,0.5054,0.14173437565946329
4.0,3901.0,650000,Random,0.02,1529486734.0,0.001,0.02,0.4905,0.1471000006493177
4.0,4102.0,660000,Random,0.02,1529486817.0,0.001,0.02,0.5063,0.15254242488190378
5.0,4319.0,670000,Random,0.02,1529486899.0,0.001,0.02,0.4967,0.157679105107547
6.0,4522.0,680000,Random,0.02,1529486983.0,0.001,0.02,0.5075,0.16282353003243602
6.0,4714.0,690000,Random,0.02,1529487066.0,0.001,0.02,0.5095,0.1678478266986326
6.0,4936.0,700000,Random,0.02,1529487149.0,0.001,0.02,0.5091,0.17272285774579502
6.0,5138.0,710000,Random,0.02,1529487230.0,0.001,0.02,0.4999,0.17733098650993873
7.0,5338.0,720000,Random,0.02,1529487314.0,0.001,0.02,0.5011,0.18182777836396735
7.0,5526.0,730000,Random,0.02,1529487394.0,0.001,0.02,0.5014,0.1862054800302144
7.0,5725.0,740000,Random,0.02,1529487472.0,0.001,0.02,0.5089,0.19056621678656285
7.0,5920.0,750000,Random,0.02,1529487552.0,0.001,0.02,0.5182,0.19493466722940866
7.0,6117.0,760000,Random,0.02,1529487630.0,0.001,0.02,0.4985,0.19892894792375856
8.0,6301.0,770000,Random,0.02,1529487708.0,0.001,0.02,0.5027,0.2028740265221513
9.0,6512.0,780000,Random,0.02,1529487789.0,0.001,0.02,0.5045,0.20674102618212373
9.0,6708.0,790000,Random,0.02,1529487870.0,0.001,0.02,0.4946,0.210384810660831
9.0,6916.0,800000,Random,0.02,1529487950.0,0.001,0.02,0.5146,0.21418750052757063
9.0,7094.0,810000,Random,0.02,1529488030.0,0.001,0.02,0.4912,0.2176074079284648
9.0,7304.0,820000,Random,0.02,1529488109.0,0.001,0.02,0.4961,0.2210036590512884
9.0,7506.0,830000,Random,0.02,1529488188.0,0.001,0.02,0.5031,0.22440241014705603
9.0,7717.0,840000,Random,0.02,1529488267.0,0.001,0.02,0.5008,0.22769285764530536
9.0,7942.0,850000,Random,0.02,1529488344.0,0.001,0.02,0.4927,0.2308105887318312
9.0,8135.0,860000,Random,0.02,1529488423.0,0.001,0.02,0.4904,0.23382907025820523
9.0,8345.0,870000,Random,0.02,1529488503.0,0.001,0.02,0.4857,0.2367241384161569
9.0,8544.0,880000,Random,0.02,1529488582.0,0.001,0.02,0.4903,0.23960568229779147
9.0,8721.0,890000,Random,0.02,1529488663.0,0.001,0.02,0.4936,0.24245955103601854
9.0,8913.0,900000,Random,0.02,1529488741.0,0.001,0.02,0.4981,0.24530000046895167
9.0,9129.0,910000,Random,0.02,1529488819.0,0.001,0.02,0.4939,0.24803186859566648
10.0,9303.0,920000,Random,0.02,1529488893.0,0.001,0.02,0.4976,0.2507445656761484
11.0,9475.0,930000,Random,0.02,1529488965.0,0.001,0.02,0.4969,0.25339139830328655
11.0,9659.0,940000,Random,0.02,1529489033.0,0.001,0.02,0.4997,0.25601170257665584
12.0,9868.0,950000,Random,0.02,1529489099.0,0.001,0.02,0.5193,0.25878315833900684
12.0,10071.0,960000,Random,0.02,1529489162.0,0.001,0.02,0.5009,0.26130520877297553
12.0,10288.0,970000,Random,0.02,1529489226.0,0.001,0.02,0.5071,0.26383917569284177
12.0,10493.0,980000,Random,0.02,1529489288.0,0.001,0.02,0.5067,0.2663173473694454
12.0,10692.0,990000,Random,0.02,1529489350.0,0.001,0.02,0.5037,0.2687151519414712
12.0,10905.0,1000000,Random,0.02,1529489410.0,0.001,0.02,0.4971,0.27099900042205655
14.0,11088.0,1010000,Random,0.02,1529489472.0,0.001,0.02,0.4978,0.2732445548733233
14.0,11289.0,1020000,Random,0.02,1529489534.0,0.001,0.02,0.4926,0.2753950984529966
14.0,11528.0,1030000,Random,0.02,1529489596.0,0.001,0.02,0.507,0.27764368973015197
15.0,11722.0,1040000,Random,0.02,1529489659.0,0.001,0.02,0.5026,0.27980673117505434
15.0,11923.0,1050000,Random,0.02,1529489721.0,0.001,0.02,0.5105,0.2820038099257681
15.0,12119.0,1060000,Random,0.02,1529489782.0,0.001,0.02,0.5055,0.2841122645491099
16.0,12300.0,1070000,Random,0.02,1529489846.0,0.001,0.02,0.5061,0.2861869162822958
16.0,12512.0,1080000,Random,0.02,1529489910.0,0.001,0.02,0.512,0.28827777816857086
16.0,12702.0,1090000,Random,0.02,1529489972.0,0.001,0.02,0.5055,0.29027064258904267
16.0,12918.0,1100000,Random,0.02,1529490034.0,0.001,0.02,0.5015,0.29219090947459686
16.0,13123.0,1110000,Random,0.02,1529490096.0,0.001,0.02,0.4995,0.2940585589387897
17.0,13321.0,1120000,Random,0.02,1529490158.0,0.001,0.02,0.5017,0.2959125003768362
18.0,13534.0,1130000,Random,0.02,1529490220.0,0.001,0.02,0.4965,0.29768761099297036
18.0,13706.0,1140000,Random,0.02,1529490283.0,0.001,0.02,0.5057,0.2995122810719794
18.0,13927.0,1150000,Random,0.02,1529490346.0,0.001,0.02,0.5096,0.3013391308017883
18.0,14166.0,1160000,Random,0.02,1529490408.0,0.001,0.02,0.4987,0.30304051760522116
18.0,14352.0,1170000,Random,0.02,1529490471.0,0.001,0.02,0.4973,0.3047008550615868
19.0,14537.0,1180000,Random,0.02,1529490534.0,0.001,0.02,0.4962,0.30632372917123435
19.0,14753.0,1190000,Random,0.02,1529490599.0,0.001,0.02,0.5092,0.3080285717832408
19.0,14963.0,1200000,Random,0.02,1529490664.0,0.001,0.02,0.5043,0.30966416701838045
19.0,15156.0,1210000,Random,0.02,1529490730.0,0.001,0.02,0.5051,0.31127933919178224
19.0,15350.0,1220000,Random,0.02,1529490795.0,0.001,0.02,0.509,0.312900000345948
19.0,15553.0,1230000,Random,0.02,1529490860.0,0.001,0.02,0.5059,0.3144691060341923
19.0,15741.0,1240000,Random,0.02,1529490923.0,0.001,0.02,0.5021,0.3159822584048843
