Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,2.0,460000,Regression,0.02,1529485209.0,0.001,0.02,0.08833411415476046,2.18343058234775e-06
0.0,36.0,470000,Regression,0.02,1529485282.0,0.001,0.02,0.0011010754046218276,2.5564110881060133e-05
2.0,76.0,480000,Regression,0.02,1529485354.0,0.001,0.02,0.0018928167320764423,6.446520715596412e-05
4.0,121.0,490000,Regression,0.02,1529485426.0,0.001,0.02,0.0017957884009336847,9.979833355959014e-05
4.0,152.0,500000,Regression,0.02,1529485500.0,0.001,0.02,0.001197667845939038,0.0001217557238071783
6.0,193.0,510000,Regression,0.02,1529485578.0,0.001,0.02,0.0019940965692258057,0.00015846828940362155
6.0,221.0,520000,Regression,0.02,1529485659.0,0.001,0.02,0.0013993378852251912,0.00018233116624634437
7.0,252.0,530000,Regression,0.02,1529485742.0,0.001,0.02,0.0014958771397700706,0.00020711505253924537
7.0,297.0,540000,Regression,0.02,1529485823.0,0.001,0.02,0.00159520685968224,0.00023282045637522752
7.0,325.0,550000,Regression,0.02,1529485906.0,0.001,0.02,0.0011995825248311762,0.000250397948528973
7.0,367.0,560000,Regression,0.02,1529485990.0,0.001,0.02,0.001197692003479903,0.0002673139137959557
7.0,408.0,570000,Regression,0.02,1529486075.0,0.001,0.02,0.0006999152666378037,0.0002749034112142324
7.0,451.0,580000,Regression,0.02,1529486160.0,0.001,0.02,0.0014007002171011532,0.0002943137009709014
7.0,488.0,590000,Regression,0.02,1529486245.0,0.001,0.02,0.001198057375584033,0.0003096313903711231
7.0,525.0,600000,Regression,0.02,1529486326.0,0.001,0.02,0.0024902369692581076,0.00034597481668590443
7.0,561.0,610000,Regression,0.02,1529486407.0,0.001,0.02,0.0013973861143043536,0.00036321106746653377
7.0,597.0,620000,Regression,0.02,1529486488.0,0.001,0.02,0.0016973404332776348,0.0003847292830441319
7.0,638.0,630000,Regression,0.02,1529486569.0,0.001,0.02,0.0013989891801341123,0.00040082864649000513
7.0,671.0,640000,Regression,0.02,1529486652.0,0.001,0.02,0.0015947285905035082,0.0004194833331152137
7.0,707.0,650000,Regression,0.02,1529486734.0,0.001,0.02,0.001595479612386944,0.00043757558356555113
8.0,741.0,660000,Regression,0.02,1529486817.0,0.001,0.02,0.0016949391469529814,0.0004566265466471821
8.0,777.0,670000,Regression,0.02,1529486899.0,0.001,0.02,0.0018986464607926357,0.0004781492319329356
10.0,813.0,680000,Regression,0.02,1529486983.0,0.001,0.02,0.0013938957487951479,0.0004916160924750244
10.0,847.0,690000,Regression,0.02,1529487066.0,0.001,0.02,0.0014993889537061964,0.0005062214962609835
11.0,880.0,700000,Regression,0.02,1529487149.0,0.001,0.02,0.0010970751041257277,0.0005146622620876262
12.0,917.0,710000,Regression,0.02,1529487230.0,0.001,0.02,0.0015939202981471662,0.0005298630794969209
12.0,950.0,720000,Regression,0.02,1529487314.0,0.001,0.02,0.0016970076294205085,0.0005460734204680882
13.0,988.0,730000,Regression,0.02,1529487394.0,0.001,0.02,0.000899671760989896,0.0005509172333519463
13.0,1025.0,740000,Regression,0.02,1529487472.0,0.001,0.02,0.0012976091220109904,0.0005610076642797716
13.0,1070.0,750000,Regression,0.02,1529487552.0,0.001,0.02,0.0013982471467149054,0.0005721708573789041
14.0,1103.0,760000,Regression,0.02,1529487630.0,0.001,0.02,0.0012956074267091726,0.0005816897596069321
16.0,1144.0,770000,Regression,0.02,1529487708.0,0.001,0.02,0.0017919817574872262,0.0005974078375014842
16.0,1173.0,780000,Regression,0.02,1529487789.0,0.001,0.02,0.001595865039704232,0.0006102085708630619
16.0,1208.0,790000,Regression,0.02,1529487870.0,0.001,0.02,0.0010986910297642657,0.0006163918931276367
16.0,1261.0,800000,Regression,0.02,1529487950.0,0.001,0.02,0.0010013108423371588,0.0006212033799927588
17.0,1282.0,810000,Regression,0.02,1529488030.0,0.001,0.02,0.001297955885730668,0.0006295583491994007
17.0,1315.0,820000,Regression,0.02,1529488109.0,0.001,0.02,0.001297417768077418,0.0006377029762588871
17.0,1345.0,830000,Regression,0.02,1529488188.0,0.001,0.02,0.0014948629704481062,0.0006480302051045314
17.0,1375.0,840000,Regression,0.02,1529488267.0,0.001,0.02,0.0012989394427611733,0.0006557791246004437
17.0,1400.0,850000,Regression,0.02,1529488344.0,0.001,0.02,0.0011964912365379232,0.0006621404435644221
17.0,1427.0,860000,Regression,0.02,1529488423.0,0.001,0.02,0.002391353978651006,0.0006822475776933362
18.0,1463.0,870000,Regression,0.02,1529488503.0,0.001,0.02,0.0012964987963464316,0.000689307936528423
18.0,1497.0,880000,Regression,0.02,1529488582.0,0.001,0.02,0.0013981796822381733,0.0006973632972751341
19.0,1532.0,890000,Regression,0.02,1529488663.0,0.001,0.02,0.0015958031441351613,0.0007074581270151332
20.0,1563.0,900000,Regression,0.02,1529488741.0,0.001,0.02,0.001991763437904565,0.0007217281860250186
20.0,1591.0,910000,Regression,0.02,1529488819.0,0.001,0.02,0.0015982305572781025,0.0007313600802146087
20.0,1628.0,920000,Regression,0.02,1529488893.0,0.001,0.02,0.0011991293908891862,0.0007364445292436763
20.0,1667.0,930000,Regression,0.02,1529488965.0,0.001,0.02,0.0011964725683791986,0.0007413910672988958
20.0,1717.0,940000,Regression,0.02,1529489033.0,0.001,0.02,0.0012992213248508736,0.0007473254317409381
20.0,1751.0,950000,Regression,0.02,1529489099.0,0.001,0.02,0.000898817342347478,0.0007489200834315304
20.0,1789.0,960000,Regression,0.02,1529489162.0,0.001,0.02,0.0007013579554165552,0.0007484246445980372
20.0,1812.0,970000,Regression,0.02,1529489226.0,0.001,0.02,0.0009994836214288684,0.0007510128814725769
20.0,1845.0,980000,Regression,0.02,1529489288.0,0.001,0.02,0.001599040025146131,0.0007596662196733309
21.0,1883.0,990000,Regression,0.02,1529489350.0,0.001,0.02,0.0018932305100381405,0.0007711163640204416
21.0,1915.0,1000000,Regression,0.02,1529489410.0,0.001,0.02,0.0017958227765541106,0.0007813634281457714
21.0,1956.0,1010000,Regression,0.02,1529489472.0,0.001,0.02,0.0020933179982855522,0.0007943530773550737
22.0,2005.0,1020000,Regression,0.02,1529489534.0,0.001,0.02,0.002294297783575426,0.0008090584176121337
23.0,2047.0,1030000,Regression,0.02,1529489596.0,0.001,0.02,0.0012963731860459122,0.0008137896289561562
23.0,2080.0,1040000,Regression,0.02,1529489659.0,0.001,0.02,0.0022900057722819076,0.0008279840149496747
23.0,2105.0,1050000,Regression,0.02,1529489721.0,0.001,0.02,0.0015963523157213513,0.0008353018082903624
24.0,2138.0,1060000,Regression,0.02,1529489782.0,0.001,0.02,0.0016948729670978504,0.000843410970165904
24.0,2166.0,1070000,Regression,0.02,1529489846.0,0.001,0.02,0.0008004645083551203,0.0008430096013639364
24.0,2194.0,1080000,Regression,0.02,1529489910.0,0.001,0.02,0.0012988912642601888,0.0008472307278722343
24.0,2224.0,1090000,Regression,0.02,1529489972.0,0.001,0.02,0.0015992697897382225,0.0008541301688067798
24.0,2257.0,1100000,Regression,0.02,1529490034.0,0.001,0.02,0.0014961052838890227,0.0008599663062166203
24.0,2281.0,1110000,Regression,0.02,1529490096.0,0.001,0.02,0.0006999809761030661,0.0008585249969363207
24.0,2305.0,1120000,Regression,0.02,1529490158.0,0.001,0.02,0.001098362188216058,0.0008606664004298923
24.0,2343.0,1130000,Regression,0.02,1529490220.0,0.001,0.02,0.0014974303514715488,0.0008663014796426544
24.0,2375.0,1140000,Regression,0.02,1529490283.0,0.001,0.02,0.0008991739886312859,0.0008665898349846607
25.0,2409.0,1150000,Regression,0.02,1529490346.0,0.001,0.02,0.001096921908852206,0.0008685927225835127
25.0,2431.0,1160000,Regression,0.02,1529490408.0,0.001,0.02,0.0011994755370586345,0.0008714451606393303
25.0,2466.0,1170000,Regression,0.02,1529490471.0,0.001,0.02,0.0006999074350497233,0.0008699790262325873
26.0,2489.0,1180000,Regression,0.02,1529490534.0,0.001,0.02,0.0018942841097113873,0.0008786595777874925
26.0,2516.0,1190000,Regression,0.02,1529490599.0,0.001,0.02,0.0021955260407470634,0.0008897256825182395
27.0,2546.0,1200000,Regression,0.02,1529490664.0,0.001,0.02,0.0014962789014512378,0.0008947802926760123
27.0,2572.0,1210000,Regression,0.02,1529490730.0,0.001,0.02,0.001498606628102313,0.0008997705929687824
27.0,2599.0,1220000,Regression,0.02,1529490795.0,0.001,0.02,0.0016981333837598391,0.0009063145502703542
28.0,2631.0,1230000,Regression,0.02,1529490860.0,0.001,0.02,0.0014951434408687016,0.0009111017770231911
28.0,2665.0,1240000,Regression,0.02,1529490923.0,0.001,0.02,0.0018974038394521876,0.0009190558259137632
