Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
1.0,127.0,110000,GP_Clustered_H_12,0.1,1531044493.0,1,0.1,0.0456761821588435,0.000962063992900951
1.0,617.0,120000,GP_Clustered_H_12,0.1,1531046231.0,1,0.1,0.035993214353605724,0.0038813265229596812
1.0,1079.0,130000,GP_Clustered_H_12,0.1,1531048017.0,1,0.1,0.035347653630286344,0.006301813223523307
1.0,1498.0,140000,GP_Clustered_H_12,0.1,1531049805.0,1,0.1,0.03604371840927854,0.008426235022505774
5.0,2001.0,150000,GP_Clustered_H_12,0.1,1531051599.0,1,0.1,0.035973568638949016,0.010262723930268591
5.0,2497.0,160000,GP_Clustered_H_12,0.1,1531053310.0,1,0.1,0.035585263492539716,0.01184538265291068
7.0,3393.0,170000,GP_Clustered_H_12,0.1,1531054948.0,1,0.1,0.03551428142402625,0.013237670815917358
8.0,4000.0,180000,GP_Clustered_H_12,0.1,1531056675.0,1,0.1,0.03551621469788941,0.014475367698249114
11.0,4612.0,190000,GP_Clustered_H_12,0.1,1531058328.0,1,0.1,0.03537348437200128,0.015575268575815005
11.0,5196.0,200000,GP_Clustered_H_12,0.1,1531059941.0,1,0.1,0.035841424365493,0.01658857636529895
12.0,5752.0,210000,GP_Clustered_H_12,0.1,1531061809.0,1,0.1,0.035392145628228636,0.017483984425438505
12.0,6327.0,220000,GP_Clustered_H_12,0.1,1531063581.0,1,0.1,0.036152047061349855,0.018332532727070805
13.0,6862.0,230000,GP_Clustered_H_12,0.1,1531065314.0,1,0.1,0.035779155213044846,0.01909108153080849
15.0,7372.0,240000,GP_Clustered_H_12,0.1,1531067084.0,1,0.1,0.03584291411734425,0.019789074555247615
16.0,7855.0,250000,GP_Clustered_H_12,0.1,1531068933.0,1,0.1,0.037258550180046014,0.020487853580239523
20.0,8298.0,260000,GP_Clustered_H_12,0.1,1531070560.0,1,0.1,0.03660295855939024,0.021107665310206945
20.0,8779.0,270000,GP_Clustered_H_12,0.1,1531071931.0,1,0.1,0.0362984071722176,0.021670285379170134
22.0,9252.0,280000,GP_Clustered_H_12,0.1,1531073370.0,1,0.1,0.03693059656780897,0.022215296493050044
25.0,9875.0,290000,GP_Clustered_H_12,0.1,1531074828.0,1,0.1,0.03573613587644689,0.022681532333856877
29.0,10795.0,300000,GP_Clustered_H_12,0.1,1531076102.0,1,0.1,0.03654341857579154,0.023143595208588226
32.0,11730.0,310000,GP_Clustered_H_12,0.1,1531077460.0,1,0.1,0.03610646995079776,0.023561752458337002
33.0,12660.0,320000,GP_Clustered_H_12,0.1,1531078853.0,1,0.1,0.03680137681633195,0.02397549071952456
34.0,13509.0,330000,GP_Clustered_H_12,0.1,1531080285.0,1,0.1,0.03622684806360263,0.024346743972375573
37.0,14401.0,340000,GP_Clustered_H_12,0.1,1531081775.0,1,0.1,0.03604137649558526,0.024690703752470008
38.0,15221.0,350000,GP_Clustered_H_12,0.1,1531083470.0,1,0.1,0.03573407670176127,0.025006228693878366
40.0,16000.0,360000,GP_Clustered_H_12,0.1,1531085548.0,1,0.1,0.037689575440020794,0.025358543881270817
41.0,16809.0,370000,GP_Clustered_H_12,0.1,1531091700.0,1,0.1,0.03689304242661727,0.025670287085198883
45.0,18911.0,380000,GP_Clustered_H_12,0.1,1531109678.0,1,0.1,0.035602566099786605,0.025931662848740836
48.0,20623.0,390000,GP_Clustered_H_12,0.1,1531114011.0,1,0.1,0.0345934849279662,0.026153760850772294
48.0,21591.0,400000,GP_Clustered_H_12,0.1,1531116623.0,1,0.1,0.03473414148337702,0.02636827036658756
48.0,22346.0,410000,GP_Clustered_H_12,0.1,1531118649.0,1,0.1,0.03461132302807017,0.026569320431501838
48.0,23027.0,420000,GP_Clustered_H_12,0.1,1531120418.0,1,0.1,0.03466529879174303,0.02676208182103134
49.0,23592.0,430000,GP_Clustered_H_12,0.1,1531122132.0,1,0.1,0.03450574783414622,0.026942167077150633
49.0,24108.0,440000,GP_Clustered_H_12,0.1,1531123856.0,1,0.1,0.034294941115455085,0.027109275578021147
49.0,24487.0,450000,GP_Clustered_H_12,0.1,1531125068.0,1,0.1,0.03376166953045973,0.027257106554742096
50.0,24917.0,460000,GP_Clustered_H_12,0.1,1531126436.0,1,0.1,0.03388239640809561,0.027401134595032486
51.0,25379.0,470000,GP_Clustered_H_12,0.1,1531128328.0,1,0.1,0.03390049593011352,0.02753941887875759
51.0,25599.0,480000,GP_Clustered_H_12,0.1,1531129175.0,1,0.1,0.033587040959496786,0.027665411005439535
51.0,25799.0,490000,GP_Clustered_H_12,0.1,1531130018.0,1,0.1,0.033850343752537315,0.027791634122727307
52.0,25999.0,500000,GP_Clustered_H_12,0.1,1531130800.0,1,0.1,0.033661035835725196,0.027909022156987408
52.0,26304.0,510000,GP_Clustered_H_12,0.1,1531131712.0,1,0.1,0.03417861666821571,0.028031955382697808
54.0,26836.0,520000,GP_Clustered_H_12,0.1,1531133341.0,1,0.1,0.035171895648592494,0.02816926192627282
55.0,27274.0,530000,GP_Clustered_H_12,0.1,1531134827.0,1,0.1,0.034651203124710116,0.028291562703601725
55.0,27607.0,540000,GP_Clustered_H_12,0.1,1531136175.0,1,0.1,0.034566472962937835,0.028407764745441277
55.0,28028.0,550000,GP_Clustered_H_12,0.1,1531137754.0,1,0.1,0.03438315142565091,0.028516408139626737
55.0,28441.0,560000,GP_Clustered_H_12,0.1,1531139459.0,1,0.1,0.03471670220877061,0.028627127676575763
55.0,28832.0,570000,GP_Clustered_H_12,0.1,1531141094.0,1,0.1,0.033759326146625926,0.028717166246225802
56.0,29179.0,580000,GP_Clustered_H_12,0.1,1531142751.0,1,0.1,0.034572424949679985,0.028818118982492015
56.0,29515.0,590000,GP_Clustered_H_12,0.1,1531144525.0,1,0.1,0.03508626096629832,0.02892435867713321
57.0,29926.0,600000,GP_Clustered_H_12,0.1,1531146406.0,1,0.1,0.0346564987643871,0.029019894345253882
60.0,30425.0,610000,GP_Clustered_H_12,0.1,1531148524.0,1,0.1,0.03558434177891725,0.029127508237608964
63.0,30982.0,620000,GP_Clustered_H_12,0.1,1531150653.0,1,0.1,0.03573769411393585,0.029234124138839915
63.0,31612.0,630000,GP_Clustered_H_12,0.1,1531152831.0,1,0.1,0.0353858145201091,0.02933177001790732
65.0,32500.0,640000,GP_Clustered_H_12,0.1,1531154931.0,1,0.1,0.03543658971878939,0.029427157825733484
69.0,33444.0,650000,GP_Clustered_H_12,0.1,1531156919.0,1,0.1,0.03590846001187703,0.029526870167058676
72.0,34633.0,660000,GP_Clustered_H_12,0.1,1531158796.0,1,0.1,0.035715925497737465,0.0296206437326753
75.0,35961.0,670000,GP_Clustered_H_12,0.1,1531160992.0,1,0.1,0.03634561042542348,0.029721016369880327
77.0,37223.0,680000,GP_Clustered_H_12,0.1,1531162911.0,1,0.1,0.03638355674458102,0.02981899490480242
80.0,38509.0,690000,GP_Clustered_H_12,0.1,1531164809.0,1,0.1,0.03587552707460455,0.02990677073335033
85.0,39899.0,700000,GP_Clustered_H_12,0.1,1531166846.0,1,0.1,0.037119316152424864,0.030009807096479834
86.0,41190.0,710000,GP_Clustered_H_12,0.1,1531168918.0,1,0.1,0.03672976235223823,0.030104454353602768
88.0,42551.0,720000,GP_Clustered_H_12,0.1,1531171813.0,1,0.1,0.037068089973628565,0.030201171514991767
93.0,43699.0,730000,GP_Clustered_H_12,0.1,1531185503.0,1,0.1,0.037274616723219946,0.030298068024693273
93.0,45414.0,740000,GP_Clustered_H_12,0.1,1531196969.0,1,0.1,0.03596335540965583,0.030374625962328025
96.0,46745.0,750000,GP_Clustered_H_12,0.1,1531200364.0,1,0.1,0.03651638427606033,0.0304565160731777
99.0,47599.0,760000,GP_Clustered_H_12,0.1,1531202607.0,1,0.1,0.03531530413897572,0.030520447495095762
101.0,48232.0,770000,GP_Clustered_H_12,0.1,1531204516.0,1,0.1,0.03556706458720671,0.030585987976811682
102.0,48794.0,780000,GP_Clustered_H_12,0.1,1531206234.0,1,0.1,0.03599113185452132,0.030655284693192567
102.0,49301.0,790000,GP_Clustered_H_12,0.1,1531207753.0,1,0.1,0.03521707731359445,0.03071302890357726
104.0,49760.0,800000,GP_Clustered_H_12,0.1,1531209349.0,1,0.1,0.035391922518699506,0.030771515073766
104.0,50000.0,810000,GP_Clustered_H_12,0.1,1531211009.0,1,0.1,0.03484786138418981,0.030821840336857583
104.0,50222.0,820000,GP_Clustered_H_12,0.1,1531212747.0,1,0.1,0.03541456883045357,0.030877849220925645
104.0,50377.0,830000,GP_Clustered_H_12,0.1,1531214477.0,1,0.1,0.034904935093180024,0.03092636832782028
106.0,50562.0,840000,GP_Clustered_H_12,0.1,1531216000.0,1,0.1,0.03546299721086831,0.03098037581452335
106.0,50732.0,850000,GP_Clustered_H_12,0.1,1531217491.0,1,0.1,0.03557284291477847,0.03103440483923245
108.0,50947.0,860000,GP_Clustered_H_12,0.1,1531218803.0,1,0.1,0.036269385107042425,0.031095276702811776
110.0,51169.0,870000,GP_Clustered_H_12,0.1,1531220183.0,1,0.1,0.03598763126545366,0.031151510663301824
110.0,51384.0,880000,GP_Clustered_H_12,0.1,1531221660.0,1,0.1,0.036663475124538894,0.031214146623088725
111.0,51575.0,890000,GP_Clustered_H_12,0.1,1531223228.0,1,0.1,0.03654233821296036,0.03127401394432332
112.0,51821.0,900000,GP_Clustered_H_12,0.1,1531224925.0,1,0.1,0.035926533192785624,0.03132570860263957
113.0,52010.0,910000,GP_Clustered_H_12,0.1,1531226586.0,1,0.1,0.03672619618922829,0.03138505462007447
115.0,52181.0,920000,GP_Clustered_H_12,0.1,1531228193.0,1,0.1,0.03672554620686403,0.03144310344167014
115.0,52391.0,930000,GP_Clustered_H_12,0.1,1531229863.0,1,0.1,0.03625171374986869,0.03149480892885489
119.0,52644.0,940000,GP_Clustered_H_12,0.1,1531231690.0,1,0.1,0.03685426058871631,0.03155182437204481
120.0,52915.0,950000,GP_Clustered_H_12,0.1,1531233614.0,1,0.1,0.036528716899912654,0.031604212714443414
121.0,53199.0,960000,GP_Clustered_H_12,0.1,1531235598.0,1,0.1,0.037295952597224735,0.031663501671555946
122.0,53541.0,970000,GP_Clustered_H_12,0.1,1531237572.0,1,0.1,0.03677547280662853,0.03171620240490723
123.0,53911.0,980000,GP_Clustered_H_12,0.1,1531239731.0,1,0.1,0.03790267161116479,0.03177932964170563
125.0,54259.0,990000,GP_Clustered_H_12,0.1,1531241737.0,1,0.1,0.037149804294661436,0.031833576860422264
126.0,54813.0,1000000,GP_Clustered_H_12,0.1,1531243738.0,1,0.1,0.03781764670009261,0.031893417558819026
128.0,55650.0,1010000,GP_Clustered_H_12,0.1,1531245667.0,1,0.1,0.037715723724711124,0.031951064154520856
132.0,56570.0,1020000,GP_Clustered_H_12,0.1,1531247731.0,1,0.1,0.037675358932136194,0.03200718469155619
133.0,57372.0,1030000,GP_Clustered_H_12,0.1,1531249459.0,1,0.1,0.03816877512624206,0.03206700595791239
138.0,58228.0,1040000,GP_Clustered_H_12,0.1,1531251643.0,1,0.1,0.03846802553038778,0.03212855422303257
140.0,59018.0,1050000,GP_Clustered_H_12,0.1,1531253665.0,1,0.1,0.03835301740318095,0.03218783482474817
141.0,59968.0,1060000,GP_Clustered_H_12,0.1,1531256223.0,1,0.1,0.03789843326064174,0.03224170839489814
146.0,60830.0,1070000,GP_Clustered_H_12,0.1,1531263018.0,1,0.1,0.0381569213347924,0.03229699075882243
151.0,62223.0,1080000,GP_Clustered_H_12,0.1,1531280274.0,1,0.1,0.037964849976866846,0.03234947093676723
158.0,63367.0,1090000,GP_Clustered_H_12,0.1,1531284669.0,1,0.1,0.03815443136224683,0.03240272745443147
159.0,64229.0,1100000,GP_Clustered_H_12,0.1,1531287508.0,1,0.1,0.037431738655000955,0.032448445738073164
160.0,64808.0,1110000,GP_Clustered_H_12,0.1,1531289836.0,1,0.1,0.0371753074086241,0.032491030077447254
161.0,65191.0,1120000,GP_Clustered_H_12,0.1,1531291626.0,1,0.1,0.0368409506507582,0.032529868653994334
164.0,66589.0,1130000,GP_Clustered_H_12,0.1,1531293077.0,1,0.1,0.03700605537664514,0.032569480925876235
167.0,67753.0,1140000,GP_Clustered_H_12,0.1,1531294497.0,1,0.1,0.03731307110012359,0.03261109136600105
167.0,68751.0,1150000,GP_Clustered_H_12,0.1,1531295902.0,1,0.1,0.03732844453288882,0.03265211182832169
170.0,70291.0,1160000,GP_Clustered_H_12,0.1,1531297173.0,1,0.1,0.037278468515189976,0.03269199421355333
174.0,71888.0,1170000,GP_Clustered_H_12,0.1,1531298617.0,1,0.1,0.03731260376058864,0.03273148660284413
176.0,73269.0,1180000,GP_Clustered_H_12,0.1,1531300121.0,1,0.1,0.03722658473501348,0.03276958065481174
177.0,74515.0,1190000,GP_Clustered_H_12,0.1,1531301576.0,1,0.1,0.03711748668265834,0.03280611768025544
177.0,75655.0,1200000,GP_Clustered_H_12,0.1,1531303080.0,1,0.1,0.03703192189340784,0.03284133271536504
181.0,76743.0,1210000,GP_Clustered_H_12,0.1,1531304333.0,1,0.1,0.03881701350674908,0.032890718507029265
184.0,77614.0,1220000,GP_Clustered_H_12,0.1,1531305532.0,1,0.1,0.03841410154480074,0.032935992138486636
185.0,78118.0,1230000,GP_Clustered_H_12,0.1,1531307017.0,1,0.1,0.03891139340711461,0.03298457263660521
188.0,78552.0,1240000,GP_Clustered_H_12,0.1,1531308567.0,1,0.1,0.038840818371926204,0.033031800424793256
189.0,78988.0,1250000,GP_Clustered_H_12,0.1,1531310326.0,1,0.1,0.03872877872324547,0.033077376251180575
189.0,79367.0,1260000,GP_Clustered_H_12,0.1,1531312103.0,1,0.1,0.03867135311804468,0.03312177289298129
