Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
3.0,344.0,110000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531044493.0,1,0.2,0.04613576968028452,0.001004008669108423
5.0,1553.0,120000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531046231.0,1,0.2,0.03757582999881817,0.004051660446584243
6.0,2770.0,130000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531048017.0,1,0.2,0.03693347735021542,0.0065810309776328105
10.0,3860.0,140000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531049805.0,1,0.2,0.037617858832941865,0.008797947253012
17.0,4985.0,150000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531051599.0,1,0.2,0.03754335651772408,0.01071430787065961
18.0,6117.0,160000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531053310.0,1,0.2,0.037156575111969896,0.012366949573241512
20.0,7809.0,170000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531054948.0,1,0.2,0.037109161965734355,0.013822373831623554
22.0,9162.0,180000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531056675.0,1,0.2,0.03708107786661583,0.015114524055789617
26.0,10399.0,190000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531058328.0,1,0.2,0.036932917876427135,0.0162628605726652
28.0,11673.0,200000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531059941.0,1,0.2,0.03740869345379182,0.017320152216721434
30.0,12823.0,210000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531061809.0,1,0.2,0.03696368916116597,0.01825555873788534
32.0,14095.0,220000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531063581.0,1,0.2,0.037710004332443106,0.01913985171945613
37.0,15348.0,230000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531065314.0,1,0.2,0.03734729540681371,0.019931479705863005
40.0,16473.0,240000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531067084.0,1,0.2,0.03741248095138913,0.02065985475776016
46.0,17708.0,250000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531068933.0,1,0.2,0.038815330707812894,0.02138607379576239
50.0,18803.0,260000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531070560.0,1,0.2,0.03816001606007077,0.022031225421312844
53.0,19931.0,270000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531071931.0,1,0.2,0.03786773982861447,0.02261776299195362
57.0,21047.0,280000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531073370.0,1,0.2,0.03848882968668081,0.02318458680247964
61.0,22401.0,290000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531074828.0,1,0.2,0.037314009766845686,0.023671808284009617
67.0,24182.0,300000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531076102.0,1,0.2,0.03812856630444004,0.024153700218024137
72.0,25984.0,310000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531077460.0,1,0.2,0.037700475206212856,0.024590692959578758
77.0,27737.0,320000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531078853.0,1,0.2,0.038385127844865516,0.02502176904974391
82.0,29396.0,330000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531080285.0,1,0.2,0.03781777264196282,0.025409526734356477
88.0,31115.0,340000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531081775.0,1,0.2,0.03763822732026532,0.02576919439864816
91.0,32766.0,350000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531083470.0,1,0.2,0.03733917246204856,0.0260997652004604
95.0,34367.0,360000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531085548.0,1,0.2,0.03926185109239096,0.02646537869745845
100.0,35959.0,370000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531091700.0,1,0.2,0.03850926913127971,0.026790889249723816
107.0,39151.0,380000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531109678.0,1,0.2,0.03732566285676473,0.027068120134119893
114.0,41728.0,390000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531114011.0,1,0.2,0.036309574011425004,0.027305080489948206
120.0,43467.0,400000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531116623.0,1,0.2,0.036410583793393826,0.02753271807253445
124.0,44793.0,410000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531118649.0,1,0.2,0.036267295635902634,0.027745756549689686
127.0,46041.0,420000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531120418.0,1,0.2,0.036318331248773504,0.027949865471096645
130.0,47100.0,430000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531122132.0,1,0.2,0.03614858789288505,0.028140533434394096
131.0,48120.0,440000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531123856.0,1,0.2,0.03593148406234696,0.02831760049412017
132.0,48788.0,450000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531125068.0,1,0.2,0.03544322053270655,0.02847594760608863
133.0,49568.0,460000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531126436.0,1,0.2,0.035552063040398096,0.028629776202486454
135.0,50510.0,470000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531128328.0,1,0.2,0.035542123160532825,0.02877684741435972
137.0,50961.0,480000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531129175.0,1,0.2,0.035288651608183536,0.028912510001731256
138.0,51396.0,490000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531130018.0,1,0.2,0.03555243799671605,0.029048018736322852
140.0,51808.0,500000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531130800.0,1,0.2,0.03546349636447468,0.029176328288886014
143.0,52336.0,510000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531131712.0,1,0.2,0.036035171341542376,0.029310815407565582
149.0,53370.0,520000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531133341.0,1,0.2,0.03699022223445868,0.029458496308082657
151.0,54242.0,530000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531134827.0,1,0.2,0.03648512000829733,0.029591074113747028
152.0,54948.0,540000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531136175.0,1,0.2,0.036402213659446334,0.029717206327556287
154.0,55730.0,550000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531137754.0,1,0.2,0.036215695065927,0.029835360668253798
156.0,56592.0,560000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531139459.0,1,0.2,0.03654787613597423,0.02995522701589186
158.0,57427.0,570000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531141094.0,1,0.2,0.03560468412188273,0.03005434029845262
164.0,58193.0,580000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531142751.0,1,0.2,0.03640321182936496,0.030163803600709534
168.0,58944.0,590000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531144525.0,1,0.2,0.0369138768080837,0.030278211621173553
178.0,59794.0,600000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531146406.0,1,0.2,0.03649445591697766,0.030381815692770292
189.0,60846.0,610000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531148524.0,1,0.2,0.0374226042631097,0.030497238456218222
198.0,62019.0,620000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531150653.0,1,0.2,0.037578941211306026,0.03061145946839705
209.0,63339.0,630000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531152831.0,1,0.2,0.03723962002888414,0.030716668366182157
214.0,64911.0,640000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531154931.0,1,0.2,0.037306588220426415,0.030819635863904817
223.0,66649.0,650000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531156919.0,1,0.2,0.03778210063961792,0.030926750706608
231.0,68664.0,660000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531158796.0,1,0.2,0.03760596735782356,0.031027950958899198
241.0,71006.0,670000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531160992.0,1,0.2,0.038245086982000534,0.031135669407005122
253.0,73299.0,680000,GP_Clustered_Matern_H_12_nu_2.5,0.2,1531162911.0,1,0.2,0.03827430468789982,0.03124064933760626
