Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks,ClusterCount,LengthScale,Nu,Kernel
6.0,338.0,110000,GP_Clustered,1531044493.0,0.0368,3.69e+03,0.00016,13.1,12,0.2,0.2,1,0,10,100,1.5,Matern
14.0,1510.0,120000,GP_Clustered,1531046231.0,0.00588,4.78e+02,0.000636,51.8,12,0.2,0.2,1,0,10,100,1.5,Matern
22.0,2707.0,130000,GP_Clustered,1531048017.0,0.00497,3.67e+02,0.00097,76.0,12,0.2,0.2,1,0,10,100,1.5,Matern
34.0,3935.0,140000,GP_Clustered,1531049805.0,0.00597,4.89e+02,0.00133,1.06e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
45.0,5180.0,150000,GP_Clustered,1531051599.0,0.00588,4.78e+02,0.00163,1.3e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
53.0,6288.0,160000,GP_Clustered,1531053310.0,0.00533,4.11e+02,0.00186,1.48e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
59.0,7979.0,170000,GP_Clustered,1531054948.0,0.00518,3.89e+02,0.00206,1.62e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
65.0,9293.0,180000,GP_Clustered,1531056675.0,0.00525,4e+02,0.00223,1.75e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
73.0,10413.0,190000,GP_Clustered,1531058328.0,0.00506,3.78e+02,0.00238,1.86e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
84.0,11646.0,200000,GP_Clustered,1531059941.0,0.0057,4.55e+02,0.00255,1.99e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
90.0,12885.0,210000,GP_Clustered,1531061809.0,0.00507,3.78e+02,0.00267,2.08e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
103.0,14266.0,220000,GP_Clustered,1531063581.0,0.00616,5.11e+02,0.00283,2.22e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
115.0,15550.0,230000,GP_Clustered,1531065314.0,0.00561,4.44e+02,0.00295,2.31e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
123.0,16820.0,240000,GP_Clustered,1531067084.0,0.0057,4.55e+02,0.00306,2.41e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
149.0,18396.0,250000,GP_Clustered,1531068933.0,0.00771,7e+02,0.00325,2.59e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
170.0,19786.0,260000,GP_Clustered,1531070560.0,0.00679,5.89e+02,0.00338,2.72e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
184.0,21062.0,270000,GP_Clustered,1531071931.0,0.00634,5.33e+02,0.00349,2.81e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
202.0,22396.0,280000,GP_Clustered,1531073370.0,0.00725,6.44e+02,0.00363,2.94e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
214.0,23808.0,290000,GP_Clustered,1531074828.0,0.00552,4.33e+02,0.00369,2.99e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
228.0,25628.0,300000,GP_Clustered,1531076102.0,0.00663,5.67e+02,0.00379,3.08e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
245.0,27675.0,310000,GP_Clustered,1531077460.0,0.00601,4.89e+02,0.00386,3.14e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
258.0,29630.0,320000,GP_Clustered,1531078853.0,0.00701,6.11e+02,0.00396,3.23e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
274.0,31605.0,330000,GP_Clustered,1531080285.0,0.00618,5.11e+02,0.00403,3.29e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
292.0,33581.0,340000,GP_Clustered,1531081775.0,0.00591,4.78e+02,0.00408,3.33e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
305.0,35718.0,350000,GP_Clustered,1531083470.0,0.00547,4.22e+02,0.00412,3.36e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
328.0,37853.0,360000,GP_Clustered,1531085548.0,0.00829,7.66e+02,0.00424,3.48e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
342.0,39795.0,370000,GP_Clustered,1531091700.0,0.00733,6.44e+02,0.00432,3.56e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
351.0,42991.0,380000,GP_Clustered,1531109678.0,0.00555,4.11e+02,0.00435,3.57e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
359.0,45589.0,390000,GP_Clustered,1531114011.0,0.00416,2.44e+02,0.00435,3.54e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
367.0,47300.0,400000,GP_Clustered,1531116623.0,0.00448,2.89e+02,0.00435,3.53e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
372.0,48629.0,410000,GP_Clustered,1531118649.0,0.00437,2.78e+02,0.00435,3.51e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
377.0,49862.0,420000,GP_Clustered,1531120418.0,0.00446,2.89e+02,0.00436,3.49e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
383.0,50908.0,430000,GP_Clustered,1531122132.0,0.00427,2.67e+02,0.00435,3.47e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
384.0,51927.0,440000,GP_Clustered,1531123856.0,0.00399,2.33e+02,0.00435,3.45e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
384.0,52624.0,450000,GP_Clustered,1531125068.0,0.00316,1.33e+02,0.00432,3.4e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
387.0,53448.0,460000,GP_Clustered,1531126436.0,0.00334,1.56e+02,0.0043,3.36e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
389.0,54391.0,470000,GP_Clustered,1531128328.0,0.00344,1.67e+02,0.00428,3.33e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
391.0,54826.0,480000,GP_Clustered,1531129175.0,0.00287,1e+02,0.00425,3.28e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
391.0,55267.0,490000,GP_Clustered,1531130018.0,0.00324,1.44e+02,0.00423,3.24e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
394.0,55750.0,500000,GP_Clustered,1531130800.0,0.00296,1.11e+02,0.0042,3.2e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
397.0,56349.0,510000,GP_Clustered,1531131712.0,0.00369,2e+02,0.00419,3.17e+02,12,0.2,0.2,1,0,10,100,1.5,Matern
