Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
3.0,322.0,110000,GP_Clustered_RBF_H_12,0.2,1531044493.0,1,0.2,0.04585775598472178,0.000978583474926345
5.0,1487.0,120000,GP_Clustered_RBF_H_12,0.2,1531046231.0,1,0.2,0.03661370610155625,0.0039481770271454905
7.0,2631.0,130000,GP_Clustered_RBF_H_12,0.2,1531048017.0,1,0.2,0.03597199465835147,0.006411547614161311
10.0,3682.0,140000,GP_Clustered_RBF_H_12,0.2,1531049805.0,1,0.2,0.03666398820163594,0.008572436227552266
16.0,4768.0,150000,GP_Clustered_RBF_H_12,0.2,1531051599.0,1,0.2,0.03659576389261656,0.010440658071889854
18.0,5883.0,160000,GP_Clustered_RBF_H_12,0.2,1531053310.0,1,0.2,0.03620881759345268,0.012051168041987508
20.0,7592.0,170000,GP_Clustered_RBF_H_12,0.2,1531054948.0,1,0.2,0.03613993859121209,0.013468154544883041
23.0,8939.0,180000,GP_Clustered_RBF_H_12,0.2,1531056675.0,1,0.2,0.03614404398280592,0.014727926180323198
27.0,10146.0,190000,GP_Clustered_RBF_H_12,0.2,1531058328.0,1,0.2,0.03600176953868732,0.015847602146552685
30.0,11366.0,200000,GP_Clustered_RBF_H_12,0.2,1531059941.0,1,0.2,0.03646513892170722,0.016878478985310523
32.0,12497.0,210000,GP_Clustered_RBF_H_12,0.2,1531061809.0,1,0.2,0.03601788674838967,0.017789879354980973
35.0,13773.0,220000,GP_Clustered_RBF_H_12,0.2,1531063581.0,1,0.2,0.036775966404589265,0.018652883311781315
40.0,15040.0,230000,GP_Clustered_RBF_H_12,0.2,1531065314.0,1,0.2,0.03640496596680571,0.0194247129924343
43.0,16186.0,240000,GP_Clustered_RBF_H_12,0.2,1531067084.0,1,0.2,0.036466848930185446,0.020134801989840644
50.0,17417.0,250000,GP_Clustered_RBF_H_12,0.2,1531068933.0,1,0.2,0.03787381592652962,0.020844362547308294
55.0,18491.0,260000,GP_Clustered_RBF_H_12,0.2,1531070560.0,1,0.2,0.03722174515929639,0.021474261878538948
59.0,19598.0,270000,GP_Clustered_RBF_H_12,0.2,1531071931.0,1,0.2,0.03691742033309938,0.022046230710189622
63.0,20694.0,280000,GP_Clustered_RBF_H_12,0.2,1531073370.0,1,0.2,0.037546496779846485,0.02259981164124867
67.0,22038.0,290000,GP_Clustered_RBF_H_12,0.2,1531074828.0,1,0.2,0.03636037623348925,0.023074313868567394
72.0,23836.0,300000,GP_Clustered_RBF_H_12,0.2,1531076102.0,1,0.2,0.03716373045050555,0.02354396108796552
78.0,25708.0,310000,GP_Clustered_RBF_H_12,0.2,1531077460.0,1,0.2,0.0367299172958595,0.02396931451402626
83.0,27482.0,320000,GP_Clustered_RBF_H_12,0.2,1531078853.0,1,0.2,0.037421063723981574,0.024389681676837263
87.0,29166.0,330000,GP_Clustered_RBF_H_12,0.2,1531080285.0,1,0.2,0.036848781171496425,0.02476723014637229
93.0,30897.0,340000,GP_Clustered_RBF_H_12,0.2,1531081775.0,1,0.2,0.036663260996240905,0.025117113406662527
96.0,32613.0,350000,GP_Clustered_RBF_H_12,0.2,1531083470.0,1,0.2,0.03635693961518205,0.025438251298334356
100.0,34248.0,360000,GP_Clustered_RBF_H_12,0.2,1531085548.0,1,0.2,0.03830335278763814,0.02579561522859242
106.0,35826.0,370000,GP_Clustered_RBF_H_12,0.2,1531091700.0,1,0.2,0.037601169244295116,0.026114684256043675
113.0,38977.0,380000,GP_Clustered_RBF_H_12,0.2,1531109678.0,1,0.2,0.036444641656110804,0.02638652524025626
121.0,41510.0,390000,GP_Clustered_RBF_H_12,0.2,1531114011.0,1,0.2,0.03542610622049615,0.026618309367954802
127.0,43176.0,400000,GP_Clustered_RBF_H_12,0.2,1531116623.0,1,0.2,0.0355580063177822,0.026841801791700273
133.0,44459.0,410000,GP_Clustered_RBF_H_12,0.2,1531118649.0,1,0.2,0.0354352125546588,0.02705139717616238
137.0,45644.0,420000,GP_Clustered_RBF_H_12,0.2,1531120418.0,1,0.2,0.035486927156101446,0.02725224312806563
141.0,46647.0,430000,GP_Clustered_RBF_H_12,0.2,1531122132.0,1,0.2,0.035329151945256744,0.02744007821683761
142.0,47589.0,440000,GP_Clustered_RBF_H_12,0.2,1531123856.0,1,0.2,0.03512109503393606,0.027614646780862437
143.0,48226.0,450000,GP_Clustered_RBF_H_12,0.2,1531125068.0,1,0.2,0.03457417873523649,0.02776930304651544
144.0,48968.0,460000,GP_Clustered_RBF_H_12,0.2,1531126436.0,1,0.2,0.03469770316894387,0.0279199204404814
146.0,49848.0,470000,GP_Clustered_RBF_H_12,0.2,1531128328.0,1,0.2,0.03473623481744788,0.02806494840594875
146.0,50233.0,480000,GP_Clustered_RBF_H_12,0.2,1531129175.0,1,0.2,0.03438923621424727,0.02819670440195458
147.0,50624.0,490000,GP_Clustered_RBF_H_12,0.2,1531130018.0,1,0.2,0.034648350069590356,0.028328370640069562
150.0,51033.0,500000,GP_Clustered_RBF_H_12,0.2,1531130800.0,1,0.2,0.034739495100329254,0.02845659312927503
153.0,51558.0,510000,GP_Clustered_RBF_H_12,0.2,1531131712.0,1,0.2,0.035485271094763744,0.028594410344284504
159.0,52553.0,520000,GP_Clustered_RBF_H_12,0.2,1531133341.0,1,0.2,0.03646377554943002,0.028745744290537428
161.0,53390.0,530000,GP_Clustered_RBF_H_12,0.2,1531134827.0,1,0.2,0.03595084262741156,0.028881689542176615
162.0,54096.0,540000,GP_Clustered_RBF_H_12,0.2,1531136175.0,1,0.2,0.035868988147749255,0.029011083960798243
164.0,54838.0,550000,GP_Clustered_RBF_H_12,0.2,1531137754.0,1,0.2,0.035685362101118875,0.029132434472440467
166.0,55687.0,560000,GP_Clustered_RBF_H_12,0.2,1531139459.0,1,0.2,0.036015730934130984,0.029255350480685175
168.0,56500.0,570000,GP_Clustered_RBF_H_12,0.2,1531141094.0,1,0.2,0.035068745433474956,0.02935733986582206
174.0,57256.0,580000,GP_Clustered_RBF_H_12,0.2,1531142751.0,1,0.2,0.035875686469378804,0.029469725152089933
178.0,57978.0,590000,GP_Clustered_RBF_H_12,0.2,1531144525.0,1,0.2,0.03638493193923268,0.029586932046787473
188.0,58818.0,600000,GP_Clustered_RBF_H_12,0.2,1531146406.0,1,0.2,0.03596124963870394,0.029693170673319256
199.0,59837.0,610000,GP_Clustered_RBF_H_12,0.2,1531148524.0,1,0.2,0.03688100974729495,0.029811004100761575
207.0,60980.0,620000,GP_Clustered_RBF_H_12,0.2,1531150653.0,1,0.2,0.037033126906280966,0.029927489952463124
220.0,62313.0,630000,GP_Clustered_RBF_H_12,0.2,1531152831.0,1,0.2,0.036686002148528934,0.030034767923829437
225.0,63845.0,640000,GP_Clustered_RBF_H_12,0.2,1531154931.0,1,0.2,0.03673535678740407,0.030139464624822806
234.0,65534.0,650000,GP_Clustered_RBF_H_12,0.2,1531156919.0,1,0.2,0.037203182709118154,0.030248137210735552
242.0,67539.0,660000,GP_Clustered_RBF_H_12,0.2,1531158796.0,1,0.2,0.03700917947032836,0.030350577244972077
252.0,69858.0,670000,GP_Clustered_RBF_H_12,0.2,1531160992.0,1,0.2,0.03763279322553525,0.030459267035726715
263.0,72096.0,680000,GP_Clustered_RBF_H_12,0.2,1531162911.0,1,0.2,0.03767024372807874,0.03056531081061422
272.0,74408.0,690000,GP_Clustered_RBF_H_12,0.2,1531164809.0,1,0.2,0.03716675530579768,0.03066098391924019
281.0,76936.0,700000,GP_Clustered_RBF_H_12,0.2,1531166846.0,1,0.2,0.038396010170683705,0.030771484294260725
295.0,79384.0,710000,GP_Clustered_RBF_H_12,0.2,1531168918.0,1,0.2,0.038011987527228244,0.030873463213035038
312.0,81977.0,720000,GP_Clustered_RBF_H_12,0.2,1531171813.0,1,0.2,0.038344416103553075,0.030977226447625364
328.0,84244.0,730000,GP_Clustered_RBF_H_12,0.2,1531185503.0,1,0.2,0.03917150068229186,0.0310894767796072
331.0,86903.0,740000,GP_Clustered_RBF_H_12,0.2,1531196969.0,1,0.2,0.038054216786579505,0.031183594887809866
