Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
2.0,28.0,110000,LinUCB_Disjoint,1531044493.0,0.0364,3.69e+03,0.000118,13.1,12,0.02,0.02,0.1,0.0
6.0,122.0,120000,LinUCB_Disjoint,1531046231.0,0.00426,4.78e+02,0.000463,51.8,12,0.02,0.02,0.1,0.0
8.0,241.0,130000,LinUCB_Disjoint,1531048017.0,0.00329,3.67e+02,0.00068,76.1,12,0.02,0.02,0.1,0.0
11.0,366.0,140000,LinUCB_Disjoint,1531049805.0,0.00438,4.89e+02,0.000944,1.06e+02,12,0.02,0.02,0.1,0.0
13.0,455.0,150000,LinUCB_Disjoint,1531051599.0,0.00428,4.78e+02,0.00117,1.3e+02,12,0.02,0.02,0.1,0.0
17.0,571.0,160000,LinUCB_Disjoint,1531053310.0,0.00368,4.11e+02,0.00132,1.48e+02,12,0.02,0.02,0.1,0.0
19.0,681.0,170000,LinUCB_Disjoint,1531054948.0,0.00349,3.89e+02,0.00145,1.62e+02,12,0.02,0.02,0.1,0.0
24.0,828.0,180000,LinUCB_Disjoint,1531056675.0,0.00358,4e+02,0.00157,1.75e+02,12,0.02,0.02,0.1,0.0
27.0,968.0,190000,LinUCB_Disjoint,1531058328.0,0.00339,3.78e+02,0.00167,1.86e+02,12,0.02,0.02,0.1,0.0
31.0,1084.0,200000,LinUCB_Disjoint,1531059941.0,0.00408,4.56e+02,0.00179,1.99e+02,12,0.02,0.02,0.1,0.0
34.0,1228.0,210000,LinUCB_Disjoint,1531061809.0,0.00339,3.78e+02,0.00186,2.08e+02,12,0.02,0.02,0.1,0.0
39.0,1385.0,220000,LinUCB_Disjoint,1531063581.0,0.00457,5.11e+02,0.00199,2.22e+02,12,0.02,0.02,0.1,0.0
42.0,1497.0,230000,LinUCB_Disjoint,1531065314.0,0.00397,4.44e+02,0.00207,2.31e+02,12,0.02,0.02,0.1,0.0
47.0,1624.0,240000,LinUCB_Disjoint,1531067084.0,0.00407,4.56e+02,0.00216,2.41e+02,12,0.02,0.02,0.1,0.0
52.0,1807.0,250000,LinUCB_Disjoint,1531068933.0,0.00624,7e+02,0.00232,2.59e+02,12,0.02,0.02,0.1,0.0
61.0,1996.0,260000,LinUCB_Disjoint,1531070560.0,0.00525,5.89e+02,0.00243,2.72e+02,12,0.02,0.02,0.1,0.0
65.0,2133.0,270000,LinUCB_Disjoint,1531071931.0,0.00476,5.33e+02,0.00252,2.81e+02,12,0.02,0.02,0.1,0.0
71.0,2317.0,280000,LinUCB_Disjoint,1531073370.0,0.00574,6.44e+02,0.00263,2.94e+02,12,0.02,0.02,0.1,0.0
77.0,2452.0,290000,LinUCB_Disjoint,1531074828.0,0.00387,4.33e+02,0.00268,2.99e+02,12,0.02,0.02,0.1,0.0
82.0,2601.0,300000,LinUCB_Disjoint,1531076102.0,0.00505,5.67e+02,0.00275,3.08e+02,12,0.02,0.02,0.1,0.0
87.0,2762.0,310000,LinUCB_Disjoint,1531077460.0,0.00437,4.89e+02,0.00281,3.14e+02,12,0.02,0.02,0.1,0.0
92.0,2968.0,320000,LinUCB_Disjoint,1531078853.0,0.00545,6.11e+02,0.00289,3.23e+02,12,0.02,0.02,0.1,0.0
95.0,3161.0,330000,LinUCB_Disjoint,1531080285.0,0.00457,5.11e+02,0.00294,3.29e+02,12,0.02,0.02,0.1,0.0
100.0,3328.0,340000,LinUCB_Disjoint,1531081775.0,0.00427,4.78e+02,0.00298,3.33e+02,12,0.02,0.02,0.1,0.0
104.0,3522.0,350000,LinUCB_Disjoint,1531083470.0,0.00377,4.22e+02,0.003,3.36e+02,12,0.02,0.02,0.1,0.0
111.0,3730.0,360000,LinUCB_Disjoint,1531085548.0,0.00684,7.67e+02,0.00311,3.48e+02,12,0.02,0.02,0.1,0.0
117.0,3884.0,370000,LinUCB_Disjoint,1531091700.0,0.00575,6.44e+02,0.00318,3.56e+02,12,0.02,0.02,0.1,0.0
120.0,4046.0,380000,LinUCB_Disjoint,1531109678.0,0.00369,4.11e+02,0.00319,3.57e+02,12,0.02,0.02,0.1,0.0
123.0,4173.0,390000,LinUCB_Disjoint,1531114011.0,0.0022,2.44e+02,0.00317,3.54e+02,12,0.02,0.02,0.1,0.0
127.0,4254.0,400000,LinUCB_Disjoint,1531116623.0,0.00259,2.89e+02,0.00315,3.53e+02,12,0.02,0.02,0.1,0.0
128.0,4323.0,410000,LinUCB_Disjoint,1531118649.0,0.0025,2.78e+02,0.00314,3.51e+02,12,0.02,0.02,0.1,0.0
129.0,4397.0,420000,LinUCB_Disjoint,1531120418.0,0.0026,2.89e+02,0.00312,3.49e+02,12,0.02,0.02,0.1,0.0
131.0,4453.0,430000,LinUCB_Disjoint,1531122132.0,0.0024,2.67e+02,0.00311,3.48e+02,12,0.02,0.02,0.1,0.0
132.0,4503.0,440000,LinUCB_Disjoint,1531123856.0,0.00211,2.33e+02,0.00309,3.45e+02,12,0.02,0.02,0.1,0.0
132.0,4553.0,450000,LinUCB_Disjoint,1531125068.0,0.00122,1.33e+02,0.00304,3.4e+02,12,0.02,0.02,0.1,0.0
134.0,4611.0,460000,LinUCB_Disjoint,1531126436.0,0.00141,1.56e+02,0.00301,3.36e+02,12,0.02,0.02,0.1,0.0
134.0,4661.0,470000,LinUCB_Disjoint,1531128328.0,0.00152,1.67e+02,0.00298,3.33e+02,12,0.02,0.02,0.1,0.0
134.0,4679.0,480000,LinUCB_Disjoint,1531129175.0,0.000914,1e+02,0.00293,3.28e+02,12,0.02,0.02,0.1,0.0
134.0,4706.0,490000,LinUCB_Disjoint,1531130018.0,0.00131,1.44e+02,0.0029,3.24e+02,12,0.02,0.02,0.1,0.0
136.0,4746.0,500000,LinUCB_Disjoint,1531130800.0,0.00101,1.11e+02,0.00286,3.2e+02,12,0.02,0.02,0.1,0.0
139.0,4790.0,510000,LinUCB_Disjoint,1531131712.0,0.0018,2e+02,0.00284,3.17e+02,12,0.02,0.02,0.1,0.0
141.0,4859.0,520000,LinUCB_Disjoint,1531133341.0,0.00328,3.67e+02,0.00285,3.18e+02,12,0.02,0.02,0.1,0.0
141.0,4927.0,530000,LinUCB_Disjoint,1531134827.0,0.00251,2.78e+02,0.00284,3.18e+02,12,0.02,0.02,0.1,0.0
142.0,4971.0,540000,LinUCB_Disjoint,1531136175.0,0.00241,2.67e+02,0.00284,3.17e+02,12,0.02,0.02,0.1,0.0
144.0,5024.0,550000,LinUCB_Disjoint,1531137754.0,0.0021,2.33e+02,0.00282,3.15e+02,12,0.02,0.02,0.1,0.0
148.0,5123.0,560000,LinUCB_Disjoint,1531139459.0,0.00259,2.89e+02,0.00282,3.15e+02,12,0.02,0.02,0.1,0.0
150.0,5210.0,570000,LinUCB_Disjoint,1531141094.0,0.00112,1.22e+02,0.00279,3.11e+02,12,0.02,0.02,0.1,0.0
153.0,5279.0,580000,LinUCB_Disjoint,1531142751.0,0.00239,2.67e+02,0.00278,3.11e+02,12,0.02,0.02,0.1,0.0
157.0,5354.0,590000,LinUCB_Disjoint,1531144525.0,0.00318,3.56e+02,0.00279,3.11e+02,12,0.02,0.02,0.1,0.0
