Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks,LearningRate,HiddenLayers
0,511,110000,NN,1531044493000,0.0,0.0,0.131,1.17e+04,0.00443,nan,0.0,0.0,1.0,nan,0.0,15.7,-14.7,12,0.2,0.2,0.0,0.5,0.01,10
7,2170,120000,NN,1531046231000,0.00323,0.00323,0.13,1.16e+04,0.00379,inf,0.125,0.0,0.875,1.0,0.125,15.9,-14.9,12,0.2,0.2,0.0,0.5,0.01,10
14,3861,130000,NN,1531048017000,0.00363,0.00363,0.13,1.16e+04,0.00327,inf,0.157,0.0,0.843,1.0,0.157,17.4,-16.4,12,0.2,0.2,0.0,0.5,0.01,10
20,5557,140000,NN,1531049805000,0.0036,0.0036,0.13,1.16e+04,0.00343,inf,0.15,0.0,0.85,1.0,0.15,16.8,-15.8,12,0.2,0.2,0.0,0.5,0.01,10
27,7243,150000,NN,1531051599000,0.00373,0.00373,0.13,1.16e+04,0.00347,inf,0.153,0.0,0.847,1.0,0.153,16.6,-15.6,12,0.2,0.2,0.0,0.5,0.01,10
34,9007,160000,NN,1531053310000,0.00377,0.00377,0.13,1.16e+04,0.00338,inf,0.16,0.0,0.84,1.0,0.16,16.9,-15.9,12,0.2,0.2,0.0,0.5,0.01,10
43,10714,170000,NN,1531054948000,0.00401,0.00401,0.13,1.16e+04,0.00326,inf,0.173,0.0,0.827,1.0,0.173,17.2,-16.2,12,0.2,0.2,0.0,0.5,0.01,10
47,12445,180000,NN,1531056675000,0.00378,0.00378,0.13,1.16e+04,0.00325,inf,0.165,0.0,0.835,1.0,0.165,17.4,-16.4,12,0.2,0.2,0.0,0.5,0.01,10
54,14194,190000,NN,1531058328000,0.0038,0.0038,0.13,1.16e+04,0.00318,inf,0.17,0.0,0.83,1.0,0.17,17.6,-16.6,12,0.2,0.2,0.0,0.5,0.01,10
64,15942,200000,NN,1531059941000,0.00401,0.00401,0.13,1.16e+04,0.00317,inf,0.178,0.0,0.822,1.0,0.178,17.5,-16.5,12,0.2,0.2,0.0,0.5,0.01,10
68,17670,210000,NN,1531061809000,0.00385,0.00385,0.13,1.16e+04,0.00316,inf,0.173,0.0,0.827,1.0,0.173,17.7,-16.7,12,0.2,0.2,0.0,0.5,0.01,10
77,19355,220000,NN,1531063581000,0.00398,0.00398,0.13,1.16e+04,0.00321,inf,0.175,0.0,0.825,1.0,0.175,17.4,-16.4,12,0.2,0.2,0.0,0.5,0.01,10
85,21070,230000,NN,1531065314000,0.00403,0.00403,0.13,1.16e+04,0.0032,inf,0.177,0.0,0.823,1.0,0.177,17.4,-16.4,12,0.2,0.2,0.0,0.5,0.01,10
91,22781,240000,NN,1531067084000,0.00399,0.00399,0.13,1.16e+04,0.00323,inf,0.175,0.0,0.825,1.0,0.175,17.3,-16.3,12,0.2,0.2,0.0,0.5,0.01,10
99,24464,250000,NN,1531068933000,0.00405,0.00405,0.13,1.16e+04,0.00339,inf,0.17,0.0,0.83,1.0,0.17,16.7,-15.7,12,0.2,0.2,0.0,0.5,0.01,10
109,26088,260000,NN,1531070560000,0.00418,0.00418,0.13,1.16e+04,0.00345,inf,0.171,0.0,0.829,1.0,0.171,16.4,-15.4,12,0.2,0.2,0.0,0.5,0.01,10
114,27805,270000,NN,1531071931000,0.0041,0.0041,0.13,1.16e+04,0.0035,inf,0.167,0.0,0.833,1.0,0.167,16.3,-15.3,12,0.2,0.2,0.0,0.5,0.01,10
126,29587,280000,NN,1531073370000,0.00426,0.00426,0.13,1.16e+04,0.00356,inf,0.17,0.0,0.83,1.0,0.17,16.0,-15.0,12,0.2,0.2,0.0,0.5,0.01,10
131,31359,290000,NN,1531074828000,0.00418,0.00418,0.13,1.16e+04,0.00355,inf,0.168,0.0,0.832,1.0,0.168,16.1,-15.1,12,0.2,0.2,0.0,0.5,0.01,10
139,33044,300000,NN,1531076102000,0.00421,0.00421,0.13,1.16e+04,0.00359,inf,0.167,0.0,0.833,1.0,0.167,16.0,-15.0,12,0.2,0.2,0.0,0.5,0.01,10
145,34802,310000,NN,1531077460000,0.00417,0.00417,0.13,1.16e+04,0.0036,inf,0.166,0.0,0.834,1.0,0.166,15.9,-14.9,12,0.2,0.2,0.0,0.5,0.01,10
155,36491,320000,NN,1531078853000,0.00425,0.00425,0.13,1.16e+04,0.00364,inf,0.166,0.0,0.834,1.0,0.166,15.8,-14.8,12,0.2,0.2,0.0,0.5,0.01,10
158,38073,330000,NN,1531080285000,0.00415,0.00415,0.13,1.16e+04,0.00367,inf,0.162,0.0,0.838,1.0,0.162,15.7,-14.7,12,0.2,0.2,0.0,0.5,0.01,10
164,39610,340000,NN,1531081775000,0.00414,0.00414,0.13,1.16e+04,0.00367,inf,0.161,0.0,0.839,1.0,0.161,15.7,-14.7,12,0.2,0.2,0.0,0.5,0.01,10
168,41161,350000,NN,1531083470000,0.00408,0.00408,0.13,1.16e+04,0.00366,inf,0.159,0.0,0.841,1.0,0.159,15.8,-14.8,12,0.2,0.2,0.0,0.5,0.01,10
174,42680,360000,NN,1531085548000,0.00408,0.00408,0.13,1.16e+04,0.00377,inf,0.154,0.0,0.846,1.0,0.154,15.5,-14.5,12,0.2,0.2,0.0,0.5,0.01,10
181,44216,370000,NN,1531091700000,0.00271,0.00409,0.13,1.16e+04,0.00382,inf,0.153,0.0,0.847,1.0,0.153,15.4,-14.4,12,0.2,0.2,0.0,0.5,0.01,10
189,46217,380000,NN,1531109678000,0.00365,0.00409,0.131,1.16e+04,0.00378,inf,0.155,0.0,0.845,1.0,0.155,15.5,-14.5,12,0.2,0.2,0.0,0.5,0.01,10
193,48559,390000,NN,1531114011000,0.00276,0.00397,0.131,1.17e+04,0.00371,inf,0.155,0.0,0.845,1.0,0.155,15.8,-14.8,12,0.2,0.2,0.0,0.5,0.01,10
197,51201,400000,NN,1531116623000,0.00233,0.00385,0.132,1.17e+04,0.00366,inf,0.155,0.0,0.845,1.0,0.155,16.0,-15.0,12,0.2,0.2,0.0,0.5,0.01,10
199,54059,410000,NN,1531118649000,0.00189,0.00368,0.132,1.18e+04,0.00362,inf,0.154,0.0,0.846,1.0,0.154,16.2,-15.2,12,0.2,0.2,0.0,0.5,0.01,10
202,57160,420000,NN,1531120418000,0.00168,0.00353,0.133,1.18e+04,0.00358,inf,0.153,0.0,0.847,1.0,0.153,16.4,-15.4,12,0.2,0.2,0.0,0.5,0.01,10
207,60446,430000,NN,1531122132000,0.00165,0.00342,0.133,1.19e+04,0.00352,inf,0.154,0.0,0.846,1.0,0.154,16.7,-15.7,12,0.2,0.2,0.0,0.5,0.01,10
209,63594,440000,NN,1531123856000,0.00149,0.00329,0.134,1.19e+04,0.00348,inf,0.153,0.0,0.847,1.0,0.153,16.9,-15.9,12,0.2,0.2,0.0,0.5,0.01,10
213,65990,450000,NN,1531125068000,0.00151,0.00323,0.134,1.19e+04,0.0034,inf,0.155,0.0,0.845,1.0,0.155,17.2,-16.2,12,0.2,0.2,0.0,0.5,0.01,10
214,68519,460000,NN,1531126436000,0.0014,0.00312,0.134,1.2e+04,0.00334,inf,0.154,0.0,0.846,1.0,0.154,17.5,-16.5,12,0.2,0.2,0.0,0.5,0.01,10
220,71466,470000,NN,1531128328000,0.00146,0.00308,0.135,1.2e+04,0.00327,inf,0.156,0.0,0.844,1.0,0.156,17.8,-16.8,12,0.2,0.2,0.0,0.5,0.01,10
220,73432,480000,NN,1531129175000,0.00137,0.003,0.135,1.2e+04,0.00321,inf,0.155,0.0,0.845,1.0,0.155,18.2,-17.2,12,0.2,0.2,0.0,0.5,0.01,10
221,75300,490000,NN,1531130018000,0.00132,0.00293,0.135,1.2e+04,0.00315,inf,0.155,0.0,0.845,1.0,0.155,18.5,-17.5,12,0.2,0.2,0.0,0.5,0.01,10
