Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,LocalCTR,Calibration,NE,RIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
3.0,396.0,110000,Regression,1531044493000,0.0277,2.18e+03,2.58e-05,2.45,0.00759,2.21,1.5,-0.496,12,0.2,0.2,0.1,0.0
21.0,1745.0,120000,Regression,1531046231000,0.00135,1.62e+02,0.000136,15.7,0.012,3.5,1.72,-0.721,12,0.2,0.2,0.1,0.0
41.0,3130.0,130000,Regression,1531048017000,0.00157,1.8e+02,0.000247,28.3,0.0131,3.81,2.17,-1.17,12,0.2,0.2,0.1,0.0
78.0,4419.0,140000,Regression,1531049805000,0.00232,3.32e+02,0.000395,50.0,0.0177,5.14,2.68,-1.68,12,0.2,0.2,0.1,0.0
106.0,5771.0,150000,Regression,1531051599000,0.00189,2.52e+02,0.000494,63.5,0.0184,5.34,2.76,-1.76,12,0.2,0.2,0.1,0.0
133.0,7003.0,160000,Regression,1531053310000,0.00189,2.43e+02,0.000582,74.7,0.019,5.52,2.69,-1.69,12,0.2,0.2,0.1,0.0
155.0,8413.0,170000,Regression,1531054948000,0.00154,1.98e+02,0.000638,81.9,0.0184,5.36,2.62,-1.62,12,0.2,0.2,0.1,0.0
179.0,9867.0,180000,Regression,1531056675000,0.00173,2.16e+02,0.000699,89.3,0.0181,5.28,2.53,-1.53,12,0.2,0.2,0.1,0.0
210.0,11274.0,190000,Regression,1531058328000,0.00212,2.78e+02,0.000774,99.3,0.0186,5.42,2.66,-1.66,12,0.2,0.2,0.1,0.0
241.0,12655.0,200000,Regression,1531059941000,0.0021,2.78e+02,0.00084,1.08e+02,0.019,5.54,2.63,-1.63,12,0.2,0.2,0.1,0.0
272.0,14066.0,210000,Regression,1531061809000,0.00217,2.78e+02,0.000904,1.16e+02,0.0193,5.63,2.58,-1.58,12,0.2,0.2,0.1,0.0
316.0,15449.0,220000,Regression,1531063581000,0.00283,3.95e+02,0.000991,1.29e+02,0.0205,5.95,2.67,-1.67,12,0.2,0.2,0.1,0.0
347.0,16760.0,230000,Regression,1531065314000,0.00206,2.78e+02,0.00104,1.36e+02,0.0207,6.02,2.73,-1.73,12,0.2,0.2,0.1,0.0
380.0,18061.0,240000,Regression,1531067084000,0.00223,2.96e+02,0.00109,1.42e+02,0.021,6.12,2.83,-1.83,12,0.2,0.2,0.1,0.0
492.0,19629.0,250000,Regression,1531068933000,0.00682,1.01e+03,0.00132,1.77e+02,0.0251,7.29,3.25,-2.25,12,0.2,0.2,0.1,0.0
566.0,21017.0,260000,Regression,1531070560000,0.00467,6.65e+02,0.00145,1.96e+02,0.0269,7.83,3.42,-2.42,12,0.2,0.2,0.1,0.0
632.0,22391.0,270000,Regression,1531071931000,0.00402,5.93e+02,0.00154,2.1e+02,0.0282,8.21,3.55,-2.55,12,0.2,0.2,0.1,0.0
698.0,23935.0,280000,Regression,1531073370000,0.00414,5.93e+02,0.00163,2.24e+02,0.0292,8.48,3.7,-2.7,12,0.2,0.2,0.1,0.0
744.0,25257.0,290000,Regression,1531074828000,0.00296,4.13e+02,0.00168,2.3e+02,0.0295,8.57,3.66,-2.66,12,0.2,0.2,0.1,0.0
793.0,26703.0,300000,Regression,1531076102000,0.00322,4.4e+02,0.00173,2.37e+02,0.0297,8.64,3.74,-2.74,12,0.2,0.2,0.1,0.0
843.0,28065.0,310000,Regression,1531077460000,0.00334,4.49e+02,0.00178,2.44e+02,0.03,8.74,3.77,-2.77,12,0.2,0.2,0.1,0.0
911.0,29522.0,320000,Regression,1531078853000,0.00428,6.11e+02,0.00186,2.56e+02,0.0309,8.98,3.82,-2.82,12,0.2,0.2,0.1,0.0
972.0,30928.0,330000,Regression,1531080285000,0.00389,5.48e+02,0.00192,2.65e+02,0.0314,9.14,3.88,-2.88,12,0.2,0.2,0.1,0.0
1039.0,32343.0,340000,Regression,1531081775000,0.00417,6.02e+02,0.00199,2.75e+02,0.0321,9.34,3.92,-2.92,12,0.2,0.2,0.1,0.0
1118.0,33801.0,350000,Regression,1531083470000,0.00475,7.1e+02,0.00207,2.87e+02,0.0331,9.62,4.0,-3.0,12,0.2,0.2,0.1,0.0
1202.0,35352.0,360000,Regression,1531085548000,0.00515,7.55e+02,0.00215,3e+02,0.034,9.89,4.11,-3.11,12,0.2,0.2,0.1,0.0
1265.0,36813.0,370000,Regression,1531091700000,0.00421,5.66e+02,0.00221,3.07e+02,0.0344,10.0,3.12,-2.12,12,0.2,0.2,0.1,0.0
