Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,LocalCTR,Calibration,NE,RIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
12.0,419.0,110000,TS_Lin,1531044493000,0.0326,2.64e+03,0.000132,12.3,0.0287,8.35,5.46,-4.46,12,0.2,0.2,0.1,0.0
30.0,1812.0,120000,TS_Lin,1531046231000,0.00223,1.98e+02,0.000306,27.7,0.0166,4.82,2.31,-1.31,12,0.2,0.2,0.1,0.0
50.0,3145.0,130000,TS_Lin,1531048017000,0.00223,1.98e+02,0.000454,40.8,0.0159,4.63,1.95,-0.952,12,0.2,0.2,0.1,0.0
77.0,4536.0,140000,TS_Lin,1531049805000,0.00286,2.61e+02,0.000626,56.6,0.017,4.94,2.12,-1.12,12,0.2,0.2,0.1,0.0
105.0,5942.0,150000,TS_Lin,1531051599000,0.00337,3.06e+02,0.000809,73.2,0.0177,5.14,2.34,-1.34,12,0.2,0.2,0.1,0.0
130.0,7282.0,160000,TS_Lin,1531053310000,0.0027,2.43e+02,0.000927,83.8,0.0179,5.19,2.45,-1.45,12,0.2,0.2,0.1,0.0
148.0,8526.0,170000,TS_Lin,1531054948000,0.00183,1.62e+02,0.00098,88.4,0.0174,5.05,2.34,-1.34,12,0.2,0.2,0.1,0.0
165.0,9985.0,180000,TS_Lin,1531056675000,0.00314,2.79e+02,0.0011,99.0,0.0165,4.81,2.2,-1.2,12,0.2,0.2,0.1,0.0
199.0,11347.0,190000,TS_Lin,1531058328000,0.00415,3.78e+02,0.00126,1.14e+02,0.0175,5.1,2.27,-1.27,12,0.2,0.2,0.1,0.0
227.0,12758.0,200000,TS_Lin,1531059941000,0.00294,2.7e+02,0.00134,1.21e+02,0.0178,5.18,2.3,-1.3,12,0.2,0.2,0.1,0.0
241.0,14023.0,210000,TS_Lin,1531061809000,0.00186,1.62e+02,0.00137,1.23e+02,0.0172,5.0,2.21,-1.21,12,0.2,0.2,0.1,0.0
265.0,15346.0,220000,TS_Lin,1531063581000,0.00312,2.79e+02,0.00145,1.3e+02,0.0173,5.02,2.26,-1.26,12,0.2,0.2,0.1,0.0
277.0,16638.0,230000,TS_Lin,1531065314000,0.00148,1.26e+02,0.00145,1.3e+02,0.0166,4.84,2.23,-1.23,12,0.2,0.2,0.1,0.0
311.0,17933.0,240000,TS_Lin,1531067084000,0.0037,3.42e+02,0.00154,1.39e+02,0.0173,5.04,2.33,-1.33,12,0.2,0.2,0.1,0.0
332.0,19208.0,250000,TS_Lin,1531068933000,0.00309,2.79e+02,0.00161,1.45e+02,0.0173,5.03,2.34,-1.34,12,0.2,0.2,0.1,0.0
354.0,20482.0,260000,TS_Lin,1531070560000,0.003,2.7e+02,0.00166,1.5e+02,0.0173,5.03,2.35,-1.35,12,0.2,0.2,0.1,0.0
383.0,21665.0,270000,TS_Lin,1531071931000,0.00333,3.06e+02,0.00172,1.55e+02,0.0177,5.14,2.42,-1.42,12,0.2,0.2,0.1,0.0
406.0,22906.0,280000,TS_Lin,1531073370000,0.0027,2.43e+02,0.00176,1.58e+02,0.0177,5.16,2.45,-1.45,12,0.2,0.2,0.1,0.0
426.0,24124.0,290000,TS_Lin,1531074828000,0.0027,2.43e+02,0.00179,1.61e+02,0.0177,5.14,2.45,-1.45,12,0.2,0.2,0.1,0.0
441.0,25316.0,300000,TS_Lin,1531076102000,0.00213,1.89e+02,0.0018,1.62e+02,0.0174,5.07,2.43,-1.43,12,0.2,0.2,0.1,0.0
463.0,26474.0,310000,TS_Lin,1531077460000,0.0029,2.61e+02,0.00184,1.65e+02,0.0175,5.09,2.44,-1.44,12,0.2,0.2,0.1,0.0
479.0,27673.0,320000,TS_Lin,1531078853000,0.00193,1.71e+02,0.00184,1.66e+02,0.0173,5.03,2.41,-1.41,12,0.2,0.2,0.1,0.0
499.0,28816.0,330000,TS_Lin,1531080285000,0.00252,2.25e+02,0.00186,1.67e+02,0.0173,5.04,2.41,-1.41,12,0.2,0.2,0.1,0.0
515.0,29986.0,340000,TS_Lin,1531081775000,0.00213,1.89e+02,0.00187,1.68e+02,0.0172,5.0,2.42,-1.42,12,0.2,0.2,0.1,0.0
535.0,31121.0,350000,TS_Lin,1531083470000,0.00241,2.16e+02,0.00188,1.69e+02,0.0172,5.0,2.43,-1.43,12,0.2,0.2,0.1,0.0
547.0,32363.0,360000,TS_Lin,1531085548000,0.00178,1.53e+02,0.00188,1.69e+02,0.0169,4.92,2.38,-1.38,12,0.2,0.2,0.1,0.0
571.0,33618.0,370000,TS_Lin,1531091700000,0.00262,2.34e+02,0.0019,1.71e+02,0.017,4.94,2.36,-1.36,12,0.2,0.2,0.1,0.0
588.0,34873.0,380000,TS_Lin,1531109678000,0.00201,1.71e+02,0.0019,1.71e+02,0.0169,4.9,2.32,-1.32,12,0.2,0.2,0.1,0.0
619.0,36683.0,390000,TS_Lin,1531114011000,0.00363,3.24e+02,0.00195,1.75e+02,0.0169,4.91,2.31,-1.31,12,0.2,0.2,0.1,0.0
653.0,38825.0,400000,TS_Lin,1531116623000,0.00346,3.15e+02,0.00198,1.78e+02,0.0168,4.89,2.31,-1.31,12,0.2,0.2,0.1,0.0
701.0,41129.0,410000,TS_Lin,1531118649000,0.00484,4.5e+02,0.00205,1.85e+02,0.017,4.96,2.32,-1.32,12,0.2,0.2,0.1,0.0
738.0,43434.0,420000,TS_Lin,1531120418000,0.00408,3.69e+02,0.0021,1.89e+02,0.017,4.94,2.3,-1.3,12,0.2,0.2,0.1,0.0
792.0,45656.0,430000,TS_Lin,1531122132000,0.0055,5.13e+02,0.00218,1.97e+02,0.0173,5.05,2.34,-1.34,12,0.2,0.2,0.1,0.0
830.0,47860.0,440000,TS_Lin,1531123856000,0.00395,3.6e+02,0.00222,2e+02,0.0173,5.04,2.32,-1.32,12,0.2,0.2,0.1,0.0
870.0,50136.0,450000,TS_Lin,1531125068000,0.0041,3.78e+02,0.00226,2.04e+02,0.0174,5.05,2.32,-1.32,12,0.2,0.2,0.1,0.0
912.0,52529.0,460000,TS_Lin,1531126436000,0.00451,4.14e+02,0.00231,2.09e+02,0.0174,5.05,2.34,-1.34,12,0.2,0.2,0.1,0.0
961.0,54931.0,470000,TS_Lin,1531128328000,0.00516,4.77e+02,0.00237,2.15e+02,0.0175,5.09,2.36,-1.36,12,0.2,0.2,0.1,0.0
1006.0,57375.0,480000,TS_Lin,1531129175000,0.00473,4.41e+02,0.00242,2.19e+02,0.0175,5.1,2.37,-1.37,12,0.2,0.2,0.1,0.0
1029.0,59690.0,490000,TS_Lin,1531130018000,0.00264,2.34e+02,0.00243,2.2e+02,0.0172,5.01,2.34,-1.34,12,0.2,0.2,0.1,0.0
1050.0,61576.0,500000,TS_Lin,1531130800000,0.00249,2.16e+02,0.00243,2.2e+02,0.0171,4.96,2.16,-1.16,12,0.2,0.2,0.1,0.0
1085.0,63176.0,510000,TS_Lin,1531131712000,0.00358,3.33e+02,0.00245,2.22e+02,0.0172,5.0,2.18,-1.18,12,0.2,0.2,0.1,0.0
1138.0,65296.0,520000,TS_Lin,1531133341000,0.00562,5.22e+02,0.00251,2.28e+02,0.0174,5.07,2.19,-1.19,12,0.2,0.2,0.1,0.0
1193.0,67216.0,530000,TS_Lin,1531134827000,0.00537,5.13e+02,0.00257,2.33e+02,0.0177,5.16,2.23,-1.23,12,0.2,0.2,0.1,0.0
1235.0,69043.0,540000,TS_Lin,1531136175000,0.00417,3.87e+02,0.00259,2.36e+02,0.0179,5.2,2.25,-1.25,12,0.2,0.2,0.1,0.0
1289.0,70961.0,550000,TS_Lin,1531137754000,0.00537,5.04e+02,0.00265,2.41e+02,0.0182,5.28,2.29,-1.29,12,0.2,0.2,0.1,0.0
1337.0,72813.0,560000,TS_Lin,1531139459000,0.0051,4.77e+02,0.00269,2.45e+02,0.0184,5.34,2.31,-1.31,12,0.2,0.2,0.1,0.0
1382.0,74750.0,570000,TS_Lin,1531141094000,0.00451,4.14e+02,0.00272,2.48e+02,0.0185,5.38,2.33,-1.33,12,0.2,0.2,0.1,0.0
1428.0,76664.0,580000,TS_Lin,1531142751000,0.00511,4.68e+02,0.00276,2.52e+02,0.0186,5.42,2.33,-1.33,12,0.2,0.2,0.1,0.0
1464.0,78469.0,590000,TS_Lin,1531144525000,0.00387,3.51e+02,0.00278,2.53e+02,0.0187,5.43,2.34,-1.34,12,0.2,0.2,0.1,0.0
1515.0,80228.0,600000,TS_Lin,1531146406000,0.00517,4.86e+02,0.00282,2.57e+02,0.0189,5.49,2.34,-1.34,12,0.2,0.2,0.1,0.0
1553.0,81856.0,610000,TS_Lin,1531148524000,0.00378,3.51e+02,0.00284,2.59e+02,0.019,5.52,2.35,-1.35,12,0.2,0.2,0.1,0.0
1588.0,83372.0,620000,TS_Lin,1531150653000,0.00343,3.15e+02,0.00285,2.6e+02,0.019,5.54,2.36,-1.36,12,0.2,0.2,0.1,0.0
1617.0,84830.0,630000,TS_Lin,1531152831000,0.00298,2.61e+02,0.00285,2.6e+02,0.0191,5.54,2.36,-1.36,12,0.2,0.2,0.1,0.0
1639.0,86197.0,640000,TS_Lin,1531154931000,0.00238,2.07e+02,0.00284,2.59e+02,0.019,5.53,2.36,-1.36,12,0.2,0.2,0.1,0.0
1664.0,87610.0,650000,TS_Lin,1531156919000,0.00256,2.25e+02,0.00284,2.58e+02,0.019,5.52,2.36,-1.36,12,0.2,0.2,0.1,0.0
1681.0,89024.0,660000,TS_Lin,1531158796000,0.00194,1.53e+02,0.00282,2.57e+02,0.0189,5.49,2.34,-1.34,12,0.2,0.2,0.1,0.0
1702.0,90533.0,670000,TS_Lin,1531160992000,0.00251,2.07e+02,0.00282,2.56e+02,0.0188,5.47,2.33,-1.33,12,0.2,0.2,0.1,0.0
1726.0,91852.0,680000,TS_Lin,1531162911000,0.00264,2.25e+02,0.00282,2.55e+02,0.0188,5.47,2.33,-1.33,12,0.2,0.2,0.1,0.0
1750.0,93278.0,690000,TS_Lin,1531164809000,0.00266,2.25e+02,0.00281,2.55e+02,0.0188,5.46,2.32,-1.32,12,0.2,0.2,0.1,0.0
1766.0,94639.0,700000,TS_Lin,1531166846000,0.00185,1.44e+02,0.0028,2.53e+02,0.0187,5.43,2.32,-1.32,12,0.2,0.2,0.1,0.0
1796.0,96026.0,710000,TS_Lin,1531168918000,0.00307,2.7e+02,0.0028,2.54e+02,0.0187,5.44,2.31,-1.31,12,0.2,0.2,0.1,0.0
1826.0,97445.0,720000,TS_Lin,1531171813000,0.0033,2.88e+02,0.00281,2.54e+02,0.0187,5.45,2.31,-1.31,12,0.2,0.2,0.1,0.0
1857.0,98985.0,730000,TS_Lin,1531185503000,0.00325,2.79e+02,0.00282,2.55e+02,0.0188,5.46,2.12,-1.12,12,0.2,0.2,0.1,0.0
1876.0,100448.0,740000,TS_Lin,1531196969000,0.00207,1.71e+02,0.00281,2.53e+02,0.0187,5.43,2.11,-1.11,12,0.2,0.2,0.1,0.0
1902.0,102251.0,750000,TS_Lin,1531200364000,0.00296,2.52e+02,0.00281,2.53e+02,0.0186,5.41,2.11,-1.11,12,0.2,0.2,0.1,0.0
1928.0,104167.0,760000,TS_Lin,1531202607000,0.00283,2.43e+02,0.00281,2.53e+02,0.0185,5.38,2.1,-1.1,12,0.2,0.2,0.1,0.0
1975.0,106195.0,770000,TS_Lin,1531204516000,0.00478,4.5e+02,0.00283,2.56e+02,0.0186,5.41,2.11,-1.11,12,0.2,0.2,0.1,0.0
2031.0,108017.0,780000,TS_Lin,1531206234000,0.0055,5.31e+02,0.00287,2.59e+02,0.0188,5.47,2.12,-1.12,12,0.2,0.2,0.1,0.0
2077.0,109906.0,790000,TS_Lin,1531207753000,0.0046,4.32e+02,0.00289,2.61e+02,0.0189,5.5,2.13,-1.13,12,0.2,0.2,0.1,0.0
2127.0,111800.0,800000,TS_Lin,1531209349000,0.00504,4.68e+02,0.00292,2.64e+02,0.019,5.53,2.14,-1.14,12,0.2,0.2,0.1,0.0
2187.0,113674.0,810000,TS_Lin,1531211009000,0.00581,5.58e+02,0.00295,2.68e+02,0.0192,5.6,2.18,-1.18,12,0.2,0.2,0.1,0.0
2226.0,115544.0,820000,TS_Lin,1531212747000,0.00409,3.78e+02,0.00297,2.69e+02,0.0193,5.6,2.18,-1.18,12,0.2,0.2,0.1,0.0
2272.0,117517.0,830000,TS_Lin,1531214477000,0.00443,4.14e+02,0.00298,2.71e+02,0.0193,5.62,2.18,-1.18,12,0.2,0.2,0.1,0.0
2307.0,119300.0,840000,TS_Lin,1531216000000,0.00367,3.33e+02,0.00299,2.72e+02,0.0193,5.62,2.18,-1.18,12,0.2,0.2,0.1,0.0
2337.0,121107.0,850000,TS_Lin,1531217491000,0.00347,3.06e+02,0.003,2.72e+02,0.0193,5.61,2.05,-1.05,12,0.2,0.2,0.1,0.0
2374.0,122973.0,860000,TS_Lin,1531218803000,0.004,3.6e+02,0.00301,2.73e+02,0.0193,5.62,2.05,-1.05,12,0.2,0.2,0.1,0.0
2413.0,124765.0,870000,TS_Lin,1531220183000,0.00425,3.78e+02,0.00302,2.74e+02,0.0193,5.63,2.05,-1.05,12,0.2,0.2,0.1,0.0
2451.0,126620.0,880000,TS_Lin,1531221660000,0.00377,3.42e+02,0.00303,2.75e+02,0.0194,5.63,2.05,-1.05,12,0.2,0.2,0.1,0.0
2492.0,128394.0,890000,TS_Lin,1531223228000,0.00425,3.69e+02,0.00305,2.76e+02,0.0194,5.65,2.05,-1.05,12,0.2,0.2,0.1,0.0
2528.0,130212.0,900000,TS_Lin,1531224925000,0.00385,3.24e+02,0.00306,2.76e+02,0.0194,5.65,2.05,-1.05,12,0.2,0.2,0.1,0.0
2578.0,132029.0,910000,TS_Lin,1531226586000,0.00499,4.59e+02,0.00308,2.78e+02,0.0195,5.68,2.07,-1.07,12,0.2,0.2,0.1,0.0
2617.0,133789.0,920000,TS_Lin,1531228193000,0.00409,3.6e+02,0.00309,2.79e+02,0.0196,5.69,2.07,-1.07,12,0.2,0.2,0.1,0.0
2656.0,135666.0,930000,TS_Lin,1531229863000,0.00398,3.51e+02,0.0031,2.8e+02,0.0196,5.69,2.08,-1.08,12,0.2,0.2,0.1,0.0
2702.0,137352.0,940000,TS_Lin,1531231690000,0.00465,4.23e+02,0.00311,2.82e+02,0.0197,5.72,2.08,-1.08,12,0.2,0.2,0.1,0.0
2738.0,139027.0,950000,TS_Lin,1531233614000,0.00395,3.42e+02,0.00312,2.82e+02,0.0197,5.73,2.08,-1.08,12,0.2,0.2,0.1,0.0
2772.0,140684.0,960000,TS_Lin,1531235598000,0.00366,3.06e+02,0.00313,2.83e+02,0.0197,5.73,2.09,-1.09,12,0.2,0.2,0.1,0.0
2805.0,142201.0,970000,TS_Lin,1531237572000,0.00353,2.97e+02,0.00313,2.83e+02,0.0197,5.74,2.09,-1.09,12,0.2,0.2,0.1,0.0
2822.0,143598.0,980000,TS_Lin,1531239731000,0.00232,1.53e+02,0.00312,2.81e+02,0.0197,5.72,2.08,-1.08,12,0.2,0.2,0.1,0.0
2854.0,144935.0,990000,TS_Lin,1531241737000,0.00352,2.88e+02,0.00313,2.81e+02,0.0197,5.73,2.08,-1.08,12,0.2,0.2,0.1,0.0
2873.0,146257.0,1000000,TS_Lin,1531243738000,0.00236,1.71e+02,0.00312,2.8e+02,0.0196,5.71,2.07,-1.07,12,0.2,0.2,0.1,0.0
2899.0,147623.0,1010000,TS_Lin,1531245667000,0.00316,2.43e+02,0.00312,2.8e+02,0.0196,5.71,2.08,-1.08,12,0.2,0.2,0.1,0.0
2923.0,149145.0,1020000,TS_Lin,1531247731000,0.0028,2.16e+02,0.00312,2.79e+02,0.0196,5.7,2.08,-1.08,12,0.2,0.2,0.1,0.0
2948.0,150538.0,1030000,TS_Lin,1531249459000,0.00301,2.25e+02,0.00312,2.79e+02,0.0196,5.7,2.08,-1.08,12,0.2,0.2,0.1,0.0
2977.0,152086.0,1040000,TS_Lin,1531251643000,0.00341,2.7e+02,0.00312,2.79e+02,0.0196,5.69,2.08,-1.08,12,0.2,0.2,0.1,0.0
2995.0,153521.0,1050000,TS_Lin,1531253665000,0.00242,1.62e+02,0.00311,2.78e+02,0.0195,5.67,2.08,-1.08,12,0.2,0.2,0.1,0.0
3028.0,154884.0,1060000,TS_Lin,1531256223000,0.00359,2.97e+02,0.00312,2.78e+02,0.0196,5.69,2.07,-1.07,12,0.2,0.2,0.1,0.0
3063.0,156312.0,1070000,TS_Lin,1531263018000,0.00397,3.33e+02,0.00313,2.78e+02,0.0196,5.7,1.94,-0.941,12,0.2,0.2,0.1,0.0
3078.0,157770.0,1080000,TS_Lin,1531280274000,0.00235,1.44e+02,0.00312,2.77e+02,0.0195,5.67,1.94,-0.937,12,0.2,0.2,0.1,0.0
3107.0,159457.0,1090000,TS_Lin,1531284669000,0.00364,2.7e+02,0.00312,2.77e+02,0.0195,5.67,1.93,-0.932,12,0.2,0.2,0.1,0.0
3137.0,161338.0,1100000,TS_Lin,1531287508000,0.00356,2.79e+02,0.00313,2.77e+02,0.0194,5.66,1.93,-0.934,12,0.2,0.2,0.1,0.0
3172.0,163171.0,1110000,TS_Lin,1531289836000,0.00395,3.33e+02,0.00313,2.78e+02,0.0194,5.65,1.93,-0.931,12,0.2,0.2,0.1,0.0
3220.0,165054.0,1120000,TS_Lin,1531291626000,0.00489,4.41e+02,0.00315,2.79e+02,0.0195,5.67,1.94,-0.94,12,0.2,0.2,0.1,0.0
3262.0,166921.0,1130000,TS_Lin,1531293077000,0.00438,3.96e+02,0.00316,2.8e+02,0.0195,5.68,1.95,-0.947,12,0.2,0.2,0.1,0.0
3306.0,168861.0,1140000,TS_Lin,1531294497000,0.00446,4.14e+02,0.00317,2.81e+02,0.0196,5.69,1.95,-0.95,12,0.2,0.2,0.1,0.0
3347.0,170740.0,1150000,TS_Lin,1531295902000,0.00412,3.69e+02,0.00318,2.82e+02,0.0196,5.7,1.95,-0.953,12,0.2,0.2,0.1,0.0
3382.0,172500.0,1160000,TS_Lin,1531297173000,0.0036,3.24e+02,0.00318,2.82e+02,0.0196,5.7,1.95,-0.949,12,0.2,0.2,0.1,0.0
