SimulationId,CTRMultiplier,Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
2,0.1,0,404,110000,1531044493000,0.0,0.0,4.17e-06,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,0,1824,120000,1531046231000,0.0,0.0,4.4e-06,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,1,3257,130000,1531048017000,0.000307,0.000307,4.57e-05,0.94,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.7,-0.7,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,2,4530,140000,1531049805000,0.000442,0.000442,6.22e-05,0.944,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.36,-0.357,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,3,5959,150000,1531051599000,0.000503,0.000503,7.12e-05,0.947,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.26,-0.255,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,3,7219,160000,1531053310000,0.000416,0.000416,5.87e-05,0.947,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.44,-0.436,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,6,8485,170000,1531054948000,0.000707,0.000707,9.56e-05,0.952,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.04,-0.0396,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,8,9947,180000,1531056675000,0.000804,0.000804,0.000109,0.951,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.963,0.0372,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,8,11359,190000,1531058328000,0.000704,0.000704,9.66e-05,0.951,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.03,-0.0343,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,10,12752,200000,1531059941000,0.000784,0.000784,0.000107,0.952,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.979,0.0207,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,10,14163,210000,1531061809000,0.000706,0.000706,9.75e-05,0.952,0.0,nan,1.0,0.0,0.0,1.0,1.0,1.04,-0.0394,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,13,15555,220000,1531063581000,0.000836,0.000836,0.000115,0.952,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.954,0.046,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,13,16841,230000,1531065314000,0.000772,0.000772,0.000106,0.952,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.995,0.00482,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,14,18219,240000,1531067084000,0.000768,0.000768,0.000105,0.952,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.998,0.0021,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,23,19811,250000,1531068933000,0.00116,0.00116,0.000159,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.829,0.171,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,37,21221,260000,1531070560000,0.00174,0.00174,0.000236,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.711,0.289,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,47,22660,270000,1531071931000,0.00207,0.00207,0.00028,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.675,0.325,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,58,24230,280000,1531073370000,0.00239,0.00239,0.000324,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.649,0.351,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,59,25565,290000,1531074828000,0.00231,0.00231,0.000312,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.657,0.343,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,59,27033,300000,1531076102000,0.00218,0.00218,0.000296,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.668,0.332,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,62,28399,310000,1531077460000,0.00218,0.00218,0.000296,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.669,0.331,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,68,29832,320000,1531078853000,0.00228,0.00228,0.000309,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.662,0.338,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,74,31288,330000,1531080285000,0.00237,0.00237,0.000321,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.657,0.343,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,83,32729,340000,1531081775000,0.00254,0.00254,0.000345,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.647,0.353,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,91,34235,350000,1531083470000,0.00266,0.00266,0.000362,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.64,0.36,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,94,35871,360000,1531085548000,0.00262,0.00262,0.000359,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.644,0.356,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,97,37459,370000,1531091700000,0.0,0.00259,0.000357,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.648,0.352,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,99,38968,380000,1531109678000,0.000929,0.00254,0.000352,0.95,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.653,0.347,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,103,40669,390000,1531114011000,0.00156,0.00253,0.000353,0.949,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.653,0.347,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,103,42357,400000,1531116623000,0.00108,0.00243,0.000341,0.949,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.66,0.34,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,103,43989,410000,1531118649000,0.000836,0.00234,0.00033,0.949,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.667,0.333,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,104,45754,420000,1531120418000,0.000783,0.00227,0.000323,0.948,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.671,0.329,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,107,47387,430000,1531122132000,0.000946,0.00226,0.000322,0.948,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.671,0.329,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,109,49039,440000,1531123856000,0.000982,0.00222,0.000318,0.947,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.672,0.328,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,113,50592,450000,1531125068000,0.00116,0.00223,0.00032,0.946,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.669,0.331,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,113,52317,460000,1531126436000,0.00103,0.00216,0.000311,0.946,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.675,0.325,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,114,53849,470000,1531128328000,0.000998,0.00212,0.000305,0.946,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.677,0.323,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,114,55454,480000,1531129175000,0.000912,0.00206,0.000297,0.946,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.682,0.318,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,117,57169,490000,1531130018000,0.000983,0.00205,0.000297,0.945,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.68,0.32,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,119,58582,500000,1531130800000,0.00336,0.00203,0.000294,0.944,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.68,0.32,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,119,59733,510000,1531131712000,0.00115,0.00199,0.000287,0.944,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.682,0.318,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,122,60899,520000,1531133341000,0.00172,0.002,0.000287,0.944,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.679,0.321,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,125,62085,530000,1531134827000,0.00195,0.00201,0.000287,0.943,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.675,0.325,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,127,63273,540000,1531136175000,0.00189,0.00201,0.000285,0.943,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.674,0.326,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
2,0.1,127,64400,550000,1531137754000,0.00156,0.00197,0.000279,0.943,0.0,nan,1.0,0.0,0.0,1.0,1.0,0.676,0.324,LinUCB_Disjoint,12,0.001,0.0,0.2,0.2
