CampaignId,SimulationId,Cutoff,CTR,MSE,Calibration,NE,RIG,TPR,FPR,FNR,PPR,ROC
837817,0,0.02557,0.003438,0.006658,1.0,0.6874,0.3126,0.03172,0.00334,0.9683,0.03172,9.497
837817,0,0.02061,0.006876,0.009916,2.0,1.25,-0.2496,0.0578,0.0067,0.9422,0.0289,8.627
837817,0,0.01391,0.01719,0.01985,5.0,3.089,-2.089,0.1125,0.01686,0.8875,0.0225,6.671
837817,0,0.0106,0.03438,0.03661,10.0,6.399,-5.399,0.1753,0.03389,0.8247,0.01753,5.173
837817,0,0.008234,0.06876,0.07035,20.0,13.41,-12.41,0.268,0.06807,0.732,0.0134,3.937
837817,0,0.005547,0.1719,0.1722,50.0,35.93,-34.93,0.4504,0.1709,0.5496,0.009008,2.635
837817,0,0.003579,0.3438,0.3428,100.0,76.57,-75.57,0.6418,0.3428,0.3582,0.006418,1.872
837817,0,0.001755,0.6876,0.685,200.0,166.1,-165.1,0.8798,0.6869,0.1202,0.004399,1.281
837817,0,-0.002105,0.997,0.9936,290.0,246.8,-245.8,0.9987,0.997,0.00129,0.003444,1.002
837817,1,0.02558,0.003438,0.00666,1.0,0.6874,0.3126,0.0314,0.003341,0.9686,0.0314,9.397
837817,1,0.02061,0.006876,0.009916,2.0,1.25,-0.2496,0.05791,0.0067,0.9421,0.02895,8.643
837817,1,0.01391,0.01719,0.01985,5.0,3.089,-2.089,0.1126,0.01686,0.8874,0.02253,6.681
837817,1,0.0106,0.03438,0.03662,10.0,6.399,-5.399,0.1743,0.0339,0.8257,0.01743,5.141
837817,1,0.008224,0.06876,0.07035,20.0,13.41,-12.41,0.2683,0.06807,0.7317,0.01342,3.942
837817,1,0.005541,0.1719,0.1722,50.0,35.94,-34.94,0.4519,0.1709,0.5481,0.009038,2.644
837817,1,0.003567,0.3438,0.3428,100.0,76.59,-75.59,0.6421,0.3428,0.3579,0.006421,1.873
837817,1,0.001759,0.6876,0.685,200.0,166.2,-165.2,0.8818,0.6869,0.1182,0.004409,1.284
837817,1,-0.002073,0.997,0.9936,290.0,247.2,-246.2,0.9989,0.997,0.001075,0.003445,1.002
837817,2,0.02557,0.003438,0.006659,1.0,0.6874,0.3126,0.03151,0.003341,0.9685,0.03151,9.431
837817,2,0.02061,0.006876,0.009911,2.0,1.25,-0.2496,0.05855,0.006698,0.9414,0.02928,8.743
837817,2,0.01392,0.01719,0.01985,5.0,3.089,-2.089,0.1127,0.01686,0.8873,0.02254,6.684
837817,2,0.01061,0.03438,0.03661,10.0,6.399,-5.399,0.1749,0.03389,0.8251,0.01749,5.16
837817,2,0.008231,0.06876,0.07035,20.0,13.41,-12.41,0.2687,0.06807,0.7313,0.01343,3.947
837817,2,0.005548,0.1719,0.1722,50.0,35.93,-34.93,0.4513,0.1709,0.5487,0.009026,2.64
837817,2,0.003579,0.3438,0.3428,100.0,76.57,-75.57,0.6412,0.3428,0.3588,0.006412,1.871
837817,2,0.001755,0.6876,0.685,200.0,166.1,-165.1,0.88,0.6869,0.12,0.0044,1.281
837817,2,-0.002099,0.997,0.9936,290.0,246.8,-245.8,0.9988,0.997,0.001237,0.003444,1.002
837817,3,0.5064,0.003438,0.006658,1.0,30.29,-29.29,0.03172,0.00334,0.9683,0.03172,9.497
837817,3,0.5052,0.006876,0.009917,2.0,30.29,-29.29,0.05769,0.006701,0.9423,0.02885,8.61
837817,3,0.5035,0.01719,0.01985,5.0,30.28,-29.28,0.1128,0.01686,0.8872,0.02255,6.688
837817,3,0.5027,0.03438,0.03662,10.0,30.27,-29.27,0.1747,0.0339,0.8253,0.01747,5.154
837817,3,0.5021,0.06876,0.07038,20.0,30.26,-29.26,0.2636,0.06809,0.7364,0.01318,3.872
837817,3,0.5014,0.1719,0.1723,50.0,30.23,-29.23,0.4451,0.171,0.5549,0.008902,2.604
837817,3,0.5009,0.3438,0.3429,100.0,30.19,-29.19,0.6313,0.3428,0.3687,0.006313,1.841
837817,3,0.5004,0.6876,0.6851,200.0,30.15,-29.15,0.8686,0.687,0.1314,0.004343,1.264
837817,3,0.4994,0.997,0.9936,290.0,30.15,-29.15,0.9987,0.997,0.00129,0.003444,1.002
837817,4,0.623,0.003438,0.006867,1.0,42.3,-41.3,0.001344,0.003445,0.9987,0.001344,0.3902
837817,4,0.6229,0.006876,0.0103,2.0,42.23,-41.23,0.002527,0.006891,0.9975,0.001264,0.3667
837817,4,0.6227,0.01719,0.02059,5.0,42.0,-41.0,0.005968,0.01723,0.994,0.001194,0.3464
837817,4,0.6226,0.03438,0.03774,10.0,41.63,-40.63,0.01118,0.03446,0.9888,0.001118,0.3246
837817,4,0.6225,0.06876,0.07204,20.0,40.88,-39.88,0.02285,0.06892,0.9771,0.001143,0.3316
837817,4,0.6223,0.1719,0.1749,50.0,38.63,-37.63,0.06108,0.1723,0.9389,0.001222,0.3546
837817,4,0.622,0.3438,0.3462,100.0,34.89,-33.89,0.1479,0.3445,0.8521,0.001479,0.4293
837817,4,0.6215,0.6876,0.6883,200.0,27.44,-26.44,0.3996,0.6886,0.6004,0.001998,0.5803
837817,4,0.6165,0.997,0.9938,290.0,20.79,-19.79,0.972,0.9971,0.02801,0.003352,0.9748
