Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0,359,80000,Random,1534230522000,0.0,0.0,0.353,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,12,0.2,0.2,0.0,0.2
4,2257,90000,Random,1534233133000,0.00177,0.00177,0.334,3.01e+04,0.000517,inf,0.4,0.0,0.6,1.0,0.4,1.43e+02,-1.42e+02,12,0.2,0.2,0.0,0.2
6,4370,100000,Random,1534235080000,0.00137,0.00137,0.343,3.08e+04,0.00102,inf,0.214,0.0,0.786,1.0,0.214,1.02e+02,-1.01e+02,12,0.2,0.2,0.0,0.2
14,6359,110000,Random,1534237020000,0.0022,0.0022,0.338,3.04e+04,0.000949,inf,0.318,0.0,0.682,1.0,0.318,95.3,-94.3,12,0.2,0.2,0.0,0.2
14,8383,120000,Random,1534237809000,0.00167,0.00167,0.338,3.04e+04,0.000865,inf,0.28,0.0,0.72,1.0,0.28,1.08e+02,-1.07e+02,12,0.2,0.2,0.0,0.2
14,10362,130000,Random,1534238283000,0.00135,0.00135,0.339,3.05e+04,0.000736,inf,0.269,0.0,0.731,1.0,0.269,1.27e+02,-1.26e+02,12,0.2,0.2,0.0,0.2
14,12348,140000,Random,1534238758000,0.00113,0.00113,0.338,3.04e+04,0.000682,inf,0.25,0.0,0.75,1.0,0.25,1.38e+02,-1.37e+02,12,0.2,0.2,0.0,0.2
14,14419,150000,Random,1534239231000,0.000971,0.000971,0.338,3.04e+04,0.00067,inf,0.226,0.0,0.774,1.0,0.226,1.45e+02,-1.44e+02,12,0.2,0.2,0.0,0.2
14,16481,160000,Random,1534239678000,0.000849,0.000849,0.338,3.04e+04,0.000649,inf,0.209,0.0,0.791,1.0,0.209,1.52e+02,-1.51e+02,12,0.2,0.2,0.0,0.2
16,18459,170000,Random,1534240145000,0.000867,0.000867,0.338,3.04e+04,0.000622,inf,0.219,0.0,0.781,1.0,0.219,1.56e+02,-1.55e+02,12,0.2,0.2,0.0,0.2
18,20528,180000,Random,1534240603000,0.000877,0.000877,0.34,3.06e+04,0.0006,inf,0.228,0.0,0.772,1.0,0.228,1.6e+02,-1.59e+02,12,0.2,0.2,0.0,0.2
18,22426,190000,Random,1534241040000,0.000803,0.000803,0.339,3.05e+04,0.0006,inf,0.212,0.0,0.788,1.0,0.212,1.62e+02,-1.61e+02,12,0.2,0.2,0.0,0.2
18,24542,200000,Random,1534241392000,0.000733,0.000733,0.339,3.05e+04,0.000567,inf,0.207,0.0,0.793,1.0,0.207,1.72e+02,-1.71e+02,12,0.2,0.2,0.0,0.2
19,26539,210000,Random,1534241771000,0.000716,0.000716,0.339,3.05e+04,0.00057,inf,0.202,0.0,0.798,1.0,0.202,1.72e+02,-1.71e+02,12,0.2,0.2,0.0,0.2
23,28533,220000,Random,1534242178000,0.000806,0.000806,0.338,3.04e+04,0.000558,inf,0.225,0.0,0.775,1.0,0.225,1.7e+02,-1.69e+02,12,0.2,0.2,0.0,0.2
25,30394,230000,Random,1534242555000,0.000823,0.000823,0.337,3.04e+04,0.0006,inf,0.216,0.0,0.784,1.0,0.216,1.61e+02,-1.6e+02,12,0.2,0.2,0.0,0.2
30,32326,240000,Random,1534242961000,0.000928,0.000928,0.337,3.03e+04,0.000575,inf,0.244,0.0,0.756,1.0,0.244,1.62e+02,-1.61e+02,12,0.2,0.2,0.0,0.2
32,34491,250000,Random,1534243389000,0.000928,0.000928,0.337,3.03e+04,0.000565,inf,0.248,0.0,0.752,1.0,0.248,1.63e+02,-1.62e+02,12,0.2,0.2,0.0,0.2
32,36526,260000,Random,1534243839000,0.000876,0.000876,0.337,3.03e+04,0.000545,inf,0.244,0.0,0.756,1.0,0.244,1.7e+02,-1.69e+02,12,0.2,0.2,0.0,0.2
32,38413,270000,Random,1534244369000,0.000833,0.000833,0.336,3.02e+04,0.000517,inf,0.244,0.0,0.756,1.0,0.244,1.77e+02,-1.76e+02,12,0.2,0.2,0.0,0.2
36,40479,280000,Random,1534244952000,0.000889,0.000889,0.336,3.03e+04,0.000491,inf,0.267,0.0,0.733,1.0,0.267,1.81e+02,-1.8e+02,12,0.2,0.2,0.0,0.2
36,42759,290000,Random,1534245515000,0.000842,0.000842,0.336,3.03e+04,0.000496,inf,0.255,0.0,0.745,1.0,0.255,1.81e+02,-1.8e+02,12,0.2,0.2,0.0,0.2
40,44802,300000,Random,1534246104000,0.000893,0.000893,0.336,3.02e+04,0.000501,inf,0.265,0.0,0.735,1.0,0.265,1.78e+02,-1.77e+02,12,0.2,0.2,0.0,0.2
46,46812,310000,Random,1534247537000,0.000983,0.000983,0.336,3.02e+04,0.000505,inf,0.282,0.0,0.718,1.0,0.282,1.73e+02,-1.72e+02,12,0.2,0.2,0.0,0.2
50,48606,320000,Random,1534249254000,0.00103,0.00103,0.335,3.02e+04,0.000509,inf,0.289,0.0,0.711,1.0,0.289,1.7e+02,-1.69e+02,12,0.2,0.2,0.0,0.2
52,50564,330000,Random,1534251078000,0.00103,0.00103,0.335,3.01e+04,0.00056,inf,0.269,0.0,0.731,1.0,0.269,1.6e+02,-1.59e+02,12,0.2,0.2,0.0,0.2
52,52484,340000,Random,1534253062000,0.000991,0.000991,0.334,3.01e+04,0.000623,inf,0.242,0.0,0.758,1.0,0.242,1.5e+02,-1.49e+02,12,0.2,0.2,0.0,0.2
61,54336,350000,Random,1534255389000,0.00112,0.00112,0.334,3.01e+04,0.000633,inf,0.262,0.0,0.738,1.0,0.262,1.44e+02,-1.43e+02,12,0.2,0.2,0.0,0.2
61,56334,360000,Random,1534257581000,0.00108,0.00108,0.334,3e+04,0.000632,inf,0.255,0.0,0.745,1.0,0.255,1.46e+02,-1.45e+02,12,0.2,0.2,0.0,0.2
63,58342,370000,Random,1534259856000,0.00108,0.00108,0.333,3e+04,0.000655,inf,0.248,0.0,0.752,1.0,0.248,1.42e+02,-1.41e+02,12,0.2,0.2,0.0,0.2
67,60230,380000,Random,1534261751000,0.00111,0.00111,0.333,3e+04,0.000653,inf,0.254,0.0,0.746,1.0,0.254,1.41e+02,-1.4e+02,12,0.2,0.2,0.0,0.2
69,62229,390000,Random,1534263446000,0.00111,0.00111,0.333,3e+04,0.000645,inf,0.256,0.0,0.744,1.0,0.256,1.43e+02,-1.42e+02,12,0.2,0.2,0.0,0.2
71,64258,400000,Random,1534265239000,0.0011,0.0011,0.333,3e+04,0.000656,inf,0.252,0.0,0.748,1.0,0.252,1.41e+02,-1.4e+02,12,0.2,0.2,0.0,0.2
71,66149,410000,Random,1534266923000,0.00107,0.00107,0.333,3e+04,0.00066,inf,0.245,0.0,0.755,1.0,0.245,1.42e+02,-1.41e+02,12,0.2,0.2,0.0,0.2
71,67890,420000,Random,1534268308000,0.00105,0.00105,0.333,2.99e+04,0.000664,inf,0.238,0.0,0.762,1.0,0.238,1.42e+02,-1.41e+02,12,0.2,0.2,0.0,0.2
