Clicks,Impressions,CumClicks,CumImpressions,TotalImpressions,RecommendationSizePercent,Timestamp,Alpha,Method
0.0,121.0,0.0,121.0,460000.0,0.1,NA,NA,Random
2.0,1018.0,2.0,1139.0,470000.0,0.1,NA,NA,Random
4.0,1007.0,6.0,2146.0,480000.0,0.1,NA,NA,Random
4.0,986.0,10.0,3132.0,490000.0,0.1,NA,NA,Random
2.0,1045.0,12.0,4177.0,500000.0,0.1,NA,NA,Random
3.0,1072.0,15.0,5249.0,510000.0,0.1,NA,NA,Random
2.0,1010.0,17.0,6259.0,520000.0,0.1,NA,NA,Random
2.0,1033.0,19.0,7292.0,530000.0,0.1,NA,NA,Random
2.0,1024.0,21.0,8316.0,540000.0,0.1,NA,NA,Random
4.0,1055.0,25.0,9371.0,550000.0,0.1,NA,NA,Random
2.0,1066.0,27.0,10437.0,560000.0,0.1,NA,NA,Random
0.0,1007.0,27.0,11444.0,570000.0,0.1,NA,NA,Random
4.0,994.0,31.0,12438.0,580000.0,0.1,NA,NA,Random
1.0,987.0,32.0,13425.0,590000.0,0.1,NA,NA,Random
2.0,1003.0,34.0,14428.0,600000.0,0.1,NA,NA,Random
1.0,994.0,35.0,15422.0,610000.0,0.1,NA,NA,Random
1.0,1060.0,36.0,16482.0,620000.0,0.1,NA,NA,Random
3.0,993.0,39.0,17475.0,630000.0,0.1,NA,NA,Random
1.0,1018.0,40.0,18493.0,640000.0,0.1,NA,NA,Random
3.0,1014.0,43.0,19507.0,650000.0,0.1,NA,NA,Random
2.0,957.0,45.0,20464.0,660000.0,0.1,NA,NA,Random
2.0,1015.0,47.0,21479.0,670000.0,0.1,NA,NA,Random
1.0,936.0,48.0,22415.0,680000.0,0.1,NA,NA,Random
1.0,997.0,49.0,23412.0,690000.0,0.1,NA,NA,Random
1.0,1018.0,50.0,24430.0,700000.0,0.1,NA,NA,Random
2.0,1097.0,52.0,25527.0,710000.0,0.1,NA,NA,Random
2.0,961.0,54.0,26488.0,720000.0,0.1,NA,NA,Random
1.0,1016.0,55.0,27504.0,730000.0,0.1,NA,NA,Random
3.0,1038.0,58.0,28542.0,740000.0,0.1,NA,NA,Random
2.0,1129.0,60.0,29671.0,750000.0,0.1,NA,NA,Random
1.0,969.0,61.0,30640.0,760000.0,0.1,NA,NA,Random
5.0,1070.0,66.0,31710.0,770000.0,0.1,NA,NA,Random
2.0,1018.0,68.0,32728.0,780000.0,0.1,NA,NA,Random
1.0,1027.0,69.0,33755.0,790000.0,0.1,NA,NA,Random
2.0,1048.0,71.0,34803.0,800000.0,0.1,NA,NA,Random
3.0,1015.0,74.0,35818.0,810000.0,0.1,NA,NA,Random
1.0,948.0,75.0,36766.0,820000.0,0.1,NA,NA,Random
1.0,1018.0,76.0,37784.0,830000.0,0.1,NA,NA,Random
2.0,963.0,78.0,38747.0,840000.0,0.1,NA,NA,Random
3.0,1005.0,81.0,39752.0,850000.0,0.1,NA,NA,Random
1.0,1028.0,82.0,40780.0,860000.0,0.1,NA,NA,Random
2.0,1002.0,84.0,41782.0,870000.0,0.1,NA,NA,Random
2.0,984.0,86.0,42766.0,880000.0,0.1,NA,NA,Random
0.0,1027.0,86.0,43793.0,890000.0,0.1,NA,NA,Random
3.0,1034.0,89.0,44827.0,900000.0,0.1,NA,NA,Random
0.0,1053.0,89.0,45880.0,910000.0,0.1,NA,NA,Random
2.0,982.0,91.0,46862.0,920000.0,0.1,NA,NA,Random
3.0,926.0,94.0,47788.0,930000.0,0.1,NA,NA,Random
3.0,997.0,97.0,48785.0,940000.0,0.1,NA,NA,Random
1.0,990.0,98.0,49775.0,950000.0,0.1,NA,NA,Random
1.0,1029.0,99.0,50804.0,960000.0,0.1,NA,NA,Random
1.0,973.0,100.0,51777.0,970000.0,0.1,NA,NA,Random
1.0,1001.0,101.0,52778.0,980000.0,0.1,NA,NA,Random
2.0,970.0,103.0,53748.0,990000.0,0.1,NA,NA,Random
5.0,1017.0,108.0,54765.0,1000000.0,0.1,NA,NA,Random
1.0,1070.0,109.0,55835.0,1010000.0,0.1,NA,NA,Random
1.0,978.0,110.0,56813.0,1020000.0,0.1,NA,NA,Random
2.0,983.0,112.0,57796.0,1030000.0,0.1,NA,NA,Random
3.0,968.0,115.0,58764.0,1040000.0,0.1,NA,NA,Random
3.0,993.0,118.0,59757.0,1050000.0,0.1,NA,NA,Random
0.0,1005.0,118.0,60762.0,1060000.0,0.1,NA,NA,Random
1.0,944.0,119.0,61706.0,1070000.0,0.1,NA,NA,Random
0.0,920.0,119.0,62626.0,1080000.0,0.1,NA,NA,Random
0.0,985.0,119.0,63611.0,1090000.0,0.1,NA,NA,Random
0.0,988.0,119.0,64599.0,1100000.0,0.1,NA,NA,Random
0.0,936.0,119.0,65535.0,1110000.0,0.1,NA,NA,Random
3.0,952.0,122.0,66487.0,1120000.0,0.1,NA,NA,Random
3.0,946.0,125.0,67433.0,1130000.0,0.1,NA,NA,Random
1.0,943.0,126.0,68376.0,1140000.0,0.1,NA,NA,Random
1.0,994.0,127.0,69370.0,1150000.0,0.1,NA,NA,Random
3.0,993.0,130.0,70363.0,1160000.0,0.1,NA,NA,Random
0.0,978.0,130.0,71341.0,1170000.0,0.1,NA,NA,Random
1.0,997.0,131.0,72338.0,1180000.0,0.1,NA,NA,Random
0.0,957.0,131.0,73295.0,1190000.0,0.1,NA,NA,Random
0.0,983.0,131.0,74278.0,1200000.0,0.1,NA,NA,Random
