Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,MSE
0.0,59.0,460000.0,GP_Clustered,0.02,58336,1529485209.0,0.02,2.1844758385482127e-06
1.0,447.0,470000.0,GP_Clustered,0.02,58336,1529485282.0,0.02,2.5574791739799535e-05
3.0,822.0,480000.0,GP_Clustered,0.02,58336,1529485354.0,0.02,6.447315047258364e-05
3.0,1168.0,490000.0,GP_Clustered,0.02,58336,1529485426.0,0.02,9.980382201714492e-05
3.0,1496.0,500000.0,GP_Clustered,0.02,58336,1529485500.0,0.02,0.00012176875743919797
4.0,1848.0,510000.0,GP_Clustered,0.02,58336,1529485578.0,0.02,0.00015847620578697397
5.0,2191.0,520000.0,GP_Clustered,0.02,58336,1529485659.0,0.02,0.0001823418419914714
5.0,2531.0,530000.0,GP_Clustered,0.02,58336,1529485742.0,0.02,0.0002071269161960821
7.0,2894.0,540000.0,GP_Clustered,0.02,58336,1529485823.0,0.02,0.00023283575372140541
7.0,3256.0,550000.0,GP_Clustered,0.02,58336,1529485906.0,0.02,0.0002504200563560596
8.0,3592.0,560000.0,GP_Clustered,0.02,58336,1529485990.0,0.02,0.0002673395247616458
8.0,3943.0,570000.0,GP_Clustered,0.02,58336,1529486075.0,0.02,0.000274940805542772
8.0,4300.0,580000.0,GP_Clustered,0.02,58336,1529486160.0,0.02,0.0002943521888660337
8.0,4604.0,590000.0,GP_Clustered,0.02,58336,1529486245.0,0.02,0.0003096747006984203
9.0,4953.0,600000.0,GP_Clustered,0.02,58336,1529486326.0,0.02,0.00034601047097976853
9.0,5291.0,610000.0,GP_Clustered,0.02,58336,1529486407.0,0.02,0.0003632504505482397
9.0,5627.0,620000.0,GP_Clustered,0.02,58336,1529486488.0,0.02,0.0003847682744727855
10.0,5973.0,630000.0,GP_Clustered,0.02,58336,1529486569.0,0.02,0.0004008680463062984
10.0,6298.0,640000.0,GP_Clustered,0.02,58336,1529486652.0,0.02,0.0004195253698796048
11.0,6595.0,650000.0,GP_Clustered,0.02,58336,1529486734.0,0.02,0.0004376189581443823
13.0,6935.0,660000.0,GP_Clustered,0.02,58336,1529486817.0,0.02,0.0004566705828441919
13.0,7266.0,670000.0,GP_Clustered,0.02,58336,1529486899.0,0.02,0.000478188744681249
13.0,7616.0,680000.0,GP_Clustered,0.02,58336,1529486983.0,0.02,0.0004916571854156162
15.0,8003.0,690000.0,GP_Clustered,0.02,58336,1529487066.0,0.02,0.000506266837034757
16.0,8300.0,700000.0,GP_Clustered,0.02,58336,1529487149.0,0.02,0.0005147084657499628
17.0,8604.0,710000.0,GP_Clustered,0.02,58336,1529487230.0,0.02,0.0005299104497541245
19.0,8920.0,720000.0,GP_Clustered,0.02,58336,1529487314.0,0.02,0.0005461226138532403
19.0,9274.0,730000.0,GP_Clustered,0.02,58336,1529487394.0,0.02,0.0005509689982264716
19.0,9612.0,740000.0,GP_Clustered,0.02,58336,1529487472.0,0.02,0.0005610617404852126
19.0,9950.0,750000.0,GP_Clustered,0.02,58336,1529487552.0,0.02,0.0005722255479386103
19.0,10265.0,760000.0,GP_Clustered,0.02,58336,1529487630.0,0.02,0.0005817457834509131
20.0,10636.0,770000.0,GP_Clustered,0.02,58336,1529487708.0,0.02,0.0005974619682993316
20.0,11001.0,780000.0,GP_Clustered,0.02,58336,1529487789.0,0.02,0.0006102631528815582
20.0,11376.0,790000.0,GP_Clustered,0.02,58336,1529487870.0,0.02,0.0006164497237146841
20.0,11695.0,800000.0,GP_Clustered,0.02,58336,1529487950.0,0.02,0.0006212678765290616
21.0,12014.0,810000.0,GP_Clustered,0.02,58336,1529488030.0,0.02,0.0006296234509294691
21.0,12382.0,820000.0,GP_Clustered,0.02,58336,1529488109.0,0.02,0.0006377709846759716
22.0,12711.0,830000.0,GP_Clustered,0.02,58336,1529488188.0,0.02,0.0006480991592449734
23.0,13067.0,840000.0,GP_Clustered,0.02,58336,1529488267.0,0.02,0.000655849060990734
24.0,13466.0,850000.0,GP_Clustered,0.02,58336,1529488344.0,0.02,0.0006622113260564585
25.0,13818.0,860000.0,GP_Clustered,0.02,58336,1529488423.0,0.02,0.000682313701860282
25.0,14172.0,870000.0,GP_Clustered,0.02,58336,1529488503.0,0.02,0.0006893772866790262
27.0,14486.0,880000.0,GP_Clustered,0.02,58336,1529488582.0,0.02,0.0006974355394878246
28.0,14822.0,890000.0,GP_Clustered,0.02,58336,1529488662.0,0.02,0.0007075291443008479
28.0,15174.0,900000.0,GP_Clustered,0.02,58336,1529488741.0,0.02,0.0007217941786874725
29.0,15460.0,910000.0,GP_Clustered,0.02,58336,1529488819.0,0.02,0.0007314273619409079
29.0,15494.0,920000.0,GP_Clustered,0.02,58336,1529488893.0,0.02,0.0007365169343616873
29.0,15536.0,930000.0,GP_Clustered,0.02,58336,1529488965.0,0.02,0.0007414696517931654
29.0,15569.0,940000.0,GP_Clustered,0.02,58336,1529489033.0,0.02,0.0007474068115380243
29.0,15596.0,950000.0,GP_Clustered,0.02,58336,1529489099.0,0.02,0.0007490069492265049
29.0,15626.0,960000.0,GP_Clustered,0.02,58336,1529489162.0,0.02,0.0007485141389675247
29.0,15648.0,970000.0,GP_Clustered,0.02,58336,1529489226.0,0.02,0.0007511040706455915
29.0,15685.0,980000.0,GP_Clustered,0.02,58336,1529489288.0,0.02,0.0007597565421456113
30.0,15720.0,990000.0,GP_Clustered,0.02,58336,1529489350.0,0.02,0.0007712064895634519
30.0,15747.0,1000000.0,GP_Clustered,0.02,58336,1529489410.0,0.02,0.0007814496068337709
