Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,59.0,460000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485209.0,0.002,0.02,0.08747540198277913,2.1835213540286684e-06
1.0,447.0,470000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485282.0,0.002,0.02,0.0011011170254915175,2.556508527184756e-05
3.0,822.0,480000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485354.0,0.002,0.02,0.0018927950559677722,6.446570966134618e-05
3.0,1168.0,490000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485426.0,0.002,0.02,0.0017957710928141076,9.979847258283145e-05
3.0,1496.0,500000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485500.0,0.002,0.02,0.0011976996381218036,0.00012175649589361052
4.0,1848.0,510000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485578.0,0.002,0.02,0.001994051077733863,0.0001584681543610664
5.0,2191.0,520000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485659.0,0.002,0.02,0.0013993483623591652,0.0001823312352841063
5.0,2531.0,530000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485742.0,0.002,0.02,0.0014958607350776588,0.0002071148107519072
7.0,2894.0,540000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485823.0,0.002,0.02,0.0015952173532588847,0.00023282041339092304
7.0,3256.0,550000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485906.0,0.002,0.02,0.001199608875671107,0.0002503983854323793
8.0,3592.0,560000.0,LinUCB_Disjoint_MSE,0.02,58336,1529485990.0,0.002,0.02,0.0011976961373982896,0.00026731441671748533
8.0,3943.0,570000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486075.0,0.002,0.02,0.0006999775846090548,0.0002749049986103228
8.0,4300.0,580000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486160.0,0.002,0.02,0.001400691661100182,0.00029431511348083976
8.0,4604.0,590000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486245.0,0.002,0.02,0.001198079818559386,0.0003096331593296329
9.0,4953.0,600000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486326.0,0.002,0.02,0.0024901792057648933,0.00034597559343689104
9.0,5291.0,610000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486407.0,0.002,0.02,0.0013974025307064582,0.000363212100605243
9.0,5627.0,620000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486488.0,0.002,0.02,0.0016973336563599027,0.0003847301902141906
10.0,5973.0,630000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486569.0,0.002,0.02,0.0013989885958593086,0.0004008295299863339
10.0,6298.0,640000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486652.0,0.002,0.02,0.0015947446017505747,0.00041948445298264713
11.0,6595.0,650000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486734.0,0.002,0.02,0.001595474293341949,0.00043757660437279173
13.0,6935.0,660000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486817.0,0.002,0.02,0.0016949451351309926,0.0004566276427176139
13.0,7266.0,670000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486899.0,0.002,0.02,0.0018986039243215238,0.0004781496767713997
13.0,7616.0,680000.0,LinUCB_Disjoint_MSE,0.02,58336,1529486983.0,0.002,0.02,0.001393900699934752,0.0004916166035826213
15.0,8003.0,690000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487066.0,0.002,0.02,0.0014993992129285945,0.0005062221486456047
16.0,8300.0,700000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487149.0,0.002,0.02,0.0010970859349557634,0.0005146630598786034
17.0,8604.0,710000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487230.0,0.002,0.02,0.0015939364810799988,0.0005298640939800247
19.0,8920.0,720000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487314.0,0.002,0.02,0.0016970230458143668,0.0005460746349777241
19.0,9274.0,730000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487394.0,0.002,0.02,0.0008996846496565894,0.000550918607781543
19.0,9612.0,740000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487472.0,0.002,0.02,0.001297619062581233,0.0005610091544680205
19.0,9950.0,750000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487552.0,0.002,0.02,0.0013982439159510702,0.0005721722846211277
19.0,10265.0,760000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487630.0,0.002,0.02,0.0012956038219620468,0.000581691120638767
20.0,10636.0,770000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487708.0,0.002,0.02,0.0017919737581197034,0.0005974090769696879
20.0,11001.0,780000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487789.0,0.002,0.02,0.0015958566636219199,0.0006102096870549694
20.0,11376.0,790000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487870.0,0.002,0.02,0.0010987165502358363,0.0006163933182344719
20.0,11695.0,800000.0,LinUCB_Disjoint_MSE,0.02,58336,1529487950.0,0.002,0.02,0.0010013614853472273,0.000621205420323377
21.0,12014.0,810000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488030.0,0.002,0.02,0.001297962794979398,0.0006295604496401172
21.0,12382.0,820000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488109.0,0.002,0.02,0.0012974402272650384,0.000637705324976999
22.0,12711.0,830000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488188.0,0.002,0.02,0.0014948540225892142,0.0006480324177193123
23.0,13067.0,840000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488267.0,0.002,0.02,0.001298944107548528,0.0006557813664077589
24.0,13466.0,850000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488344.0,0.002,0.02,0.0011964921715387322,0.0006621426699975329
25.0,13818.0,860000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488423.0,0.002,0.02,0.002391299973773862,0.0006822491502739932
25.0,14172.0,870000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488503.0,0.002,0.02,0.0012965196025496403,0.0006893097301852126
27.0,14486.0,880000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488582.0,0.002,0.02,0.0013982001479322566,0.0006973653031141537
28.0,14822.0,890000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488662.0,0.002,0.02,0.0015957999080570197,0.0007074600739562096
28.0,15174.0,900000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488741.0,0.002,0.02,0.001991711934264189,0.0007217295390707491
29.0,15462.0,910000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488819.0,0.002,0.02,0.0015981941724733132,0.0007313610185586887
29.0,15496.0,920000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488893.0,0.002,0.02,0.0011992484369057331,0.0007364467513668031
29.0,15539.0,930000.0,LinUCB_Disjoint_MSE,0.02,58336,1529488965.0,0.002,0.02,0.0011967147384059536,0.0007413958695070072
29.0,15574.0,940000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489033.0,0.002,0.02,0.0012993176928594618,0.0007473312080533118
29.0,15601.0,950000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489099.0,0.002,0.02,0.0008990165714827486,0.0007489278960894131
29.0,15633.0,960000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489162.0,0.002,0.02,0.0007010931440200606,0.0007484296174220319
29.0,15656.0,970000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489226.0,0.002,0.02,0.000999346256430541,0.0007510163868963492
29.0,15693.0,980000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489288.0,0.002,0.02,0.00159885177364022,0.000759667768393745
30.0,15725.0,990000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489350.0,0.002,0.02,0.001893280539668352,0.0007711184024470319
30.0,15752.0,1000000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489410.0,0.002,0.02,0.0017957173256577224,0.0007813643916791371
30.0,15790.0,1010000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489472.0,0.002,0.02,0.002092991939512412,0.0007943508030438235
30.0,15829.0,1020000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489534.0,0.002,0.02,0.002293593241915312,0.0008090492583268761
31.0,15870.0,1030000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489596.0,0.002,0.02,0.0012964799147133015,0.0008137815947966471
32.0,15897.0,1040000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489659.0,0.002,0.02,0.0022900906543053133,0.0008279768742149951
32.0,15927.0,1050000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489721.0,0.002,0.02,0.0015964941363857711,0.0008352960862356697
34.0,15955.0,1060000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489782.0,0.002,0.02,0.0016945894800230947,0.0008434026276864907
34.0,15983.0,1070000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489846.0,0.002,0.02,0.0008004916648462904,0.0008430015906506037
34.0,16009.0,1080000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489910.0,0.002,0.02,0.0012988852718725775,0.0008472227358471018
34.0,16036.0,1090000.0,LinUCB_Disjoint_MSE,0.02,58336,1529489972.0,0.002,0.02,0.0015993022158289816,0.0008541225475900578
34.0,16069.0,1100000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490034.0,0.002,0.02,0.001496078251708684,0.0008599585085365921
34.0,16095.0,1110000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490096.0,0.002,0.02,0.000700140892948959,0.0008585187101979656
34.0,16119.0,1120000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490158.0,0.002,0.02,0.00109825387124005,0.0008606592027072741
34.0,16157.0,1130000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490220.0,0.002,0.02,0.0014972842783031186,0.0008662930529337909
34.0,16188.0,1140000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490283.0,0.002,0.02,0.0008993053859207395,0.0008665826348020929
35.0,16218.0,1150000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490346.0,0.002,0.02,0.0010968432753097517,0.0008685849012412837
35.0,16235.0,1160000.0,LinUCB_Disjoint_MSE,0.02,58336,1529490408.0,0.002,0.02,0.0011996074922725577,0.0008714385442674142
