MSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
0.0019045283635876788,458775.0,LinUCB_Disjoint_MSE,0.02,58336,1529485200.0,0.02
2.894210211360502e-05,907502.0,LinUCB_Disjoint_MSE,0.02,58336,1529488800.0,0.02
9.141028050521554e-06,1454051.0,LinUCB_Disjoint_MSE,0.02,58336,1529492400.0,0.02
2.657005791921379e-05,1867223.0,LinUCB_Disjoint_MSE,0.02,58336,1529496000.0,0.02
1.9519743254764403e-05,2225254.0,LinUCB_Disjoint_MSE,0.02,58336,1529499600.0,0.02
1.1469589188201357e-05,2574843.0,LinUCB_Disjoint_MSE,0.02,58336,1529503200.0,0.02
4.811764793120237e-05,2947868.0,LinUCB_Disjoint_MSE,0.02,58336,1529506800.0,0.02
5.4422751161442504e-05,3259547.0,LinUCB_Disjoint_MSE,0.02,58336,1529510400.0,0.02
2.2752580406107465e-05,3567316.0,LinUCB_Disjoint_MSE,0.02,58336,1529514000.0,0.02
3.085878098934608e-06,3891463.0,LinUCB_Disjoint_MSE,0.02,58336,1529517600.0,0.02
3.788355781087484e-05,4284670.0,LinUCB_Disjoint_MSE,0.02,58336,1529521200.0,0.02
6.283381923715673e-06,4762296.0,LinUCB_Disjoint_MSE,0.02,58336,1529524800.0,0.02
4.650380360099702e-06,5190412.0,LinUCB_Disjoint_MSE,0.02,58336,1529528400.0,0.02
2.1776323089610864e-05,5465266.0,LinUCB_Disjoint_MSE,0.02,58336,1529532000.0,0.02
6.251126627298603e-05,5624234.0,LinUCB_Disjoint_MSE,0.02,58336,1529536776.0,0.02
9.157771666313592e-05,5766113.0,LinUCB_Disjoint_MSE,0.02,58336,1529547796.0,0.02
1.5350163780373043e-05,5962041.0,LinUCB_Disjoint_MSE,0.02,58336,1529552825.0,0.02
5.415374345420747e-06,6332896.0,LinUCB_Disjoint_MSE,0.02,58336,1529556425.0,0.02
2.0593767740309566e-05,6816636.0,LinUCB_Disjoint_MSE,0.02,58336,1529560025.0,0.02
1.799165551795876e-05,7317021.0,LinUCB_Disjoint_MSE,0.02,58336,1529563625.0,0.02
1.1145672831500434e-05,7852734.0,LinUCB_Disjoint_MSE,0.02,58336,1529567225.0,0.02
1.3071930321051123e-05,8162307.0,LinUCB_Disjoint_MSE,0.02,58336,1529583538.0,0.02
3.615960971090944e-05,8497074.0,LinUCB_Disjoint_MSE,0.02,58336,1529600747.0,0.02
7.351505397863731e-06,9043309.0,LinUCB_Disjoint_MSE,0.02,58336,1529740975.0,0.02
4.323570777503906e-05,9297496.0,LinUCB_Disjoint_MSE,0.02,58336,1529744575.0,0.02
5.8578415931278366e-05,9586031.0,LinUCB_Disjoint_MSE,0.02,58336,1529748175.0,0.02
3.668437409974303e-05,9885028.0,LinUCB_Disjoint_MSE,0.02,58336,1529751775.0,0.02
5.713786886577598e-05,10198818.0,LinUCB_Disjoint_MSE,0.02,58336,1529755375.0,0.02
3.846525932877049e-05,10483612.0,LinUCB_Disjoint_MSE,0.02,58336,1529758975.0,0.02
4.390393738391664e-05,10755990.0,LinUCB_Disjoint_MSE,0.02,58336,1529762575.0,0.02
1.0875823874839544e-05,11031923.0,LinUCB_Disjoint_MSE,0.02,58336,1529766175.0,0.02
3.705055788835075e-05,11328235.0,LinUCB_Disjoint_MSE,0.02,58336,1529769775.0,0.02
4.1941704067546164e-05,11636721.0,LinUCB_Disjoint_MSE,0.02,58336,1529773375.0,0.02
7.664373183103744e-05,11908898.0,LinUCB_Disjoint_MSE,0.02,58336,1529776975.0,0.02
8.460849145299042e-05,12167183.0,LinUCB_Disjoint_MSE,0.02,58336,1529780575.0,0.02
6.270934526020064e-05,12358462.0,LinUCB_Disjoint_MSE,0.02,58336,1529784175.0,0.02
2.671917043591591e-05,12695612.0,LinUCB_Disjoint_MSE,0.02,58336,1529787775.0,0.02
3.928336109584489e-06,12950421.0,LinUCB_Disjoint_MSE,0.02,58336,1529791375.0,0.02
