Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
0.0,16.0,460000.0,LinUCB_Disjoint,0.01,29168,1529485209.0
0.0,117.0,470000.0,LinUCB_Disjoint,0.01,29168,1529485282.0
0.0,217.0,480000.0,LinUCB_Disjoint,0.01,29168,1529485354.0
0.0,305.0,490000.0,LinUCB_Disjoint,0.01,29168,1529485426.0
0.0,410.0,500000.0,LinUCB_Disjoint,0.01,29168,1529485500.0
0.0,517.0,510000.0,LinUCB_Disjoint,0.01,29168,1529485578.0
0.0,618.0,520000.0,LinUCB_Disjoint,0.01,29168,1529485659.0
0.0,714.0,530000.0,LinUCB_Disjoint,0.01,29168,1529485742.0
0.0,796.0,540000.0,LinUCB_Disjoint,0.01,29168,1529485823.0
0.0,904.0,550000.0,LinUCB_Disjoint,0.01,29168,1529485906.0
0.0,993.0,560000.0,LinUCB_Disjoint,0.01,29168,1529485990.0
0.0,1084.0,570000.0,LinUCB_Disjoint,0.01,29168,1529486075.0
0.0,1176.0,580000.0,LinUCB_Disjoint,0.01,29168,1529486160.0
0.0,1267.0,590000.0,LinUCB_Disjoint,0.01,29168,1529486245.0
0.0,1332.0,600000.0,LinUCB_Disjoint,0.01,29168,1529486326.0
0.0,1438.0,610000.0,LinUCB_Disjoint,0.01,29168,1529486407.0
0.0,1542.0,620000.0,LinUCB_Disjoint,0.01,29168,1529486488.0
0.0,1615.0,630000.0,LinUCB_Disjoint,0.01,29168,1529486569.0
1.0,1711.0,640000.0,LinUCB_Disjoint,0.01,29168,1529486652.0
1.0,1820.0,650000.0,LinUCB_Disjoint,0.01,29168,1529486734.0
1.0,1902.0,660000.0,LinUCB_Disjoint,0.01,29168,1529486817.0
1.0,2020.0,670000.0,LinUCB_Disjoint,0.01,29168,1529486899.0
1.0,2130.0,680000.0,LinUCB_Disjoint,0.01,29168,1529486983.0
1.0,2244.0,690000.0,LinUCB_Disjoint,0.01,29168,1529487066.0
1.0,2352.0,700000.0,LinUCB_Disjoint,0.01,29168,1529487149.0
1.0,2477.0,710000.0,LinUCB_Disjoint,0.01,29168,1529487230.0
3.0,2591.0,720000.0,LinUCB_Disjoint,0.01,29168,1529487314.0
4.0,2717.0,730000.0,LinUCB_Disjoint,0.01,29168,1529487394.0
4.0,2808.0,740000.0,LinUCB_Disjoint,0.01,29168,1529487472.0
4.0,2910.0,750000.0,LinUCB_Disjoint,0.01,29168,1529487552.0
4.0,3021.0,760000.0,LinUCB_Disjoint,0.01,29168,1529487630.0
4.0,3125.0,770000.0,LinUCB_Disjoint,0.01,29168,1529487708.0
4.0,3214.0,780000.0,LinUCB_Disjoint,0.01,29168,1529487789.0
4.0,3322.0,790000.0,LinUCB_Disjoint,0.01,29168,1529487870.0
4.0,3427.0,800000.0,LinUCB_Disjoint,0.01,29168,1529487950.0
4.0,3533.0,810000.0,LinUCB_Disjoint,0.01,29168,1529488030.0
4.0,3644.0,820000.0,LinUCB_Disjoint,0.01,29168,1529488109.0
5.0,3758.0,830000.0,LinUCB_Disjoint,0.01,29168,1529488188.0
6.0,3860.0,840000.0,LinUCB_Disjoint,0.01,29168,1529488267.0
6.0,3952.0,850000.0,LinUCB_Disjoint,0.01,29168,1529488344.0
6.0,4054.0,860000.0,LinUCB_Disjoint,0.01,29168,1529488423.0
6.0,4147.0,870000.0,LinUCB_Disjoint,0.01,29168,1529488503.0
6.0,4241.0,880000.0,LinUCB_Disjoint,0.01,29168,1529488582.0
6.0,4332.0,890000.0,LinUCB_Disjoint,0.01,29168,1529488662.0
6.0,4445.0,900000.0,LinUCB_Disjoint,0.01,29168,1529488741.0
8.0,4562.0,910000.0,LinUCB_Disjoint,0.01,29168,1529488819.0
8.0,4686.0,920000.0,LinUCB_Disjoint,0.01,29168,1529488893.0
8.0,4812.0,930000.0,LinUCB_Disjoint,0.01,29168,1529488965.0
9.0,4950.0,940000.0,LinUCB_Disjoint,0.01,29168,1529489033.0
9.0,5073.0,950000.0,LinUCB_Disjoint,0.01,29168,1529489099.0
9.0,5203.0,960000.0,LinUCB_Disjoint,0.01,29168,1529489162.0
9.0,5351.0,970000.0,LinUCB_Disjoint,0.01,29168,1529489226.0
9.0,5477.0,980000.0,LinUCB_Disjoint,0.01,29168,1529489288.0
9.0,5607.0,990000.0,LinUCB_Disjoint,0.01,29168,1529489350.0
9.0,5743.0,1000000.0,LinUCB_Disjoint,0.01,29168,1529489410.0
11.0,5878.0,1010000.0,LinUCB_Disjoint,0.01,29168,1529489472.0
12.0,6010.0,1020000.0,LinUCB_Disjoint,0.01,29168,1529489534.0
12.0,6133.0,1030000.0,LinUCB_Disjoint,0.01,29168,1529489596.0
12.0,6274.0,1040000.0,LinUCB_Disjoint,0.01,29168,1529489659.0
12.0,6406.0,1050000.0,LinUCB_Disjoint,0.01,29168,1529489721.0
13.0,6554.0,1060000.0,LinUCB_Disjoint,0.01,29168,1529489782.0
13.0,6698.0,1070000.0,LinUCB_Disjoint,0.01,29168,1529489846.0
14.0,6846.0,1080000.0,LinUCB_Disjoint,0.01,29168,1529489910.0
14.0,6972.0,1090000.0,LinUCB_Disjoint,0.01,29168,1529489972.0
14.0,7090.0,1100000.0,LinUCB_Disjoint,0.01,29168,1529490034.0
14.0,7223.0,1110000.0,LinUCB_Disjoint,0.01,29168,1529490096.0
14.0,7343.0,1120000.0,LinUCB_Disjoint,0.01,29168,1529490158.0
14.0,7471.0,1130000.0,LinUCB_Disjoint,0.01,29168,1529490220.0
14.0,7599.0,1140000.0,LinUCB_Disjoint,0.01,29168,1529490283.0
14.0,7720.0,1150000.0,LinUCB_Disjoint,0.01,29168,1529490346.0
14.0,7868.0,1160000.0,LinUCB_Disjoint,0.01,29168,1529490408.0
14.0,8010.0,1170000.0,LinUCB_Disjoint,0.01,29168,1529490471.0
16.0,8144.0,1180000.0,LinUCB_Disjoint,0.01,29168,1529490534.0
16.0,8279.0,1190000.0,LinUCB_Disjoint,0.01,29168,1529490599.0
16.0,8422.0,1200000.0,LinUCB_Disjoint,0.01,29168,1529490664.0
16.0,8559.0,1210000.0,LinUCB_Disjoint,0.01,29168,1529490730.0
16.0,8700.0,1220000.0,LinUCB_Disjoint,0.01,29168,1529490795.0
