MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
0.0019045283635876788,0.0019045283635876788,458775.0,LinUCB_Disjoint,0.02,58336,1529485200.0,0.02
2.894210211360502e-05,0.001692945980812085,907502.0,LinUCB_Disjoint,0.02,58336,1529488800.0,0.02
9.141028050521554e-06,0.0016236351716883157,1454051.0,LinUCB_Disjoint,0.02,58336,1529492400.0,0.02
2.657005791921379e-05,0.0016133395399191288,1867223.0,LinUCB_Disjoint,0.02,58336,1529496000.0,0.02
1.9519743254764403e-05,0.0015914042349312733,2225254.0,LinUCB_Disjoint,0.02,58336,1529499600.0,0.02
1.1469589188201357e-05,0.00158774590233231,2574843.0,LinUCB_Disjoint,0.02,58336,1529503200.0,0.02
4.811764793120237e-05,0.001622926681860585,2947868.0,LinUCB_Disjoint,0.02,58336,1529506800.0,0.02
5.4422751161442504e-05,0.0016448953281479693,3259547.0,LinUCB_Disjoint,0.02,58336,1529510400.0,0.02
2.2752580406107465e-05,0.0016639554119533652,3567316.0,LinUCB_Disjoint,0.02,58336,1529514000.0,0.02
3.085878098934608e-06,0.0016780185306092229,3891463.0,LinUCB_Disjoint,0.02,58336,1529517600.0,0.02
3.788355781087484e-05,0.001685987283748971,4284670.0,LinUCB_Disjoint,0.02,58336,1529521200.0,0.02
6.283381923715673e-06,0.0016948195735610198,4762296.0,LinUCB_Disjoint,0.02,58336,1529524800.0,0.02
4.650380360099702e-06,0.0016993863029808303,5190412.0,LinUCB_Disjoint,0.02,58336,1529528400.0,0.02
2.1776323089610864e-05,0.0017102692004189357,5465266.0,LinUCB_Disjoint,0.02,58336,1529532000.0,0.02
6.251126627298603e-05,0.0017105603629719906,5624234.0,LinUCB_Disjoint,0.02,58336,1529536776.0,0.02
9.157771666313592e-05,0.0017139694864035703,5766113.0,LinUCB_Disjoint,0.02,58336,1529547796.0,0.02
1.5350163780373043e-05,0.001711018605594485,5962041.0,LinUCB_Disjoint,0.02,58336,1529552825.0,0.02
5.415374345420747e-06,0.0016989208161974822,6332896.0,LinUCB_Disjoint,0.02,58336,1529556425.0,0.02
2.0593767740309566e-05,0.0016839615451948995,6816636.0,LinUCB_Disjoint,0.02,58336,1529560025.0,0.02
1.799165551795876e-05,0.0016664098809115765,7317021.0,LinUCB_Disjoint,0.02,58336,1529563625.0,0.02
1.1145672831500434e-05,0.0016437019160388902,7852734.0,LinUCB_Disjoint,0.02,58336,1529567225.0,0.02
1.3071930321051123e-05,0.001642734805606123,8162307.0,LinUCB_Disjoint,0.02,58336,1529583538.0,0.02
3.615960971090944e-05,0.0016382054462153598,8497074.0,LinUCB_Disjoint,0.02,58336,1529600747.0,0.02
7.351505397863731e-06,0.001632006197035387,9043309.0,LinUCB_Disjoint,0.02,58336,1529740975.0,0.02
4.323570777503906e-05,0.001642836928725577,9297496.0,LinUCB_Disjoint,0.02,58336,1529744575.0,0.02
5.8578415931278366e-05,0.0016517282018867485,9586031.0,LinUCB_Disjoint,0.02,58336,1529748175.0,0.02
3.668437409974303e-05,0.0016605888972742444,9885028.0,LinUCB_Disjoint,0.02,58336,1529751775.0,0.02
5.713786886577598e-05,0.0016729287338094227,10198818.0,LinUCB_Disjoint,0.02,58336,1529755375.0,0.02
3.846525932877049e-05,0.0016846262342649315,10483612.0,LinUCB_Disjoint,0.02,58336,1529758975.0,0.02
4.390393738391664e-05,0.0016981850715061238,10755990.0,LinUCB_Disjoint,0.02,58336,1529762575.0,0.02
1.0875823874839544e-05,0.0017091168800174254,11031923.0,LinUCB_Disjoint,0.02,58336,1529766175.0,0.02
3.705055788835075e-05,0.0017185093680024079,11328235.0,LinUCB_Disjoint,0.02,58336,1529769775.0,0.02
4.1941704067546164e-05,0.0017242840319965367,11636721.0,LinUCB_Disjoint,0.02,58336,1529773375.0,0.02
7.664373183103744e-05,0.0017336605743633886,11908898.0,LinUCB_Disjoint,0.02,58336,1529776975.0,0.02
8.460849145299042e-05,0.0017373483343247125,12167183.0,LinUCB_Disjoint,0.02,58336,1529780575.0,0.02
6.270934526020064e-05,0.0017425907159628695,12358462.0,LinUCB_Disjoint,0.02,58336,1529784175.0,0.02
2.671917043591591e-05,0.0017513521126414633,12695612.0,LinUCB_Disjoint,0.02,58336,1529787775.0,0.02
3.928336109584489e-06,0.001764212614867324,12950421.0,LinUCB_Disjoint,0.02,58336,1529791375.0,0.02
7.0740036725950425e-06,0.0017699087507179294,13090714.0,LinUCB_Disjoint,0.02,58336,1529794975.0,0.02
0.0002800526689290921,0.0017725419013026372,13179814.0,LinUCB_Disjoint,0.02,58336,1529799595.0,0.02
0.0002446162556860251,0.0017760170442297893,13257247.0,LinUCB_Disjoint,0.02,58336,1529807634.0,0.02
0.00024750252236851794,0.0017781995043292943,13317798.0,LinUCB_Disjoint,0.02,58336,1529812551.0,0.02
3.192547709818422e-09,0.001782167395955128,13420039.0,LinUCB_Disjoint,0.02,58336,1529816151.0,0.02
0.0001089865072500502,0.0017919344807192442,13629637.0,LinUCB_Disjoint,0.02,58336,1529819751.0,0.02
1.175844120416155e-05,0.0018042753136722238,13972924.0,LinUCB_Disjoint,0.02,58336,1529823351.0,0.02
7.495354246767499e-06,0.0018179548739460938,14371005.0,LinUCB_Disjoint,0.02,58336,1529826951.0,0.02
0.0019045283635876788,0.0019045283635876788,458775.0,LinUCB_Disjoint,0.02,58336,1529485200.0,0.01
2.8940275206247928e-05,0.0016929002402062345,907502.0,LinUCB_Disjoint,0.02,58336,1529488800.0,0.01
9.139669298446243e-06,0.001623572142559469,1454051.0,LinUCB_Disjoint,0.02,58336,1529492400.0,0.01
2.6568586912763344e-05,0.0016132789973120724,1867223.0,LinUCB_Disjoint,0.02,58336,1529496000.0,0.01
1.951991807061775e-05,0.001591344299134055,2225254.0,LinUCB_Disjoint,0.02,58336,1529499600.0,0.01
1.146526044124818e-05,0.0015876878009012222,2574843.0,LinUCB_Disjoint,0.02,58336,1529503200.0,0.01
4.812098214105727e-05,0.001622879166652174,2947868.0,LinUCB_Disjoint,0.02,58336,1529506800.0,0.01
5.442131639383105e-05,0.0016448531803859405,3259547.0,LinUCB_Disjoint,0.02,58336,1529510400.0,0.01
2.27446032782668e-05,0.0016639147244724443,3567316.0,LinUCB_Disjoint,0.02,58336,1529514000.0,0.01
3.083933666572094e-06,0.0016779773662238663,3891463.0,LinUCB_Disjoint,0.02,58336,1529517600.0,0.01
3.789279860287759e-05,0.0016859508709790494,4284670.0,LinUCB_Disjoint,0.02,58336,1529521200.0,0.01
6.2819037266324584e-06,0.0016947857209194661,4762296.0,LinUCB_Disjoint,0.02,58336,1529524800.0,0.01
4.650921716665953e-06,0.001699347359484118,5190412.0,LinUCB_Disjoint,0.02,58336,1529528400.0,0.01
2.1772238128042422e-05,0.0017102313742615803,5465266.0,LinUCB_Disjoint,0.02,58336,1529532000.0,0.01
7.418734301538568e-05,0.0017102665678264159,5626240.0,LinUCB_Disjoint,0.02,58336,1529536883.0,0.01
0.0001113908121848815,0.0017133110604407413,5769948.0,LinUCB_Disjoint,0.02,58336,1529548012.0,0.01
3.0642050127412565e-05,0.0017105867362318407,5965127.0,LinUCB_Disjoint,0.02,58336,1529552870.0,0.01
3.210381429483949e-05,0.0016989143165509707,6338615.0,LinUCB_Disjoint,0.02,58336,1529556470.0,0.01
4.1405197029762945e-06,0.001683402043436286,6822827.0,LinUCB_Disjoint,0.02,58336,1529560070.0,0.01
1.195295996991468e-05,0.001665976664851345,7323412.0,LinUCB_Disjoint,0.02,58336,1529563670.0,0.01
2.8003644403681152e-05,0.0016436391963516892,7858122.0,LinUCB_Disjoint,0.02,58336,1529567270.0,0.01
4.5558736090811635e-05,0.0016429419953380886,8167034.0,LinUCB_Disjoint,0.02,58336,1529583833.0,0.01
3.806483457975711e-05,0.001640145191383579,8459041.0,LinUCB_Disjoint,0.02,58336,1529599042.0,0.01
1.3603126356121074e-05,0.0016316910246344791,9047816.0,LinUCB_Disjoint,0.02,58336,1529741031.0,0.01
1.1748183910400336e-05,0.0016431220528925594,9301020.0,LinUCB_Disjoint,0.02,58336,1529744631.0,0.01
3.464060366382956e-06,0.0016519688417941936,9590366.0,LinUCB_Disjoint,0.02,58336,1529748231.0,0.01
8.315006094298849e-05,0.001661216298286581,9889959.0,LinUCB_Disjoint,0.02,58336,1529751831.0,0.01
3.807796827780676e-05,0.0016735079889591354,10203280.0,LinUCB_Disjoint,0.02,58336,1529755431.0,0.01
6.999553353112093e-05,0.0016848081817140833,10488071.0,LinUCB_Disjoint,0.02,58336,1529759031.0,0.01
3.639233679576215e-06,0.001698010060173822,10760325.0,LinUCB_Disjoint,0.02,58336,1529762631.0,0.01
2.1871217022816467e-05,0.0017088270427058055,11035832.0,LinUCB_Disjoint,0.02,58336,1529766231.0,0.01
1.3432870045370259e-05,0.001718937938986332,11333206.0,LinUCB_Disjoint,0.02,58336,1529769831.0,0.01
6.467133071882095e-06,0.0017245592355248011,11641486.0,LinUCB_Disjoint,0.02,58336,1529773431.0,0.01
3.68174190766128e-06,0.001733913377474024,11910870.0,LinUCB_Disjoint,0.02,58336,1529777031.0,0.01
