MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.02,58336,1529485200.0,0.0001
2.8940581757504248e-05,0.0016928684978877392,907502.0,TS_Lin,0.02,58336,1529488800.0,0.0001
9.13856249763872e-06,0.0016235382611956535,1454051.0,TS_Lin,0.02,58336,1529492400.0,0.0001
2.656523710736605e-05,0.001613254890447161,1867223.0,TS_Lin,0.02,58336,1529496000.0,0.0001
1.9519431889202265e-05,0.0015913248487210443,2225254.0,TS_Lin,0.02,58336,1529499600.0,0.0001
1.1462656341456258e-05,0.0015876735283021563,2574843.0,TS_Lin,0.02,58336,1529503200.0,0.0001
4.812102551595667e-05,0.0016228741197882748,2947868.0,TS_Lin,0.02,58336,1529506800.0,0.0001
5.441977963711597e-05,0.0016448556078575423,3259547.0,TS_Lin,0.02,58336,1529510400.0,0.0001
2.274787736645423e-05,0.0016639236507238215,3567316.0,TS_Lin,0.02,58336,1529514000.0,0.0001
3.0821628071674476e-06,0.0016779922612719083,3891463.0,TS_Lin,0.02,58336,1529517600.0,0.0001
3.790251148592569e-05,0.001685970624904704,4284670.0,TS_Lin,0.02,58336,1529521200.0,0.0001
6.280745625648112e-06,0.001694805594766837,4762296.0,TS_Lin,0.02,58336,1529524800.0,0.0001
4.650181898658204e-06,0.001699369101197908,5190412.0,TS_Lin,0.02,58336,1529528400.0,0.0001
2.177525550966631e-05,0.0017102571084777057,5465266.0,TS_Lin,0.02,58336,1529532000.0,0.0001
2.381333656406893e-05,0.0017101673997925314,5632479.0,TS_Lin,0.02,58336,1529537215.0,0.0001
0.0001282955082657394,0.0017136687714237981,5779860.0,TS_Lin,0.02,58336,1529548502.0,0.0001
6.274093604059009e-05,0.0017120120853514594,5986461.0,TS_Lin,0.02,58336,1529553157.0,0.0001
1.5426627431738405e-05,0.001697430328406541,6376012.0,TS_Lin,0.02,58336,1529556757.0,0.0001
6.163472802005594e-06,0.001680981725242073,6862404.0,TS_Lin,0.02,58336,1529560357.0,0.0001
4.02839925591441e-06,0.0016637130148185924,7364606.0,TS_Lin,0.02,58336,1529563957.0,0.0001
3.773099619708191e-06,0.001641549097856655,7892446.0,TS_Lin,0.02,58336,1529567557.0,0.0001
4.8451244647964816e-09,0.0016409869785909477,8260186.0,TS_Lin,0.02,58336,1529589078.0,0.0001
1.819825767889053e-08,0.001637718381401203,8500345.0,TS_Lin,0.02,58336,1529600902.0,0.0001
2.470497975176846e-05,0.0016331338950702201,9066081.0,TS_Lin,0.02,58336,1529741267.0,0.0001
4.7759184192719875e-05,0.0016435473217524975,9316802.0,TS_Lin,0.02,58336,1529744867.0,0.0001
8.511749302702858e-05,0.0016535310083655673,9608949.0,TS_Lin,0.02,58336,1529748467.0,0.0001
6.624575053886105e-06,0.0016616226115107968,9910898.0,TS_Lin,0.02,58336,1529752067.0,0.0001
3.2213680357866776e-06,0.0016742238959431054,10220880.0,TS_Lin,0.02,58336,1529755667.0,0.0001
2.8033639036400135e-05,0.001685419869888472,10506632.0,TS_Lin,0.02,58336,1529759267.0,0.0001
8.416898056622719e-05,0.001699074198699479,10778706.0,TS_Lin,0.02,58336,1529762867.0,0.0001
3.6810142111922883e-06,0.0017085480522623284,11052120.0,TS_Lin,0.02,58336,1529766467.0,0.0001
2.641742740264157e-05,0.0017197691030411393,11354254.0,TS_Lin,0.02,58336,1529770067.0,0.0001
8.003156606322675e-09,0.0017251088792503493,11660193.0,TS_Lin,0.02,58336,1529773667.0,0.0001
1.1514040973356905e-05,0.0017339833035046725,11921176.0,TS_Lin,0.02,58336,1529777267.0,0.0001
3.433845925340045e-05,0.0017392990159247862,12183448.0,TS_Lin,0.02,58336,1529780867.0,0.0001
1.4969102086222654e-05,0.00174235925200035,12382026.0,TS_Lin,0.02,58336,1529784467.0,0.0001
8.806850894383568e-06,0.0017526547621267445,12720967.0,TS_Lin,0.02,58336,1529788067.0,0.0001
5.303497321009579e-05,0.001765289587861668,12965182.0,TS_Lin,0.02,58336,1529791667.0,0.0001
0.00011948247778231621,0.0017700801953398656,13098560.0,TS_Lin,0.02,58336,1529795267.0,0.0001
6.942187807061387e-05,0.00177241049490503,13184846.0,TS_Lin,0.02,58336,1529800000.0,0.0001
0.00023662294384390223,0.0017760668187064255,13256427.0,TS_Lin,0.02,58336,1529807543.0,0.0001
0.00012392342090908803,0.0017783633079772503,13312742.0,TS_Lin,0.02,58336,1529812263.0,0.0001
0.00017699382664636973,0.0017812057289957033,13408455.0,TS_Lin,0.02,58336,1529815863.0,0.0001
6.008656446011698e-05,0.0017915622822753518,13607021.0,TS_Lin,0.02,58336,1529819463.0,0.0001
6.027154612001623e-06,0.001803694202448226,13942706.0,TS_Lin,0.02,58336,1529823063.0,0.0001
4.79277011933199e-05,0.0018172858786547341,14339155.0,TS_Lin,0.02,58336,1529826663.0,0.0001
0.0004684102351665996,0.0018198791652366084,14392073.0,TS_Lin,0.02,58336,1529830312.0,0.0001
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.05,145840,1529485200.0,0.0001
2.893993801619951e-05,0.0016928844456075023,907502.0,TS_Lin,0.05,145840,1529488800.0,0.0001
9.136611360174901e-06,0.0016235403211812259,1454051.0,TS_Lin,0.05,145840,1529492400.0,0.0001
2.656514956613924e-05,0.0016132382779338482,1867223.0,TS_Lin,0.05,145840,1529496000.0,0.0001
1.951821184133396e-05,0.001591314012151439,2225254.0,TS_Lin,0.05,145840,1529499600.0,0.0001
1.1460798248975809e-05,0.001587672979308165,2574843.0,TS_Lin,0.05,145840,1529503200.0,0.0001
4.813377662290282e-05,0.0016228659965714831,2947868.0,TS_Lin,0.05,145840,1529506800.0,0.0001
5.442063841183406e-05,0.0016448409141246456,3259547.0,TS_Lin,0.05,145840,1529510400.0,0.0001
2.274538861923813e-05,0.0016639058631268352,3567316.0,TS_Lin,0.05,145840,1529514000.0,0.0001
3.0834032798047433e-06,0.0016779858757526949,3891463.0,TS_Lin,0.05,145840,1529517600.0,0.0001
3.789159306604918e-05,0.0016859792377419687,4284670.0,TS_Lin,0.05,145840,1529521200.0,0.0001
6.285736780908971e-06,0.0016948269624944572,4762296.0,TS_Lin,0.05,145840,1529524800.0,0.0001
4.647793579469157e-06,0.0016994007973330704,5190412.0,TS_Lin,0.05,145840,1529528400.0,0.0001
2.1762048712578475e-05,0.0017102904033021815,5465266.0,TS_Lin,0.05,145840,1529532000.0,0.0001
0.00014161237015649795,0.0017103939883998751,5599226.0,TS_Lin,0.05,145840,1529535600.0,0.0001
4.691863601364054e-05,0.0017112067295600828,5663035.0,TS_Lin,0.05,145840,1529539200.0,0.0001
0.00023337540276178003,0.0017124358534296928,5705597.0,TS_Lin,0.05,145840,1529542800.0,0.0001
0.00020123737191554914,0.0017130654284582643,5745418.0,TS_Lin,0.05,145840,1529546400.0,0.0001
1.3432207296515465e-05,0.0017156816366787125,5820387.0,TS_Lin,0.05,145840,1529550000.0,0.0001
5.039339804417923e-06,0.001710805765122526,6022423.0,TS_Lin,0.05,145840,1529553600.0,0.0001
7.3046913654848455e-06,0.0016960845420036803,6434382.0,TS_Lin,0.05,145840,1529557200.0,0.0001
2.080408128615722e-06,0.0016774835167448023,6923602.0,TS_Lin,0.05,145840,1529560800.0,0.0001
2.3840319062600903e-05,0.0016604005435992102,7426785.0,TS_Lin,0.05,145840,1529564400.0,0.0001
2.9291123071430957e-05,0.001640977828742335,7936659.0,TS_Lin,0.05,145840,1529568000.0,0.0001
4.0840387789743177e-05,0.0016400393413815236,8307326.0,TS_Lin,0.05,145840,1529591408.0,0.0001
4.835013715950405e-05,0.0016382182529501234,8516915.0,TS_Lin,0.05,145840,1529601784.0,0.0001
1.4745014834079698e-05,0.0016304225631481053,8791711.0,TS_Lin,0.05,145840,1529617234.0,0.0001
8.672287304122074e-08,0.001632766328444619,9041882.0,TS_Lin,0.05,145840,1529740955.0,0.0001
3.927625946713208e-05,0.0016438717728975549,9296253.0,TS_Lin,0.05,145840,1529744555.0,0.0001
4.146739996308724e-05,0.0016523691455498965,9584515.0,TS_Lin,0.05,145840,1529748155.0,0.0001
2.666764156789066e-05,0.0016614639745431016,9883258.0,TS_Lin,0.05,145840,1529751755.0,0.0001
4.446253023336046e-05,0.0016736709588971068,10197182.0,TS_Lin,0.05,145840,1529755355.0,0.0001
1.7558366018115593e-05,0.001685185912964985,10481914.0,TS_Lin,0.05,145840,1529758955.0,0.0001
3.656354203254343e-05,0.0016991162037797967,10754279.0,TS_Lin,0.05,145840,1529762555.0,0.0001
1.0819105248943639e-05,0.001710184091004145,11030528.0,TS_Lin,0.05,145840,1529766155.0,0.0001
3.7034347274013906e-05,0.001719646964969724,11326410.0,TS_Lin,0.05,145840,1529769755.0,0.0001
3.219223755037977e-05,0.0017251271065831884,11635102.0,TS_Lin,0.05,145840,1529773355.0,0.0001
6.196228646836113e-05,0.001734298645554841,11908233.0,TS_Lin,0.05,145840,1529776955.0,0.0001
6.576101379394062e-05,0.0017380848280723732,12165367.0,TS_Lin,0.05,145840,1529780555.0,0.0001
5.743844321015517e-05,0.0017436621773537326,12356672.0,TS_Lin,0.05,145840,1529784155.0,0.0001
2.6677258439703773e-05,0.0017525093080732511,12693894.0,TS_Lin,0.05,145840,1529787755.0,0.0001
7.810143128807448e-05,0.001765241259586017,12949299.0,TS_Lin,0.05,145840,1529791355.0,0.0001
7.843995935542891e-09,0.0017708851233805116,13090098.0,TS_Lin,0.05,145840,1529794955.0,0.0001
