MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.02,58336,1529485200.0,0.0001,0.01
2.894072838930651e-05,0.0016928849320827228,907502.0,TS_Lin,0.02,58336,1529488800.0,0.0001,0.01
1.6356390690730978e-05,0.0016182684376178954,1579009.0,TS_Lin,0.02,58336,1529493434.0,0.0001,0.01
5.055016081885023e-06,0.0016010085582702843,2171918.0,TS_Lin,0.02,58336,1529499095.0,0.0001,0.01
6.54650033250453e-06,0.001608628592583789,2781858.0,TS_Lin,0.02,58336,1529505158.0,0.0001,0.01
1.6155698839943488e-05,0.0016428419682613484,3214402.0,TS_Lin,0.02,58336,1529509856.0,0.0001,0.01
7.549967418837491e-09,0.001661837384098407,3590489.0,TS_Lin,0.02,58336,1529514264.0,0.0001,0.01
3.0745496849486844e-05,0.001681453644668814,3914346.0,TS_Lin,0.02,58336,1529517864.0,0.0001,0.01
2.9809736226949324e-05,0.0016854522451973217,4316832.0,TS_Lin,0.02,58336,1529521464.0,0.0001,0.01
4.115873416646527e-06,0.001695388583892104,4801327.0,TS_Lin,0.02,58336,1529525064.0,0.0001,0.01
1.1810175968129879e-05,0.0017012036646767404,5223442.0,TS_Lin,0.02,58336,1529528768.0,0.0001,0.01
3.1634706393672644e-05,0.0017136831568871176,5727878.0,TS_Lin,0.02,58336,1529544888.0,0.0001,0.01
7.371348240924971e-06,0.0016953045664892463,6403811.0,TS_Lin,0.02,58336,1529556969.0,0.0001,0.01
3.4543744093778446e-06,0.0016754197343719442,6982029.0,TS_Lin,0.02,58336,1529561226.0,0.0001,0.01
1.2274052903702943e-09,0.0016588508754986843,7500116.0,TS_Lin,0.02,58336,1529564826.0,0.0001,0.01
1.3758953038149395e-05,0.0016437723181569525,8082088.0,TS_Lin,0.02,58336,1529578315.0,0.0001,0.01
6.685380722876975e-06,0.0016361226653414229,8532986.0,TS_Lin,0.02,58336,1529602686.0,0.0001,0.01
9.63571590009901e-06,0.0016360045104431504,9154877.0,TS_Lin,0.02,58336,1529742454.0,0.0001,0.01
5.482618734072112e-05,0.001646007991570815,9409896.0,TS_Lin,0.02,58336,1529746054.0,0.0001,0.01
2.0326410589825965e-05,0.0016537702115087182,9705169.0,TS_Lin,0.02,58336,1529749654.0,0.0001,0.01
3.8340171300265174e-05,0.0016639294984374493,10017332.0,TS_Lin,0.02,58336,1529753254.0,0.0001,0.01
1.6868323820492822e-05,0.0016757508213120695,10313638.0,TS_Lin,0.02,58336,1529756854.0,0.0001,0.01
4.945346855909682e-05,0.0016894515294864684,10595673.0,TS_Lin,0.02,58336,1529760454.0,0.0001,0.01
1.441079555354349e-05,0.0017018065772545054,10871253.0,TS_Lin,0.02,58336,1529764054.0,0.0001,0.01
1.990180265563714e-09,0.0017127885677054742,11140087.0,TS_Lin,0.02,58336,1529767654.0,0.0001,0.01
5.976623091719335e-05,0.001721316299737094,11456588.0,TS_Lin,0.02,58336,1529771254.0,0.0001,0.01
3.0079400004213717e-05,0.0017266247956552474,11755014.0,TS_Lin,0.02,58336,1529774854.0,0.0001,0.01
1.6000977134972336e-08,0.0017337321391369639,11980438.0,TS_Lin,0.02,58336,1529778454.0,0.0001,0.01
4.857652093592398e-05,0.0017398989692623567,12247937.0,TS_Lin,0.02,58336,1529782054.0,0.0001,0.01
4.3778518087128625e-05,0.0017420041968075576,12498686.0,TS_Lin,0.02,58336,1529785654.0,0.0001,0.01
2.8395404473135007e-05,0.0017579712344715506,12814105.0,TS_Lin,0.02,58336,1529789254.0,0.0001,0.01
0.0001315377333541743,0.0017670614119719723,13018809.0,TS_Lin,0.02,58336,1529792854.0,0.0001,0.01
8.596569685506699e-05,0.001772285278967233,13215487.0,TS_Lin,0.02,58336,1529802858.0,0.0001,0.01
0.00010682647092117579,0.0017778148149251703,13345892.0,TS_Lin,0.02,58336,1529813859.0,0.0001,0.01
6.043313432682908e-10,0.0017853780320430824,13480014.0,TS_Lin,0.02,58336,1529817459.0,0.0001,0.01
1.1398055979226073e-05,0.0017946626760489905,13744769.0,TS_Lin,0.02,58336,1529821059.0,0.0001,0.01
1.6241651308859397e-05,0.0018067408423509844,14113529.0,TS_Lin,0.02,58336,1529824659.0,0.0001,0.01
8.188198315104194e-05,0.0018185493718339252,14392071.0,TS_Lin,0.02,58336,1529828406.0,0.0001,0.01
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.02,58336,1529485200.0,0.0001,0.02
2.8937428587347606e-05,0.0016928859960137325,907502.0,TS_Lin,0.02,58336,1529488800.0,0.0001,0.02
9.138642747022143e-06,0.0016235498781315652,1454051.0,TS_Lin,0.02,58336,1529492400.0,0.0001,0.02
2.656597656986232e-05,0.00161326097465546,1867223.0,TS_Lin,0.02,58336,1529496000.0,0.0001,0.02
1.9520169105779225e-05,0.001591326188842038,2225254.0,TS_Lin,0.02,58336,1529499600.0,0.0001,0.02
1.1463440574188287e-05,0.0015876834861182382,2574843.0,TS_Lin,0.02,58336,1529503200.0,0.0001,0.02
4.812313104954414e-05,0.001622878392032649,2947868.0,TS_Lin,0.02,58336,1529506800.0,0.0001,0.02
5.4420541829337e-05,0.0016448522195174355,3259547.0,TS_Lin,0.02,58336,1529510400.0,0.0001,0.02
2.2739773300313548e-05,0.001663916263643778,3567316.0,TS_Lin,0.02,58336,1529514000.0,0.0001,0.02
3.0827474134562027e-06,0.0016779838561925412,3891463.0,TS_Lin,0.02,58336,1529517600.0,0.0001,0.02
3.789655819612811e-05,0.001685962831327988,4284670.0,TS_Lin,0.02,58336,1529521200.0,0.0001,0.02
6.280762694539262e-06,0.0016947999074215356,4762296.0,TS_Lin,0.02,58336,1529524800.0,0.0001,0.02
