Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
2.0,1083.0,10000.0,Random,0.1,90125
2.0,2160.0,20000.0,Random,0.1,90125
4.0,3096.0,30000.0,Random,0.1,90125
5.0,4071.0,40000.0,Random,0.1,90125
6.0,5134.0,50000.0,Random,0.1,90125
11.0,6162.0,60000.0,Random,0.1,90125
14.0,7133.0,70000.0,Random,0.1,90125
16.0,8109.0,80000.0,Random,0.1,90125
17.0,9031.0,90000.0,Random,0.1,90125
21.0,10037.0,100000.0,Random,0.1,90125
22.0,10955.0,110000.0,Random,0.1,90125
24.0,12002.0,120000.0,Random,0.1,90125
25.0,13090.0,130000.0,Random,0.1,90125
26.0,14025.0,140000.0,Random,0.1,90125
26.0,15041.0,150000.0,Random,0.1,90125
27.0,16065.0,160000.0,Random,0.1,90125
29.0,17049.0,170000.0,Random,0.1,90125
31.0,18155.0,180000.0,Random,0.1,90125
33.0,19148.0,190000.0,Random,0.1,90125
35.0,20122.0,200000.0,Random,0.1,90125
37.0,21183.0,210000.0,Random,0.1,90125
37.0,22191.0,220000.0,Random,0.1,90125
41.0,23196.0,230000.0,Random,0.1,90125
44.0,24138.0,240000.0,Random,0.1,90125
45.0,25055.0,250000.0,Random,0.1,90125
48.0,26054.0,260000.0,Random,0.1,90125
49.0,27067.0,270000.0,Random,0.1,90125
51.0,28042.0,280000.0,Random,0.1,90125
53.0,29034.0,290000.0,Random,0.1,90125
55.0,30083.0,300000.0,Random,0.1,90125
56.0,31062.0,310000.0,Random,0.1,90125
56.0,32016.0,320000.0,Random,0.1,90125
57.0,33058.0,330000.0,Random,0.1,90125
58.0,34015.0,340000.0,Random,0.1,90125
61.0,35089.0,350000.0,Random,0.1,90125
63.0,36064.0,360000.0,Random,0.1,90125
64.0,36996.0,370000.0,Random,0.1,90125
66.0,38029.0,380000.0,Random,0.1,90125
67.0,39081.0,390000.0,Random,0.1,90125
69.0,40021.0,400000.0,Random,0.1,90125
71.0,41110.0,410000.0,Random,0.1,90125
75.0,42196.0,420000.0,Random,0.1,90125
79.0,43145.0,430000.0,Random,0.1,90125
82.0,44065.0,440000.0,Random,0.1,90125
82.0,45077.0,450000.0,Random,0.1,90125
86.0,46021.0,460000.0,Random,0.1,90125
86.0,46958.0,470000.0,Random,0.1,90125
89.0,47949.0,480000.0,Random,0.1,90125
90.0,49020.0,490000.0,Random,0.1,90125
91.0,50029.0,500000.0,Random,0.1,90125
95.0,51175.0,510000.0,Random,0.1,90125
98.0,52134.0,520000.0,Random,0.1,90125
99.0,53112.0,530000.0,Random,0.1,90125
102.0,54155.0,540000.0,Random,0.1,90125
105.0,55080.0,550000.0,Random,0.1,90125
106.0,56065.0,560000.0,Random,0.1,90125
107.0,57051.0,570000.0,Random,0.1,90125
110.0,58057.0,580000.0,Random,0.1,90125
112.0,59061.0,590000.0,Random,0.1,90125
114.0,60084.0,600000.0,Random,0.1,90125
117.0,61098.0,610000.0,Random,0.1,90125
118.0,62104.0,620000.0,Random,0.1,90125
119.0,63163.0,630000.0,Random,0.1,90125
122.0,64232.0,640000.0,Random,0.1,90125
123.0,65361.0,650000.0,Random,0.1,90125
124.0,66331.0,660000.0,Random,0.1,90125
126.0,67290.0,670000.0,Random,0.1,90125
128.0,68312.0,680000.0,Random,0.1,90125
130.0,69348.0,690000.0,Random,0.1,90125
131.0,70253.0,700000.0,Random,0.1,90125
136.0,71263.0,710000.0,Random,0.1,90125
138.0,72210.0,720000.0,Random,0.1,90125
139.0,73198.0,730000.0,Random,0.1,90125
140.0,74231.0,740000.0,Random,0.1,90125
141.0,75182.0,750000.0,Random,0.1,90125
145.0,76095.0,760000.0,Random,0.1,90125
147.0,77114.0,770000.0,Random,0.1,90125
147.0,78078.0,780000.0,Random,0.1,90125
149.0,79102.0,790000.0,Random,0.1,90125
149.0,80116.0,800000.0,Random,0.1,90125
152.0,81084.0,810000.0,Random,0.1,90125
154.0,82160.0,820000.0,Random,0.1,90125
156.0,83175.0,830000.0,Random,0.1,90125
156.0,84152.0,840000.0,Random,0.1,90125
157.0,85058.0,850000.0,Random,0.1,90125
160.0,85951.0,860000.0,Random,0.1,90125
