Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
0.0,59.0,460000.0,Random_0_1,0.02,58336,1529485209.0,0.0001,0.02,0.14687500000049372,0.0012934791304347827
1.0,447.0,470000.0,Random_0_1,0.02,58336,1529485282.0,0.0001,0.02,0.4918,0.011729788085106383
3.0,822.0,480000.0,Random_0_1,0.02,58336,1529485354.0,0.0001,0.02,0.4956,0.021810417500000002
3.0,1168.0,490000.0,Random_0_1,0.02,58336,1529485426.0,0.0001,0.02,0.5045,0.03166122530612245
3.0,1496.0,500000.0,Random_0_1,0.02,58336,1529485500.0,0.0001,0.02,0.4971,0.0409700008
4.0,1848.0,510000.0,Random_0_1,0.02,58336,1529485578.0,0.0001,0.02,0.5061,0.0500901968627451
5.0,2191.0,520000.0,Random_0_1,0.02,58336,1529485659.0,0.0001,0.02,0.5038,0.058815385384615386
5.0,2531.0,530000.0,Random_0_1,0.02,58336,1529485742.0,0.0001,0.02,0.5063,0.06725849132075473
7.0,2894.0,540000.0,Random_0_1,0.02,58336,1529485823.0,0.0001,0.02,0.4934,0.07515000074074075
7.0,3256.0,550000.0,Random_0_1,0.02,58336,1529485906.0,0.0001,0.02,0.5049,0.08296363709090909
8.0,3592.0,560000.0,Random_0_1,0.02,58336,1529485990.0,0.0001,0.02,0.4918,0.09026428642857144
8.0,3943.0,570000.0,Random_0_1,0.02,58336,1529486075.0,0.0001,0.02,0.4951,0.09736666736842106
8.0,4300.0,580000.0,Random_0_1,0.02,58336,1529486160.0,0.0001,0.02,0.4906,0.10414655241379311
8.0,4604.0,590000.0,Random_0_1,0.02,58336,1529486245.0,0.0001,0.02,0.5018,0.11088644135593222
9.0,4953.0,600000.0,Random_0_1,0.02,58336,1529486326.0,0.0001,0.02,0.4962,0.11730833400000001
9.0,5291.0,610000.0,Random_0_1,0.02,58336,1529486407.0,0.0001,0.02,0.4925,0.12345901704918033
9.0,5627.0,620000.0,Random_0_1,0.02,58336,1529486488.0,0.0001,0.02,0.495,0.1294516135483871
10.0,5973.0,630000.0,Random_0_1,0.02,58336,1529486569.0,0.0001,0.02,0.4979,0.13530000063492065
10.0,6298.0,640000.0,Random_0_1,0.02,58336,1529486652.0,0.0001,0.02,0.4963,0.140940625625
11.0,6595.0,650000.0,Random_0_1,0.02,58336,1529486734.0,0.0001,0.02,0.4915,0.14633384676923078
13.0,6935.0,660000.0,Random_0_1,0.02,58336,1529486817.0,0.0001,0.02,0.4957,0.15162727333333334
13.0,7266.0,670000.0,Random_0_1,0.02,58336,1529486899.0,0.0001,0.02,0.497,0.15678209014925373
13.0,7616.0,680000.0,Random_0_1,0.02,58336,1529486983.0,0.0001,0.02,0.5066,0.1619264711764706
15.0,8003.0,690000.0,Random_0_1,0.02,58336,1529487066.0,0.0001,0.02,0.4874,0.16664347884057973
16.0,8300.0,700000.0,Random_0_1,0.02,58336,1529487149.0,0.0001,0.02,0.4902,0.17126571485714287
17.0,8604.0,710000.0,Random_0_1,0.02,58336,1529487230.0,0.0001,0.02,0.4879,0.17572535267605635
19.0,8920.0,720000.0,Random_0_1,0.02,58336,1529487314.0,0.0001,0.02,0.4946,0.18015416722222222
19.0,9274.0,730000.0,Random_0_1,0.02,58336,1529487394.0,0.0001,0.02,0.4954,0.18447260328767126
19.0,9612.0,740000.0,Random_0_1,0.02,58336,1529487472.0,0.0001,0.02,0.4908,0.18861216270270273
19.0,9950.0,750000.0,Random_0_1,0.02,58336,1529487552.0,0.0001,0.02,0.5001,0.1927653338666667
19.0,10265.0,760000.0,Random_0_1,0.02,58336,1529487630.0,0.0001,0.02,0.5006,0.19681579000000002
20.0,10636.0,770000.0,Random_0_1,0.02,58336,1529487708.0,0.0001,0.02,0.4873,0.20058831220779222
20.0,11001.0,780000.0,Random_0_1,0.02,58336,1529487789.0,0.0001,0.02,0.499,0.2044141030769231
20.0,11376.0,790000.0,Random_0_1,0.02,58336,1529487870.0,0.0001,0.02,0.4988,0.20814050683544305
20.0,11695.0,800000.0,Random_0_1,0.02,58336,1529487950.0,0.0001,0.02,0.4987,0.21177250050000002
21.0,12014.0,810000.0,Random_0_1,0.02,58336,1529488030.0,0.0001,0.02,0.4965,0.21528765481481485
21.0,12382.0,820000.0,Random_0_1,0.02,58336,1529488109.0,0.0001,0.02,0.5059,0.21883170780487807
22.0,12711.0,830000.0,Random_0_1,0.02,58336,1529488188.0,0.0001,0.02,0.4967,0.2221795185542169
23.0,13067.0,840000.0,Random_0_1,0.02,58336,1529488267.0,0.0001,0.02,0.4971,0.22545238142857146
24.0,13466.0,850000.0,Random_0_1,0.02,58336,1529488344.0,0.0001,0.02,0.5013,0.2286976475294118
25.0,13818.0,860000.0,Random_0_1,0.02,58336,1529488423.0,0.0001,0.02,0.4837,0.23166279116279073
25.0,14172.0,870000.0,Random_0_1,0.02,58336,1529488503.0,0.0001,0.02,0.4968,0.23471034528735635
27.0,14486.0,880000.0,Random_0_1,0.02,58336,1529488582.0,0.0001,0.02,0.4926,0.23764090954545455
28.0,14822.0,890000.0,Random_0_1,0.02,58336,1529488662.0,0.0001,0.02,0.5072,0.24066966337078655
28.0,15174.0,900000.0,Random_0_1,0.02,58336,1529488741.0,0.0001,0.02,0.4959,0.243505556
29.0,15487.0,910000.0,Random_0_1,0.02,58336,1529488819.0,0.0001,0.02,0.5053,0.24638241802197805
29.0,15632.0,920000.0,Random_0_1,0.02,58336,1529488893.0,0.0001,0.02,0.5032,0.2491739134782609
29.0,15775.0,930000.0,Random_0_1,0.02,58336,1529488965.0,0.0001,0.02,0.4997,0.2518677423655914
29.0,15955.0,940000.0,Random_0_1,0.02,58336,1529489033.0,0.0001,0.02,0.4969,0.2544744685106383
