Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
0.0,225.0,460000.0,Regression,0.1,291680
2.0,1925.0,470000.0,Regression,0.1,291680
5.0,3498.0,480000.0,Regression,0.1,291680
6.0,5130.0,490000.0,Regression,0.1,291680
7.0,6748.0,500000.0,Regression,0.1,291680
12.0,8399.0,510000.0,Regression,0.1,291680
17.0,10004.0,520000.0,Regression,0.1,291680
19.0,11700.0,530000.0,Regression,0.1,291680
22.0,13337.0,540000.0,Regression,0.1,291680
22.0,15049.0,550000.0,Regression,0.1,291680
25.0,16669.0,560000.0,Regression,0.1,291680
26.0,18334.0,570000.0,Regression,0.1,291680
26.0,19911.0,580000.0,Regression,0.1,291680
29.0,21448.0,590000.0,Regression,0.1,291680
34.0,23078.0,600000.0,Regression,0.1,291680
37.0,24681.0,610000.0,Regression,0.1,291680
41.0,26270.0,620000.0,Regression,0.1,291680
42.0,27793.0,630000.0,Regression,0.1,291680
43.0,29325.0,640000.0,Regression,0.1,291680
46.0,30790.0,650000.0,Regression,0.1,291680
49.0,32315.0,660000.0,Regression,0.1,291680
51.0,33880.0,670000.0,Regression,0.1,291680
51.0,35504.0,680000.0,Regression,0.1,291680
56.0,37125.0,690000.0,Regression,0.1,291680
58.0,38713.0,700000.0,Regression,0.1,291680
62.0,40207.0,710000.0,Regression,0.1,291680
66.0,41725.0,720000.0,Regression,0.1,291680
69.0,43352.0,730000.0,Regression,0.1,291680
71.0,44987.0,740000.0,Regression,0.1,291680
72.0,46608.0,750000.0,Regression,0.1,291680
73.0,48171.0,760000.0,Regression,0.1,291680
76.0,49855.0,770000.0,Regression,0.1,291680
78.0,51497.0,780000.0,Regression,0.1,291680
81.0,53123.0,790000.0,Regression,0.1,291680
83.0,54637.0,800000.0,Regression,0.1,291680
85.0,56213.0,810000.0,Regression,0.1,291680
85.0,57807.0,820000.0,Regression,0.1,291680
87.0,59381.0,830000.0,Regression,0.1,291680
90.0,60914.0,840000.0,Regression,0.1,291680
92.0,62632.0,850000.0,Regression,0.1,291680
99.0,64177.0,860000.0,Regression,0.1,291680
103.0,65764.0,870000.0,Regression,0.1,291680
106.0,67309.0,880000.0,Regression,0.1,291680
110.0,68872.0,890000.0,Regression,0.1,291680
112.0,70414.0,900000.0,Regression,0.1,291680
115.0,71612.0,910000.0,Regression,0.1,291680
115.0,71846.0,920000.0,Regression,0.1,291680
117.0,72095.0,930000.0,Regression,0.1,291680
117.0,72344.0,940000.0,Regression,0.1,291680
119.0,72591.0,950000.0,Regression,0.1,291680
119.0,72845.0,960000.0,Regression,0.1,291680
121.0,73093.0,970000.0,Regression,0.1,291680
122.0,73357.0,980000.0,Regression,0.1,291680
123.0,73606.0,990000.0,Regression,0.1,291680
123.0,73825.0,1000000.0,Regression,0.1,291680
124.0,74072.0,1010000.0,Regression,0.1,291680
127.0,74320.0,1020000.0,Regression,0.1,291680
130.0,74579.0,1030000.0,Regression,0.1,291680
134.0,74815.0,1040000.0,Regression,0.1,291680
134.0,75033.0,1050000.0,Regression,0.1,291680
137.0,75252.0,1060000.0,Regression,0.1,291680
138.0,75493.0,1070000.0,Regression,0.1,291680
139.0,75731.0,1080000.0,Regression,0.1,291680
139.0,75992.0,1090000.0,Regression,0.1,291680
141.0,76237.0,1100000.0,Regression,0.1,291680
141.0,76471.0,1110000.0,Regression,0.1,291680
143.0,76705.0,1120000.0,Regression,0.1,291680
145.0,76966.0,1130000.0,Regression,0.1,291680
147.0,77220.0,1140000.0,Regression,0.1,291680
