Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
0.0,52.0,460000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485209.0
1.0,399.0,470000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485282.0
3.0,739.0,480000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485354.0
3.0,1066.0,490000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485426.0
3.0,1372.0,500000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485500.0
4.0,1688.0,510000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485578.0
5.0,2003.0,520000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485659.0
5.0,2327.0,530000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485742.0
6.0,2671.0,540000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485823.0
6.0,2999.0,550000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485906.0
7.0,3311.0,560000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529485990.0
7.0,3635.0,570000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486075.0
7.0,3952.0,580000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486160.0
7.0,4228.0,590000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486245.0
8.0,4561.0,600000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486326.0
8.0,4877.0,610000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486407.0
8.0,5188.0,620000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486488.0
8.0,5515.0,630000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486569.0
8.0,5829.0,640000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486652.0
9.0,6102.0,650000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486734.0
11.0,6439.0,660000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486817.0
11.0,6756.0,670000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486899.0
11.0,7081.0,680000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529486983.0
13.0,7459.0,690000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529487066.0
14.0,7735.0,700000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529487149.0
14.0,8031.0,710000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529487230.0
16.0,8332.0,720000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529487314.0
16.0,8682.0,730000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529487394.0
16.0,8994.0,740000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529487472.0
